Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
NVDA,NVIDIA CORP,Information Technology,Equity,"315,209,066.60",5.43,"315,209,066.60","1,772,630.00",177.82,United States,NASDAQ,USD,1,USD,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"261,614,393.00",4.51,"261,614,393.00","513,070.00",509.9,United States,NASDAQ,USD,1,USD,-
AAPL,APPLE INC,Information Technology,Equity,"254,165,611.71",4.38,"254,165,611.71","1,085,853.00",234.07,United States,NASDAQ,USD,1,USD,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"158,308,265.70",2.73,"158,308,265.70","693,878.00",228.15,United States,NASDAQ,USD,1,USD,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"119,265,347.96",2.06,"119,265,347.96","157,844.00",755.59,United States,NASDAQ,USD,1,USD,-
AVGO,BROADCOM INC,Information Technology,Equity,"116,783,572.92",2.01,"116,783,572.92","324,516.00",359.87,United States,NASDAQ,USD,1,USD,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"101,917,877.60",1.76,"101,917,877.60","423,247.00",240.8,United States,NASDAQ,USD,1,USD,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"86,218,522.20",1.49,"86,218,522.20","357,190.00",241.38,United States,NASDAQ,USD,1,USD,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"83,270,141.40",1.44,"83,270,141.40","210,310.00",395.94,United States,NASDAQ,USD,1,USD,-
JPM,JPMORGAN CHASE & CO,Financials,Equity,"62,009,630.95",1.07,"62,009,630.95","202,045.00",306.91,United States,New York Stock Exchange Inc.,USD,1,USD,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"48,645,239.76",0.84,"48,645,239.76","98,524.00",493.74,United States,New York Stock Exchange Inc.,USD,1,USD,-
LLY,ELI LILLY,Health Care,Equity,"44,154,056.28",0.76,"44,154,056.28","58,452.00",755.39,United States,New York Stock Exchange Inc.,USD,1,USD,-
V,VISA INC CLASS A,Financials,Equity,"42,443,345.49",0.73,"42,443,345.49","125,043.00",339.43,United States,New York Stock Exchange Inc.,USD,1,USD,-
NFLX,NETFLIX INC,Communication,Equity,"36,948,599.60",0.64,"36,948,599.60","31,090.00","1,188.44",United States,NASDAQ,USD,1,USD,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"36,128,200.86",0.62,"36,128,200.86","62,246.00",580.41,United States,New York Stock Exchange Inc.,USD,1,USD,-
ORCL,ORACLE CORP,Information Technology,Equity,"35,653,264.50",0.61,"35,653,264.50","122,025.00",292.18,United States,New York Stock Exchange Inc.,USD,1,USD,-
XOM,EXXON MOBIL CORP,Energy,Equity,"35,162,047.84",0.61,"35,162,047.84","313,499.00",112.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
WMT,WALMART INC,Consumer Staples,Equity,"33,155,194.79",0.57,"33,155,194.79","320,371.00",103.49,United States,New York Stock Exchange Inc.,USD,1,USD,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"31,148,957.80",0.54,"31,148,957.80","32,182.00",967.9,United States,NASDAQ,USD,1,USD,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"31,140,735.34",0.54,"31,140,735.34","174,889.00",178.06,United States,New York Stock Exchange Inc.,USD,1,USD,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"30,487,784.32",0.53,"30,487,784.32","72,128.00",422.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,"28,220,463.74",0.49,"28,220,463.74","164,618.00",171.43,United States,NASDAQ,USD,1,USD,-
ABBV,ABBVIE INC,Health Care,Equity,"27,997,083.18",0.48,"27,997,083.18","128,227.00",218.34,United States,New York Stock Exchange Inc.,USD,1,USD,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"26,845,368.50",0.46,"26,845,368.50","170,015.00",157.9,United States,New York Stock Exchange Inc.,USD,1,USD,-
BAC,BANK OF AMERICA CORP,Financials,Equity,"26,485,761.78",0.46,"26,485,761.78","523,641.00",50.58,United States,New York Stock Exchange Inc.,USD,1,USD,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"23,368,240.41",0.4,"23,368,240.41","66,291.00",352.51,United States,New York Stock Exchange Inc.,USD,1,USD,-
ASML,ASML HOLDING NV,Information Technology,Equity,"23,168,520.02",0.4,"23,168,520.02","28,641.00",808.93,Netherlands,Euronext Amsterdam,USD,0.85,EUR,-
CVX,CHEVRON CORP,Energy,Equity,"22,329,887.19",0.38,"22,329,887.19","142,129.00",157.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
GE,GE AEROSPACE,Industrials,Equity,"21,999,707.31",0.38,"21,999,707.31","78,099.00",281.69,United States,New York Stock Exchange Inc.,USD,1,USD,-
KO,COCA-COLA,Consumer Staples,Equity,"19,927,567.82",0.34,"19,927,567.82","297,382.00",67.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
SAP,SAP,Information Technology,Equity,"19,695,010.06",0.34,"19,695,010.06","76,028.00",259.05,Germany,Xetra,USD,0.85,EUR,-
WFC,WELLS FARGO,Financials,Equity,"19,261,298.46",0.33,"19,261,298.46","236,451.00",81.46,United States,New York Stock Exchange Inc.,USD,1,USD,-
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"19,211,335.86",0.33,"19,211,335.86","288,762.00",66.53,United States,NASDAQ,USD,1,USD,-
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,"18,763,905.24",0.32,"18,763,905.24","118,332.00",158.57,United States,NASDAQ,USD,1,USD,-
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,Equity,"18,739,699.65",0.32,"18,739,699.65","112,815.00",166.11,United States,New York Stock Exchange Inc.,USD,1,USD,-
AZN,ASTRAZENECA PLC,Health Care,Equity,"18,014,702.56",0.31,"18,014,702.56","112,656.00",159.91,United Kingdom,London Stock Exchange,USD,0.74,GBP,-
GS,GOLDMAN SACHS GROUP INC,Financials,Equity,"17,385,197.22",0.3,"17,385,197.22","22,287.00",780.06,United States,New York Stock Exchange Inc.,USD,1,USD,-
HSBA,HSBC HOLDINGS PLC,Financials,Equity,"17,314,107.04",0.3,"17,314,107.04","1,268,116.00",13.65,United Kingdom,London Stock Exchange,USD,0.74,GBP,01-Jan-98
NESN,NESTLE SA,Consumer Staples,Equity,"17,160,422.12",0.3,"17,160,422.12","187,335.00",91.6,Switzerland,SIX Swiss Exchange,USD,0.8,CHF,-
NOVN,NOVARTIS AG,Health Care,Equity,"17,103,395.00",0.29,"17,103,395.00","137,848.00",124.07,Switzerland,SIX Swiss Exchange,USD,0.8,CHF,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"17,033,955.84",0.29,"17,033,955.84","67,211.00",253.44,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRM,SALESFORCE INC,Information Technology,Equity,"16,911,389.88",0.29,"16,911,389.88","69,663.00",242.76,United States,New York Stock Exchange Inc.,USD,1,USD,-
ROG,ROCHE HOLDING PAR AG,Health Care,Equity,"16,910,470.69",0.29,"16,910,470.69","50,936.00",331.99,Switzerland,SIX Swiss Exchange,USD,0.8,CHF,-
ABT,ABBOTT LABORATORIES,Health Care,Equity,"16,860,009.75",0.29,"16,860,009.75","126,075.00",133.73,United States,New York Stock Exchange Inc.,USD,1,USD,-
LIN,LINDE PLC,Materials,Equity,"16,529,633.64",0.28,"16,529,633.64","34,291.00",482.04,United States,NASDAQ,USD,1,USD,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"15,833,768.40",0.27,"15,833,768.40","51,846.00",305.4,United States,New York Stock Exchange Inc.,USD,1,USD,-
SHEL,SHELL PLC,Energy,Equity,"15,509,089.20",0.27,"15,509,089.20","433,775.00",35.75,United Kingdom,London Stock Exchange,USD,0.74,GBP,-
T,AT&T INC,Communication,Equity,"15,338,165.99",0.26,"15,338,165.99","518,707.00",29.57,United States,New York Stock Exchange Inc.,USD,1,USD,-
