,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2011-08-11,2011-07-29,,2011-09-02,Interim,0.11,0.11,HKD
1,2012-05-10,2012-02-24,,2012-05-25,Final,0.22,0.22,HKD
2,2012-08-09,2012-07-27,,2012-08-31,Interim,0.1233,0.1233,HKD
3,2013-05-14,2013-02-27,,2013-05-30,Final,0.2467,0.2467,HKD
4,2013-08-08,2013-07-26,,2013-08-30,Interim,0.1393,0.1393,HKD
5,2014-05-13,2014-02-21,,2014-05-29,Final,0.2862,0.2862,HKD
6,2014-08-12,2014-07-25,,2014-08-29,Interim,0.16,0.16,HKD
7,2015-05-12,2015-02-26,,2015-05-29,Final,0.34,0.34,HKD
8,2015-08-11,2015-07-24,,2015-08-28,Interim,0.1872,0.1872,HKD
9,2016-05-10,2016-02-25,,2016-05-27,Final,0.51,0.51,HKD
10,2016-08-12,2016-07-28,,2016-08-31,Interim,0.219,0.219,HKD
11,2017-05-16,2017-02-24,,2017-05-31,Final,0.6375,0.6375,HKD
12,2017-08-14,2017-07-28,,2017-08-31,Interim,0.2562,0.2562,HKD
13,2018-05-23,2018-02-27,,2018-06-08,Final,0.7438,0.7438,HKD
14,2018-09-10,2018-08-24,,2018-09-28,Interim,0.292,0.292,HKD
15,2019-05-21,2019-03-15,,2019-06-06,Final,0.848,0.848,HKD
16,2019-09-09,2019-08-23,,2019-09-26,Interim,0.333,0.333,HKD
17,2020-06-03,2020-03-12,,2020-06-19,Final,0.933,0.933,HKD
18,2020-09-07,2020-08-20,,2020-09-24,Interim,0.35,0.35,HKD
19,2021-05-25,2021-03-12,,2021-06-10,Final,1.003,1.003,HKD
20,2021-09-02,2021-08-17,,2021-09-21,Interim,0.38,0.38,HKD
21,2022-05-24,2022-03-11,,2022-06-10,Final,1.08,1.08,HKD
22,2022-09-09,2022-08-25,,2022-09-29,Interim,0.4028,0.4028,HKD
23,2023-05-23,2023-03-10,,2023-06-09,Final,1.134,1.134,HKD
24,2023-09-11,2023-08-24,,2023-09-26,Interim,0.4229,0.4229,HKD
25,2024-05-29,2024-03-14,,2024-06-14,Final,1.1907,1.1907,HKD
26,2024-09-09,,,,,0.445,0.445,HKD
27,2025-05-28,,,,,1.3098,1.3098,HKD
28,2025-09-05,,,,,0.49,0.49,HKD
