,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2007-10-01,,2007-09-28,2007-10-04,Other,2.64935,1.81333,EUR
1,2008-04-07,,2008-04-09,2008-05-14,Annual,0.32468,0.25,EUR
2,2009-03-30,,2009-04-01,2009-04-15,Annual,0.25974,0.2,EUR
3,2010-03-26,,2010-03-30,2010-04-13,Annual,0.25974,0.2,EUR
4,2011-04-26,,2011-04-28,2011-05-10,Other,0.51948,0.4,EUR
5,2012-04-27,,2012-05-02,2012-05-15,Other,0.5974,0.46,EUR
6,2012-11-26,2012-09-14,2012-11-28,2012-12-03,Other,9.18,7.0686,EUR
7,2013-04-26,2013-02-21,2013-04-30,2013-05-14,Annual,0.53,0.53,EUR
8,2014-04-25,2014-01-23,2014-04-29,2014-05-13,Annual,0.61,0.61,EUR
9,2015-04-24,2015-01-21,2015-04-27,2015-05-11,Annual,0.7,0.7,EUR
10,2016-05-03,2016-01-20,2016-05-04,2016-05-17,Annual,1.05,1.05,EUR
11,2017-04-28,2017-01-18,2017-05-02,2017-05-12,Annual,1.2,1.2,EUR
12,2018-04-27,2018-01-17,2018-04-30,2018-05-09,Annual,1.4,1.4,EUR
13,2019-04-26,2019-01-23,2019-04-29,2019-05-08,Annual,2.1,2.1,EUR
14,2019-11-04,2019-10-16,2019-11-05,2019-11-15,Interim,1.05,1.05,EUR
15,2020-04-24,2020-01-22,2020-04-27,2020-05-06,Final,1.35,1.35,EUR
16,2020-11-02,2020-10-14,2020-11-03,2020-11-13,Interim,1.2,1.2,EUR
17,2021-05-03,2021-01-20,2021-05-04,2021-05-12,Final,1.55,1.55,EUR
18,2021-11-02,2021-10-20,2021-11-03,2021-11-12,Interim,1.8,1.8,EUR
19,2022-05-03,2022-01-19,2022-05-04,2022-05-12,Final,3.7,3.7,EUR
20,2022-08-04,2022-07-25,2022-08-05,2022-08-12,Quarterly,1.37,1.37,EUR
21,2022-11-03,2022-10-20,2022-11-04,2022-11-14,Quarterly,1.37,1.37,EUR
22,2023-02-06,2023-01-25,2023-02-07,2023-02-15,Quarterly,1.37,1.37,EUR
23,2023-04-28,2023-01-25,2023-05-02,2023-05-10,Quarterly,1.69,1.69,EUR
24,2023-08-01,2023-07-19,2023-08-02,2023-08-10,Quarterly,1.45,1.45,EUR
25,2023-11-01,2023-10-18,2023-11-02,2023-11-10,Quarterly,1.45,1.45,EUR
26,2024-02-05,2024-01-24,2024-02-06,2024-02-14,Quarterly,1.45,1.45,EUR
27,2024-04-26,2024-01-24,2024-04-29,2024-05-07,Quarterly,1.75,1.75,EUR
28,2024-07-29,2024-07-17,2024-07-30,2024-08-07,Quarterly,1.52,1.52,EUR
29,2024-10-29,2024-09-18,2024-10-30,2024-11-07,Quarterly,1.52,1.52,EUR
30,2025-02-10,2025-01-29,2025-02-11,2025-02-19,Quarterly,1.52,1.52,EUR
31,2025-04-25,2025-01-29,2025-04-28,2025-05-06,Quarterly,1.84,1.84,EUR
32,2025-07-28,2025-01-29,2025-07-29,2025-08-06,Quarterly,1.6,1.6,EUR
