,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2000-03-06,,,,,0.291,0.291,GBP
1,2000-09-04,,,,,0.1529,0.1529,GBP
2,2001-02-21,,,,,0.3146,0.3146,GBP
3,2001-08-22,,,,,0.161,0.161,GBP
4,2002-02-20,,,,,0.332,0.332,GBP
5,2002-08-21,,,,,0.147,0.147,GBP
6,2003-02-19,,,,,0.285,0.285,GBP
7,2003-08-20,,,,,0.1545,0.1545,GBP
8,2004-02-18,,,,,0.294,0.294,GBP
9,2004-08-11,,,,,0.16,0.16,GBP
10,2005-02-09,,,,,0.343,0.343,GBP
11,2005-08-10,,,,,0.219,0.219,GBP
12,2006-02-08,,,,,0.518,0.518,GBP
13,2006-08-09,,,,,0.266,0.266,GBP
14,2007-02-07,,,,,0.63,0.63,GBP
15,2007-08-08,,,,,0.253,0.253,GBP
16,2008-02-06,,,,,0.677,0.677,GBP
17,2008-08-06,,,,,0.278,0.278,GBP
18,2009-02-04,,,,,1.048,1.048,GBP
19,2009-08-05,,,,,0.36,0.36,GBP
20,2010-02-03,,,,,1.054,1.054,GBP
21,2010-08-04,,,,,0.449,0.449,GBP
22,2011-02-02,,,,,1.167,1.167,GBP
23,2011-08-03,,,,,0.519,0.519,GBP
24,2012-02-15,,,,,1.236,1.236,GBP
25,2012-08-08,,,2012-09-10,Interim,0.581,0.581,GBP
26,2013-02-13,,,2013-03-18,Final,1.205,1.205,GBP
27,2013-08-14,,,2013-09-16,Interim,0.592,0.592,GBP
28,2014-02-19,2014-02-06,,2014-03-24,Final,1.168,1.168,GBP
29,2014-08-13,2014-07-31,,2014-09-15,Interim,0.531,0.531,GBP
30,2015-02-19,2014-11-06,,2015-03-23,Final,1.25,1.25,GBP
31,2015-08-13,2015-07-30,2015-08-13,2015-09-14,Interim,0.575,0.575,GBP
32,2016-02-18,2015-11-05,2016-02-18,2016-03-21,Final,1.31,1.31,GBP
33,2016-08-11,2015-11-05,2016-08-11,2016-09-12,Interim,0.687,0.687,GBP
34,2017-02-16,2016-11-10,2017-02-16,2017-03-20,Final,1.502,1.502,GBP
35,2017-08-10,2016-11-10,2017-08-10,2017-09-11,Interim,0.689,0.689,GBP
36,2018-02-15,2017-11-09,2018-02-15,2018-03-19,Final,1.336,1.336,GBP
37,2018-08-09,2017-11-09,2018-08-09,2018-09-10,Interim,0.684,0.684,GBP
38,2019-02-28,2018-11-08,2019-02-28,2019-03-27,Final,1.468,1.468,GBP
39,2019-08-08,2018-11-08,2019-08-08,2019-09-09,Interim,0.719,0.719,GBP
40,2020-02-27,2019-10-24,2020-02-27,2020-03-30,Interim,1.464,1.464,GBP
41,2020-08-13,2019-10-24,2020-08-13,2020-09-14,Interim,0.696,0.696,GBP
42,2021-02-25,2020-11-05,2021-02-25,2021-03-29,Interim,1.374,1.374,GBP
43,2021-08-12,2021-02-11,2021-08-12,2021-09-13,Interim,0.648,0.648,GBP
44,2022-02-24,2022-02-10,2022-02-24,2022-03-28,Interim,1.453,1.453,GBP
45,2022-08-11,2022-02-10,2022-08-11,2022-09-12,Interim,0.764,0.764,GBP
46,2023-02-23,2023-02-09,2023-02-23,2023-03-27,Final,1.628,1.628,GBP
47,2023-08-10,2023-02-09,2023-08-10,2023-09-11,Interim,0.718,0.718,GBP
48,2024-02-22,2024-02-08,2024-02-22,2024-03-25,Final,1.56,1.56,GBP
49,2024-08-08,2024-02-21,2024-08-08,2024-09-09,Interim,0.776,0.776,GBP
50,2025-02-20,2025-02-06,,2025-03-24,Final,1.68,1.68,GBP
51,2025-08-07,2025-02-06,,2025-09-08,Interim,0.767,0.767,GBP
