,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2000-04-28,,,,,1.66177,1.75001,NOK
1,2001-04-27,,,,,2.13656,2.25001,NOK
2,2002-04-26,,,,,2.27899,2.4,NOK
3,2003-04-25,,,,,2.27899,2.4,NOK
4,2004-04-30,,,,,2.08908,2.2,NOK
5,2005-04-22,,,,,2.42143,2.55,NOK
6,2006-04-26,,,,,3.32353,3.5,NOK
7,2007-04-25,,,,,3.79832,4.0,NOK
8,2008-05-02,,,,,4.27311,4.5,NOK
9,2010-04-28,,,,,1.75,1.75,NOK
10,2011-04-29,,,,,4.0,4.0,NOK
11,2012-04-26,,,,,2.0,2.0,NOK
12,2013-05-02,,,2013-05-13,Final,2.1,2.1,NOK
13,2014-04-25,2014-02-07,,2014-05-08,Final,2.7,2.7,NOK
14,2015-04-24,2015-02-05,,2015-05-07,Final,3.8,3.8,NOK
15,2016-04-27,2016-02-08,,2016-05-04,Final,4.5,4.5,NOK
16,2017-04-26,2016-02-02,,2017-05-05,Final,5.7,5.7,NOK
17,2018-04-25,2018-02-01,,2018-05-04,Final,7.1,7.1,NOK
18,2019-05-02,2019-02-07,,2019-05-10,Final,8.25,8.25,NOK
19,2021-02-24,,,2021-03-04,Final,8.4,8.4,NOK
20,2021-10-28,,,,,9.0,9.0,NOK
21,2022-04-27,,,,,9.75,9.75,NOK
22,2023-04-26,,,,,12.5,12.5,NOK
23,2024-04-30,,,,,16.0,16.0,NOK
24,2025-04-30,,,,,16.75,16.75,NOK
