,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2000-05-16,,,,,0.30591,1.22364,EUR
1,2001-05-11,,,,,0.30591,1.22364,EUR
2,2002-05-13,,,,,0.30591,1.22364,EUR
3,2003-05-09,,,,,0.30591,1.22364,EUR
4,2004-05-07,,,,,0.37005,1.4802,EUR
5,2005-05-17,,,,,0.4934,0.4934,EUR
6,2006-05-24,,,,,0.54717,0.54717,EUR
7,2007-06-05,,,,,0.64666,0.64666,EUR
8,2008-05-09,,,,,0.74614,0.74614,EUR
9,2009-05-15,,,,,0.64666,0.64666,EUR
10,2010-05-17,,,,,0.64666,0.64666,EUR
11,2011-05-17,,,,,0.6964,0.6964,EUR
12,2013-05-22,,,2013-05-24,Final,0.39794,0.39794,EUR
13,2014-05-21,,,2014-05-28,Final,0.2,0.2,EUR
14,2016-05-17,2016-05-18,,2016-05-19,Final,0.5,0.5,EUR
15,2017-05-23,2017-05-19,,2017-05-26,Final,1.0,1.0,EUR
16,2018-05-29,2018-05-30,,2018-06-01,Special,1.2,1.2,EUR
17,2019-05-20,2019-05-16,,2019-05-22,Special,1.4,1.4,EUR
18,2021-02-11,,,,,0.75,0.75,EUR
19,2021-05-25,2021-05-20,,2021-05-27,Final,0.5,0.5,EUR
20,2021-11-30,2021-11-05,,2021-12-02,Final,1.0,1.0,EUR
21,2022-05-23,,,2022-05-25,Final,1.6,1.6,EUR
22,2023-05-16,2022-10-17,,2023-05-19,Final,1.9,1.9,EUR
23,2024-05-27,2024-03-07,,2024-05-29,Final,2.7,2.7,EUR
24,2025-05-26,2024-12-02,,2025-05-28,Interim,3.0,3.0,EUR
