,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2000-05-26,,,,,0.13108,0.69834,EUR
1,2001-05-28,,,,,0.13107,0.13966,EUR
2,2002-06-03,,,,,0.10605,0.113,EUR
3,2003-06-13,,,,,0.08447,0.09,EUR
4,2004-04-27,,,,,0.08447,0.09,EUR
5,2005-04-26,,,,,0.09034,0.09243,EUR
6,2006-04-25,,,,,0.09773,0.1,EUR
7,2007-04-30,,,,,0.10751,0.11,EUR
8,2008-05-05,,,,,0.12217,0.125,EUR
9,2009-05-11,,,,,0.13683,0.14,EUR
10,2010-05-10,,,,,0.15149,0.155,EUR
11,2011-05-10,,,,,0.16615,0.17,EUR
12,2012-05-11,,,,,0.18081,0.185,EUR
13,2013-05-20,,,,,0.18081,0.185,EUR
14,2014-05-26,,,,,0.18081,0.185,EUR
15,2015-05-12,,,,,0.18081,0.185,EUR
16,2016-05-16,,,,,0.18081,0.185,EUR
17,2017-05-15,,,,,0.1857,0.19,EUR
18,2018-04-27,,,,,0.1857,0.19,EUR
19,2019-05-13,,,,,0.1857,0.19,EUR
20,2020-05-12,,,,,0.1857,0.19,EUR
21,2021-04-22,,,,,0.19,0.19,EUR
22,2022-04-26,,,,,0.19,0.19,EUR
23,2023-04-28,,,,,0.19,0.19,EUR
24,2024-05-06,,,,,0.195,0.195,EUR
25,2025-05-02,,,,,0.2,0.2,EUR
