,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2000-01-04,1999-12-21,2000-01-06,2000-01-31,Quarterly,0.27333,0.41,USD
1,2000-04-04,2000-03-21,2000-04-06,2000-04-30,Quarterly,0.32,0.48,USD
2,2000-07-03,2000-06-20,2000-07-06,2000-07-31,Quarterly,0.32,0.32,USD
3,2000-10-04,2000-09-19,2000-10-06,2000-10-31,Quarterly,0.32,0.32,USD
4,2001-01-03,2000-12-13,2001-01-05,2001-01-31,Other,0.32,0.32,USD
5,2001-04-04,2001-03-20,2001-04-06,2001-04-30,Quarterly,0.34,0.34,USD
6,2001-07-03,2001-06-19,2001-07-06,2001-07-31,Quarterly,0.34,0.34,USD
7,2001-10-03,2001-09-17,2001-10-05,2001-10-31,Quarterly,0.34,0.34,USD
8,2002-01-02,2001-12-18,2002-01-04,2002-01-31,Quarterly,0.34,0.34,USD
9,2002-04-03,2002-03-19,2002-04-05,2002-04-30,Quarterly,0.34,0.34,USD
10,2002-07-02,2002-05-21,2002-07-05,2002-07-31,Quarterly,0.34,0.34,USD
11,2002-10-02,2002-09-20,2002-10-05,2002-10-31,Quarterly,0.34,0.34,USD
12,2003-01-02,2002-12-17,2003-01-06,2003-01-31,Quarterly,0.34,0.34,USD
13,2003-04-02,2003-03-18,2003-04-04,2003-04-30,Quarterly,0.34,0.34,USD
14,2003-07-01,2003-05-21,2003-07-03,2003-07-31,Quarterly,0.34,0.34,USD
15,2003-10-02,2003-09-16,2003-10-06,2003-10-31,Quarterly,0.34,0.34,USD
16,2004-01-02,2003-11-18,2004-01-06,2004-01-31,Quarterly,0.34,0.34,USD
17,2004-04-02,2004-03-17,2004-04-06,2004-04-30,Quarterly,0.34,0.34,USD
18,2004-07-01,2004-04-20,2004-07-06,2004-07-31,Quarterly,0.34,0.34,USD
19,2004-10-04,2004-09-21,2004-10-06,2004-10-31,Quarterly,0.34,0.34,USD
20,2005-01-04,2004-12-14,2005-01-06,2005-01-31,Quarterly,0.34,0.34,USD
21,2005-04-04,2005-03-15,2005-04-06,2005-04-30,Quarterly,0.34,0.34,USD
22,2005-07-01,2005-05-17,2005-07-06,2005-07-31,Quarterly,0.34,0.34,USD
23,2005-10-04,2005-09-20,2005-10-06,2005-10-31,Quarterly,0.34,0.34,USD
24,2006-01-04,2005-12-13,2006-01-06,2006-01-31,Quarterly,0.34,0.34,USD
25,2006-04-04,2006-03-21,2006-04-06,2006-04-30,Quarterly,0.34,0.34,USD
26,2006-07-03,2006-05-16,2006-07-06,2006-07-31,Quarterly,0.34,0.34,USD
27,2006-10-04,2006-09-20,2006-10-06,2006-10-31,Quarterly,0.34,0.34,USD
28,2007-01-03,2006-12-12,2007-01-05,2007-01-31,Quarterly,0.34,0.34,USD
29,2007-04-03,2007-03-20,2007-04-05,2007-04-30,Quarterly,0.34,0.34,USD
30,2007-07-03,2007-04-18,2007-07-06,2007-07-31,Quarterly,0.38,0.38,USD
31,2007-10-03,2007-09-18,2007-10-05,2007-10-31,Quarterly,0.38,0.38,USD
32,2008-01-02,2007-12-11,2008-01-04,2008-01-31,Quarterly,0.38,0.38,USD
33,2008-04-02,2008-03-18,2008-04-04,2008-04-30,Quarterly,0.38,0.38,USD
34,2008-07-01,2008-05-20,2008-07-03,2008-07-31,Quarterly,0.38,0.38,USD
35,2008-10-02,2008-09-16,2008-10-06,2008-10-31,Quarterly,0.38,0.38,USD
36,2009-01-02,2008-12-09,2009-01-06,2009-01-31,Quarterly,0.38,0.38,USD
37,2009-04-02,2009-02-23,2009-04-06,2009-04-30,Quarterly,0.05,0.05,USD
38,2009-07-01,2009-05-20,2009-07-06,2009-07-31,Quarterly,0.05,0.05,USD
39,2009-10-02,2009-09-16,2009-10-06,2009-10-31,Quarterly,0.05,0.05,USD
40,2010-01-04,2009-12-09,2010-01-06,2010-01-31,Quarterly,0.05,0.05,USD
41,2010-04-01,2010-03-17,2010-04-06,2010-04-30,Quarterly,0.05,0.05,USD
42,2010-07-01,2010-05-19,2010-07-06,2010-07-31,Quarterly,0.05,0.05,USD
43,2010-10-04,2010-09-22,2010-10-06,2010-10-31,Quarterly,0.05,0.05,USD
44,2011-01-04,2010-12-15,2011-01-06,2011-01-31,Quarterly,0.05,0.05,USD
45,2011-04-04,2011-03-21,2011-04-06,2011-04-30,Quarterly,0.25,0.25,USD
46,2011-07-01,2011-05-18,2011-07-06,2011-07-31,Quarterly,0.25,0.25,USD
47,2011-10-04,2011-09-21,2011-10-06,2011-10-31,Quarterly,0.25,0.25,USD
48,2012-01-04,2011-12-14,2012-01-06,2012-01-31,Quarterly,0.25,0.25,USD
49,2012-04-03,2012-03-14,2012-04-05,2012-04-30,Quarterly,0.3,0.3,USD
50,2012-07-03,2012-05-17,2012-07-06,2012-07-31,Quarterly,0.3,0.3,USD
51,2012-10-03,2012-09-18,2012-10-05,2012-10-31,Quarterly,0.3,0.3,USD
52,2013-01-02,2012-12-11,2013-01-04,2013-01-31,Quarterly,0.3,0.3,USD
53,2013-04-03,2013-03-19,2013-04-05,2013-04-30,Quarterly,0.3,0.3,USD
54,2013-07-02,2013-05-21,2013-07-05,2013-07-31,Quarterly,0.38,0.38,USD
55,2013-10-02,2013-09-17,2013-10-04,2013-10-31,Quarterly,0.38,0.38,USD
56,2014-01-02,2013-12-10,2014-01-06,2014-01-31,Quarterly,0.38,0.38,USD
57,2014-04-02,2014-03-18,2014-04-04,2014-04-30,Quarterly,0.38,0.38,USD
58,2014-07-01,2014-05-20,2014-07-03,2014-07-31,Quarterly,0.4,0.4,USD
59,2014-10-02,2014-09-16,2014-10-06,2014-10-31,Quarterly,0.4,0.4,USD
60,2015-01-02,2014-12-09,2015-01-06,2015-01-31,Quarterly,0.4,0.4,USD
61,2015-04-01,2015-03-17,2015-04-06,2015-04-30,Quarterly,0.4,0.4,USD
62,2015-07-01,2015-05-19,2015-07-06,2015-07-31,Quarterly,0.44,0.44,USD
