,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2008-01-21,,,,,100.0,100.0,ILA
1,2008-06-18,,,,,18.373,18.373,ILA
2,2010-11-17,,,,,33.9316,33.9316,ILA
3,2011-01-11,,,,,33.9316,33.9316,ILA
4,2011-06-13,,,,,27.1453,27.1453,ILA
5,2017-06-13,,,,,8.1675,8.1675,ILA
6,2017-08-28,,,,,11.5038,11.5038,ILA
7,2017-12-04,,,,,21.5145,21.5145,ILA
8,2018-03-19,,,,,22.4083,22.4083,ILA
9,2018-06-05,,,,,19.177,19.177,ILA
10,2018-08-28,,,,,23.9552,23.9552,ILA
11,2018-11-27,,,,,25.0817,25.0817,ILA
12,2019-03-26,,,,,18.3951,18.3951,ILA
13,2019-06-10,,,,,29.2693,29.2693,ILA
14,2019-08-28,,,2019-09-08,,24.95,24.95,ILA
15,2019-12-11,,,2019-12-22,,20.87,20.87,ILA
16,2020-03-12,,,2020-03-23,,20.29,20.29,ILA
17,2021-08-25,,,2021-09-02,,43.36,43.36,ILA
18,2021-11-29,,,2021-12-12,,94.11,94.11,ILA
19,2022-03-29,,,2022-04-06,,40.48,40.48,ILA
20,2022-06-07,,,2022-06-15,,22.14,22.14,ILA
21,2022-08-29,,,2022-09-06,,25.82,25.82,ILA
22,2022-12-11,,,2022-12-19,,23.08,23.08,ILA
23,2023-03-27,,,2023-04-04,,45.2,45.2,ILA
24,2023-06-07,,,2023-06-15,,19.1,19.1,ILA
25,2023-08-28,,,2023-09-07,,48.05,48.05,ILA
26,2023-12-07,,,2023-12-17,,23.21,23.21,ILA
27,2024-03-27,,,2024-04-11,,23.97,23.97,ILA
28,2024-06-10,,,2024-06-20,,54.91,54.91,ILA
29,2024-08-26,,,2024-09-05,,44.96258,44.96258,ILA
30,2024-11-27,,,2024-12-05,,45.60958,45.60958,ILA
31,2025-03-12,,,2025-03-20,,47.01,47.01,ILA
32,2025-05-28,,,2025-06-10,,48.16,48.16,ILA
33,2025-08-20,,,2025-09-03,,65.53,65.53,ILA
