,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2002-04-17,,,,,0.64,6.4,CHF
1,2003-04-09,,,,,0.7,7.0,CHF
2,2004-04-28,,,,,0.72,7.2,CHF
3,2005-04-20,,,,,0.8,8.0,CHF
4,2006-04-12,,,,,0.9,9.0,CHF
5,2007-04-25,,,,,1.04,10.4,CHF
6,2008-04-16,,,,,1.22,12.2,CHF
7,2009-04-29,,,,,1.4,1.4,CHF
8,2010-04-19,,,,,1.6,1.6,CHF
9,2011-04-18,,,,,1.85,1.85,CHF
10,2012-04-23,,,,,1.95,1.95,CHF
11,2013-04-15,,,2013-04-18,Final,2.05,2.05,CHF
12,2014-04-14,,,2014-04-17,Final,2.15,2.15,CHF
13,2015-04-20,2015-02-19,,2015-04-22,Final,2.2,2.2,CHF
14,2016-04-11,2016-02-18,,2016-04-13,Final,2.25,2.25,CHF
15,2017-04-10,,,2017-04-12,Final,2.3,2.3,CHF
16,2018-04-16,2018-02-15,,2018-04-18,Final,2.35,2.35,CHF
17,2019-04-15,2019-02-14,,2019-04-17,Final,2.45,2.45,CHF
18,2020-04-27,2020-02-13,,2020-04-29,Final,2.7,2.7,CHF
19,2021-04-19,2021-02-18,,2021-04-21,Final,2.75,2.75,CHF
20,2022-04-11,2022-02-17,,2022-04-13,Final,2.8,2.8,CHF
21,2023-04-24,2023-02-16,,2023-04-26,Final,2.95,2.95,CHF
22,2024-04-22,2024-02-22,,2024-04-24,Final,3.0,3.0,CHF
23,2025-04-22,2025-02-13,,2025-04-24,Interim,3.05,3.05,CHF
