,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2012-11-20,2012-11-08,2012-11-23,2012-12-14,Quarterly,0.00188,0.0752,USD
1,2013-02-26,2013-02-13,2013-02-28,2013-03-21,Quarterly,0.00188,0.0752,USD
2,2013-05-21,2013-05-09,2013-05-23,2013-06-14,Quarterly,0.00188,0.0752,USD
3,2013-08-20,2013-08-08,2013-08-22,2013-09-13,Quarterly,0.00188,0.0752,USD
4,2013-11-19,2013-11-07,2013-11-21,2013-12-13,Quarterly,0.00213,0.0852,USD
5,2014-02-25,2014-02-12,2014-02-27,2014-03-20,Quarterly,0.00213,0.0852,USD
6,2014-05-20,2014-05-08,2014-05-22,2014-06-13,Quarterly,0.00213,0.0852,USD
7,2014-08-19,2014-08-07,2014-08-21,2014-09-12,Quarterly,0.00213,0.0852,USD
8,2014-11-19,2014-11-06,2014-11-21,2014-12-15,Quarterly,0.00213,0.0852,USD
9,2015-02-24,2015-02-11,2015-02-26,2015-03-19,Quarterly,0.00213,0.0852,USD
10,2015-05-19,2015-05-07,2015-05-21,2015-06-12,Quarterly,0.00244,0.0976,USD
11,2015-08-18,2015-08-06,2015-08-20,2015-09-11,Quarterly,0.00244,0.0976,USD
12,2015-11-18,2015-11-05,2015-11-20,2015-12-14,Quarterly,0.00288,0.1152,USD
13,2016-02-29,2016-02-17,2016-03-02,2016-03-23,Quarterly,0.00288,0.1152,USD
14,2016-05-24,2016-05-12,2016-05-26,2016-06-20,Quarterly,0.00288,0.1152,USD
15,2016-08-23,2016-08-11,2016-08-25,2016-09-16,Quarterly,0.00288,0.1152,USD
16,2016-11-23,2016-11-10,2016-11-28,2016-12-19,Quarterly,0.0035,0.14,USD
17,2017-02-22,2017-02-09,2017-02-24,2017-03-17,Quarterly,0.0035,0.14,USD
18,2017-05-19,2017-05-10,2017-05-23,2017-06-14,Quarterly,0.0035,0.14,USD
19,2017-08-22,2017-08-10,2017-08-24,2017-09-18,Quarterly,0.0035,0.14,USD
20,2017-11-22,2017-11-09,2017-11-24,2017-12-15,Quarterly,0.00375,0.15,USD
21,2018-02-22,2018-02-08,2018-02-23,2018-03-16,Quarterly,0.00375,0.15,USD
22,2018-05-23,2018-05-10,2018-05-24,2018-06-15,Quarterly,0.00375,0.15,USD
23,2018-08-29,2018-08-16,2018-08-30,2018-09-21,Quarterly,0.00375,0.15,USD
24,2018-11-29,2018-11-15,2018-11-30,2018-12-21,Quarterly,0.004,0.16,USD
25,2019-02-28,2019-02-14,2019-03-01,2019-03-22,Quarterly,0.004,0.16,USD
26,2019-05-30,2019-05-16,2019-05-31,2019-06-21,Quarterly,0.004,0.16,USD
27,2019-08-28,2019-08-15,2019-08-29,2019-09-20,Quarterly,0.004,0.16,USD
28,2019-11-27,2019-11-14,2019-11-29,2019-12-20,Quarterly,0.004,0.16,USD
29,2020-02-27,2020-02-13,2020-02-28,2020-03-20,Quarterly,0.004,0.16,USD
30,2020-06-04,2020-05-22,2020-06-05,2020-06-26,Quarterly,0.004,0.16,USD
31,2020-09-01,2020-08-19,2020-09-02,2020-09-24,Quarterly,0.004,0.16,USD
32,2020-12-03,2020-11-18,2020-12-04,2020-12-29,Quarterly,0.004,0.16,USD
33,2021-03-09,2021-02-24,2021-03-10,2021-03-31,Quarterly,0.004,0.16,USD
34,2021-06-09,2021-05-26,2021-06-10,2021-07-01,Quarterly,0.004,0.16,USD
35,2021-08-31,2021-08-18,2021-09-01,2021-09-23,Quarterly,0.004,0.04,USD
36,2021-12-01,2021-11-17,2021-12-02,2021-12-23,Quarterly,0.004,0.04,USD
37,2022-03-02,2022-02-16,2022-03-03,2022-03-24,Quarterly,0.004,0.04,USD
38,2022-06-08,2022-05-25,2022-06-09,2022-07-01,Quarterly,0.004,0.04,USD
39,2022-09-07,2022-08-24,2022-09-08,2022-09-29,Quarterly,0.004,0.04,USD
40,2022-11-30,2022-11-16,2022-12-01,2022-12-22,Quarterly,0.004,0.04,USD
41,2023-03-07,2023-02-22,2023-03-08,2023-03-29,Quarterly,0.004,0.04,USD
42,2023-06-07,2023-05-24,2023-06-08,2023-06-30,Quarterly,0.004,0.04,USD
43,2023-09-06,2023-08-23,2023-09-07,2023-09-28,Quarterly,0.004,0.04,USD
44,2023-12-05,2023-11-21,2023-12-06,2023-12-28,Quarterly,0.004,0.04,USD
45,2024-03-05,2024-02-21,2024-03-06,2024-03-27,Quarterly,0.004,0.04,USD
46,2024-06-11,2024-05-22,2024-06-11,2024-06-28,Quarterly,0.001,0.001,USD
47,2024-09-12,2024-08-28,2024-09-12,2024-10-03,Quarterly,0.01,0.01,USD
48,2024-12-05,2024-11-20,2024-12-05,2024-12-27,Quarterly,0.01,0.01,USD
49,2025-03-12,2025-02-26,2025-03-12,2025-04-02,Quarterly,0.01,0.01,USD
50,2025-06-11,2025-05-28,2025-06-11,2025-07-03,Quarterly,0.01,0.01,USD
51,2025-09-11,2025-08-27,2025-09-11,2025-10-02,Quarterly,0.01,0.01,USD
