,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2000-01-21,,2000-01-25,2000-02-24,Quarterly,0.135,0.54,CAD
1,2000-04-19,,2000-04-24,2000-05-24,Quarterly,0.135,0.54,CAD
2,2000-07-21,,2000-07-25,2000-08-24,Quarterly,0.15,0.6,CAD
3,2000-10-23,,2000-10-25,2000-11-24,Other,0.15,0.3,CAD
4,2001-01-22,,2001-01-24,2001-02-23,Quarterly,0.165,0.33,CAD
5,2001-04-20,,2001-04-24,2001-05-24,Quarterly,0.165,0.33,CAD
6,2001-07-23,,2001-07-25,2001-08-24,Quarterly,0.18,0.36,CAD
7,2001-10-22,,2001-10-24,2001-11-23,Quarterly,0.18,0.36,CAD
8,2002-01-22,,2002-01-24,2002-02-22,Quarterly,0.18,0.36,CAD
9,2002-04-22,,2002-04-24,2002-05-24,Quarterly,0.19,0.38,CAD
10,2002-07-22,,2002-07-24,2002-08-23,Quarterly,0.19,0.38,CAD
11,2002-10-21,,2002-10-23,2002-11-22,Quarterly,0.2,0.4,CAD
12,2003-01-23,,2003-01-27,2003-02-24,Quarterly,0.2,0.4,CAD
13,2003-04-21,,2003-04-23,2003-05-23,Quarterly,0.215,0.43,CAD
14,2003-07-21,,2003-07-23,2003-08-22,Quarterly,0.215,0.43,CAD
15,2003-10-23,,2003-10-27,2003-11-24,Quarterly,0.23,0.46,CAD
16,2004-01-22,,2004-01-26,2004-02-24,Quarterly,0.23,0.46,CAD
17,2004-04-20,,2004-04-22,2004-05-21,Quarterly,0.26,0.52,CAD
18,2004-07-22,,2004-07-26,2004-08-24,Quarterly,0.26,0.52,CAD
19,2004-10-22,,2004-10-26,2004-11-24,Quarterly,0.26,0.52,CAD
20,2005-01-24,,2005-01-26,2005-02-24,Quarterly,0.275,0.55,CAD
21,2005-04-21,,2005-04-25,2005-05-24,Quarterly,0.275,0.55,CAD
22,2005-07-22,,2005-07-26,2005-08-24,Quarterly,0.305,0.61,CAD
23,2005-10-21,,2005-10-25,2005-11-23,Quarterly,0.32,0.64,CAD
24,2006-01-24,,2006-01-26,2006-02-24,Quarterly,0.32,0.64,CAD
25,2006-04-21,,2006-04-25,2006-05-24,Quarterly,0.36,0.36,CAD
26,2006-07-24,,2006-07-26,2006-08-24,Quarterly,0.36,0.36,CAD
27,2006-10-24,,2006-10-26,2006-11-24,Quarterly,0.4,0.4,CAD
28,2007-01-23,,2007-01-25,2007-02-23,Quarterly,0.4,0.4,CAD
29,2007-04-23,,2007-04-25,2007-05-24,Quarterly,0.46,0.46,CAD
30,2007-07-24,,2007-07-26,2007-08-24,Quarterly,0.46,0.46,CAD
31,2007-10-23,,2007-10-25,2007-11-23,Quarterly,0.5,0.5,CAD
32,2008-01-22,,2008-01-24,2008-02-22,Quarterly,0.5,0.5,CAD
33,2008-04-22,,2008-04-24,2008-05-23,Quarterly,0.5,0.5,CAD
34,2008-07-22,,2008-07-24,2008-08-22,Quarterly,0.5,0.5,CAD
35,2008-10-23,,2008-10-27,2008-11-24,Quarterly,0.5,0.5,CAD
36,2009-01-22,,2009-01-26,2009-02-24,Quarterly,0.5,0.5,CAD
37,2009-04-21,,2009-04-23,2009-05-22,Quarterly,0.5,0.5,CAD
38,2009-07-23,,2009-07-27,2009-08-24,Quarterly,0.5,0.5,CAD
39,2009-10-22,,2009-10-26,2009-11-24,Quarterly,0.5,0.5,CAD
40,2010-01-22,,2010-01-26,2010-02-24,Quarterly,0.5,0.5,CAD
41,2010-04-20,,2010-04-22,2010-05-21,Quarterly,0.5,0.5,CAD
42,2010-07-22,,2010-07-26,2010-08-24,Quarterly,0.5,0.5,CAD
43,2010-10-22,,2010-10-26,2010-11-24,Quarterly,0.5,0.5,CAD
44,2011-01-24,,2011-01-26,2011-02-24,Quarterly,0.5,0.5,CAD
45,2011-04-21,,2011-04-26,2011-05-24,Quarterly,0.5,0.5,CAD
46,2011-07-22,,2011-07-26,2011-08-24,Quarterly,0.54,0.54,CAD
47,2011-10-24,,2011-10-26,2011-11-24,Quarterly,0.54,0.54,CAD
48,2012-01-24,,2012-01-26,2012-02-24,Quarterly,0.54,0.54,CAD
49,2012-04-23,,2012-04-25,2012-05-24,Quarterly,0.57,0.57,CAD
50,2012-07-24,,2012-07-26,2012-08-24,Quarterly,0.57,0.57,CAD
51,2012-10-23,,2012-10-25,2012-11-23,Quarterly,0.6,0.6,CAD
52,2013-01-22,2012-11-29,2013-01-24,2013-02-22,Quarterly,0.6,0.6,CAD
53,2013-04-23,2013-02-28,2013-04-25,2013-05-24,Quarterly,0.63,0.63,CAD
54,2013-07-23,2013-05-30,2013-07-25,2013-08-23,Quarterly,0.63,0.63,CAD
55,2013-10-22,2013-08-29,2013-10-24,2013-11-22,Quarterly,0.67,0.67,CAD
56,2014-01-23,2013-12-05,2014-01-27,2014-02-24,Quarterly,0.67,0.67,CAD
57,2014-04-22,2014-02-26,2014-04-24,2014-05-23,Quarterly,0.71,0.71,CAD
58,2014-07-22,2014-05-22,2014-07-24,2014-08-22,Quarterly,0.71,0.71,CAD
59,2014-10-23,2014-08-22,2014-10-27,2014-11-24,Quarterly,0.75,0.75,CAD
60,2015-01-22,2014-12-03,2015-01-26,2015-02-24,Quarterly,0.75,0.75,CAD
61,2015-04-21,2015-02-24,2015-04-23,2015-05-22,Quarterly,0.77,0.77,CAD
62,2015-07-23,2015-05-28,2015-07-27,2015-08-24,Quarterly,0.77,0.77,CAD
63,2015-10-22,2015-08-26,2015-10-26,2015-11-24,Quarterly,0.79,0.79,CAD
64,2016-01-22,2015-12-02,2016-01-26,2016-02-24,Quarterly,0.79,0.79,CAD
65,2016-04-21,2016-02-24,2016-04-25,2016-05-24,Quarterly,0.81,0.81,CAD
66,2016-07-22,2016-05-26,2016-07-26,2016-08-24,Quarterly,0.81,0.81,CAD
67,2016-10-24,2016-08-24,2016-10-26,2016-11-24,Quarterly,0.83,0.83,CAD
68,2017-01-24,2016-11-30,2017-01-26,2017-02-24,Quarterly,0.83,0.83,CAD
69,2017-04-21,2017-02-24,2017-04-25,2017-05-24,Quarterly,0.87,0.87,CAD
70,2017-07-24,2017-05-25,2017-07-26,2017-08-24,Quarterly,0.87,0.87,CAD
71,2017-10-25,2017-08-23,2017-10-26,2017-11-24,Quarterly,0.91,0.91,CAD
