,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2000-01-31,,,,,0.0476,0.05043,EUR
1,2000-04-29,,,,,0.04414,0.04677,EUR
2,2000-05-02,,,,,0.05009,0.05307,EUR
3,2000-05-04,,,,,0.05409,0.05731,EUR
4,2000-07-31,,,,,0.05793,0.06138,EUR
5,2000-10-31,,,,,0.05793,0.06138,EUR
6,2001-01-31,,,,,0.05793,0.06138,EUR
7,2001-04-30,,,,,0.06582,0.06974,EUR
8,2001-07-31,,,,,0.06582,0.06974,EUR
9,2001-10-31,,,,,0.06582,0.06974,EUR
10,2002-01-31,,,,,0.06582,0.06974,EUR
11,2002-04-30,,,,,0.05529,0.05858,EUR
12,2002-08-01,,,,,0.06791,0.07195,EUR
13,2002-11-01,,,,,0.06582,0.06974,EUR
14,2002-11-04,,,,,0.05305,0.05621,EUR
15,2003-02-03,,,,,0.06502,0.06889,EUR
16,2003-05-02,,,,,0.05256,0.05569,EUR
17,2003-08-01,,,,,0.06708,0.07107,EUR
18,2003-11-03,,,,,0.06708,0.07107,EUR
19,2004-02-02,,,,,0.06708,0.07107,EUR
20,2004-05-03,,,,,0.06094,0.06457,EUR
21,2004-08-02,,,,,0.07184,0.07612,EUR
22,2004-11-01,,,,,0.07184,0.07612,EUR
23,2005-02-01,,,,,0.07184,0.07612,EUR
24,2005-05-02,,,,,0.07288,0.07722,EUR
25,2005-08-01,,,,,0.08046,0.08525,EUR
26,2005-11-01,,,,,0.08046,0.08525,EUR
27,2006-02-01,,,,,0.08046,0.08525,EUR
28,2006-05-02,,,,,0.11911,0.1262,EUR
29,2006-08-01,,,,,0.09253,0.09804,EUR
30,2006-11-01,,,,,0.09253,0.09804,EUR
31,2007-02-01,,,,,0.09253,0.09804,EUR
32,2007-05-02,,,,,0.17301,0.18331,EUR
33,2007-06-29,,,2007-06-29,Final,0.45754,0.48478,EUR
34,2007-08-01,,,,,0.10641,0.11274,EUR
35,2007-11-01,,,,,0.10641,0.11274,EUR
36,2008-02-01,,,,,0.10641,0.11274,EUR
37,2008-05-02,,,,,0.24404,0.25857,EUR
38,2008-06-30,,,2008-06-30,Final,0.57191,0.60596,EUR
39,2008-08-01,,,,,0.11705,0.12402,EUR
40,2008-11-03,,,,,0.11705,0.12402,EUR
41,2009-02-02,,,,,0.11413,0.12092,EUR
42,2009-04-30,,,,,0.19591,0.20757,EUR
43,2009-06-30,,,2009-06-30,Final,0.61341,0.64993,EUR
44,2009-08-03,,,,,0.12554,0.13301,EUR
45,2009-10-16,,,,,0.09089,0.0963,EUR
46,2009-11-04,,,,,0.1114,0.11803,EUR
47,2010-02-01,,,,,0.11413,0.12092,EUR
48,2010-05-03,,,,,0.20592,0.21818,EUR
49,2010-06-30,,,2010-06-30,Final,0.56545,0.59911,EUR
50,2010-08-02,,,2010-09-01,Quarterly,0.12554,0.13301,EUR
51,2010-10-15,,,2010-11-01,Quarterly,0.11047,0.11705,EUR
52,2011-01-17,,,2011-02-01,Quarterly,0.11028,0.11685,EUR
53,2011-05-02,,,2011-05-02,Quarterly,0.21563,0.22501,EUR
54,2011-08-01,,,2011-08-01,Quarterly,0.12747,0.13301,EUR
55,2011-10-17,,,2011-11-03,Quarterly,0.11876,0.12392,EUR
56,2012-01-16,,,2012-02-02,Quarterly,0.11217,0.11705,EUR
57,2012-04-13,,,2012-05-03,Quarterly,0.20737,0.21639,EUR
58,2012-07-11,,,2012-08-13,Quarterly,0.14327,0.1495,EUR
59,2012-10-17,,,2012-11-05,Quarterly,0.14139,0.14754,EUR
60,2013-01-11,,,2013-02-08,Quarterly,0.14327,0.1495,EUR
61,2013-04-10,,,2013-05-08,Quarterly,0.14139,0.14754,EUR
62,2013-07-15,,,2013-08-01,Quarterly,0.14139,0.14754,EUR
63,2013-10-14,,,2013-11-08,Quarterly,0.14421,0.15048,EUR
64,2014-01-13,,,2014-02-07,Quarterly,0.14327,0.1495,EUR
65,2014-04-09,,,,,0.11095,0.11577,EUR
66,2014-04-10,2014-01-30,,2014-05-09,Quarterly,0.14044,0.14655,EUR
67,2014-04-14,,,,,0.11095,0.11577,EUR
68,2014-07-15,2014-01-30,,2014-08-01,Quarterly,0.14327,0.1495,EUR
69,2014-10-20,2014-01-30,,2014-11-06,Quarterly,0.14233,0.14852,EUR
70,2015-01-14,,,2015-02-02,Quarterly,0.13762,0.1436,EUR
71,2015-04-14,,,2015-05-04,Quarterly,0.14233,0.14852,EUR
72,2015-08-03,,,2015-08-01,Quarterly,0.04713,0.04918,EUR
73,2015-10-20,2015-07-31,,2015-11-06,Quarterly,0.04713,0.04918,EUR
74,2016-02-01,,,2016-02-01,Quarterly,0.04713,0.04918,EUR
75,2016-04-28,2016-03-18,,2016-05-03,Quarterly,0.04713,0.04918,EUR
76,2016-07-27,2016-04-27,,2016-08-01,Quarterly,0.05184,0.05409,EUR
77,2016-10-18,,,2016-11-03,Quarterly,0.04242,0.04426,EUR
78,2017-01-30,,,2017-02-01,Quarterly,0.05184,0.05409,EUR
79,2017-04-27,,,2017-05-02,Quarterly,0.05184,0.05409,EUR
80,2017-08-02,2017-07-04,,2017-08-04,Quarterly,0.0575,0.06,EUR
81,2017-10-18,,,2017-11-03,Quarterly,0.03833,0.04,EUR
82,2018-01-30,2017-12-20,,2018-02-01,Quarterly,0.0575,0.06,EUR
83,2018-04-27,,,2018-05-02,Quarterly,0.0575,0.06,EUR
84,2018-07-30,2018-06-26,,2018-08-01,Quarterly,0.06229,0.065,EUR
85,2018-10-18,,,2018-11-05,Quarterly,0.03354,0.035,EUR
86,2019-01-30,2018-12-19,,2019-02-01,Quarterly,0.06229,0.065,EUR
87,2019-04-29,2019-04-12,,2019-05-02,Quarterly,0.06229,0.065,EUR
88,2019-10-30,2019-09-24,,2019-11-01,Interim,0.09583,0.1,EUR
89,2021-04-30,2021-03-26,,2021-05-04,Final,0.0275,0.0275,EUR
90,2021-10-29,2021-09-28,,2021-11-02,Interim,0.0485,0.0485,EUR
91,2022-04-28,2022-02-24,,2022-05-02,Final,0.0515,0.0515,EUR
92,2022-10-31,,,2022-11-02,Interim,0.0583,0.0583,EUR
93,2023-04-27,2023-02-28,,2023-05-02,Final,0.0595,0.0595,EUR
94,2023-10-31,2023-09-26,,2023-11-02,Interim,0.081,0.081,EUR
95,2024-04-29,2024-02-19,,2024-05-02,Final,0.095,0.095,EUR
96,2024-10-30,2024-09-24,,2024-11-01,Interim,0.1,0.1,EUR
97,2025-04-29,2025-02-25,,2025-05-02,Final,0.11,0.11,EUR
