,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2000-05-08,,,2000-05-08,,0.13083,1.56996,EUR
1,2001-05-04,,,2001-05-04,,0.1425,0.57,EUR
2,2002-05-06,,,2002-05-06,,0.145,0.58,EUR
3,2003-05-12,,,2003-05-12,,0.15,0.6,EUR
4,2004-05-07,,,2004-05-07,,0.2,0.8,EUR
5,2005-05-13,,,2005-05-13,,0.275,1.1,EUR
6,2006-05-10,,,2006-05-11,,0.3625,1.45,EUR
7,2007-05-11,,,2007-05-11,,0.46,0.46,EUR
8,2008-06-04,,,2008-06-04,,0.5,0.5,EUR
9,2009-05-20,,,2009-05-20,,0.5,0.5,EUR
10,2010-06-09,,,2010-06-09,,0.5,0.5,EUR
11,2011-05-26,,,2011-05-26,,0.6,0.6,EUR
12,2012-05-24,,,2012-05-24,,0.75,0.75,EUR
13,2013-06-05,,,2013-06-05,Final,0.85,0.85,EUR
14,2014-05-22,,,2014-05-22,Final,1.0,1.0,EUR
15,2015-05-21,,,2015-05-21,Final,1.1,1.1,EUR
16,2016-05-13,2016-03-29,,2016-05-13,Final,1.15,1.15,EUR
17,2017-05-11,2017-03-31,,2017-05-15,Final,1.25,1.25,EUR
18,2018-05-18,2018-02-22,,2018-05-22,Final,1.4,1.4,EUR
19,2019-05-16,2019-02-22,,2019-05-20,Final,1.5,1.5,EUR
20,2020-05-21,2020-04-21,,2020-05-25,Final,1.58,1.58,EUR
21,2021-05-13,2021-02-26,,2021-05-18,Final,1.85,1.85,EUR
22,2022-05-19,2022-02-24,,2022-05-23,Final,2.45,2.45,EUR
23,2023-05-12,2023-02-27,,2023-05-16,Final,2.05,2.05,EUR
24,2024-05-16,2024-02-09,,2024-05-21,Final,2.2,2.2,EUR
25,2025-05-14,2025-02-20,,2025-05-16,Final,2.35,2.35,EUR
