,date,declarationDate,recordDate,paymentDate,period,value,unadjustedValue,currency
0,2000-06-09,,,,,0.66203,1.32406,EUR
1,2001-05-07,,,,,0.79048,1.58096,EUR
2,2002-05-31,,,,,0.64227,1.28454,EUR
3,2003-05-20,,,,,0.49405,0.9881,EUR
4,2004-05-10,,,,,0.81519,1.63038,EUR
5,2005-05-17,,,,,0.88929,1.77858,EUR
6,2006-05-09,,,,,1.11162,2.22324,EUR
7,2007-02-22,,,,,0.11793,0.23586,EUR
8,2007-05-02,,,2007-05-02,,1.5,3.0,EUR
9,2008-04-25,,,2008-04-30,,1.65,3.3,EUR
10,2009-05-04,,,2009-05-29,,1.725,3.45,EUR
11,2010-05-04,,,2010-06-01,,1.025,2.05,EUR
12,2011-04-29,,,2011-05-04,,1.6,3.2,EUR
13,2012-05-11,,,2012-05-16,,1.7,1.7,EUR
14,2013-05-02,,,2013-05-07,Final,1.87,1.87,EUR
15,2014-05-14,,,2014-05-19,Final,1.87,1.87,EUR
16,2015-04-30,2015-02-19,,2015-05-05,Final,1.92,1.92,EUR
17,2016-05-05,2016-03-08,,2016-05-09,Final,2.0,2.0,EUR
18,2017-05-08,2017-03-03,,2017-05-10,Final,2.04,2.04,EUR
19,2018-05-02,2018-02-15,,2018-05-04,Final,2.2,2.2,EUR
20,2019-04-30,2019-02-14,,2019-05-03,Final,2.35,2.35,EUR
21,2020-05-05,2020-02-20,,2020-05-07,Final,2.55,2.55,EUR
22,2021-05-10,2021-02-11,,2021-05-12,Final,2.6,2.6,EUR
23,2022-05-17,2021-10-27,,2022-05-19,Final,2.9,2.9,EUR
24,2023-05-09,2022-07-28,,2023-05-11,Final,3.15,3.15,EUR
25,2024-05-28,2024-02-15,,2024-05-30,Final,3.5,3.5,EUR
26,2025-05-13,2025-02-20,,2025-05-15,Interim,3.9,3.9,EUR
