,date,open,high,low,close,adjusted_close,volume
0,2010-10-29,23.15,23.15,23.05,23.05,18.1438,2080560896
1,2010-11-01,23.6,23.6,23.21,23.21,18.2698,354288959
2,2010-11-02,23.0,23.0,22.55,22.6,17.7896,165795570
3,2010-11-03,22.65,22.8,22.45,22.65,17.8289,181364196
4,2010-11-04,22.75,22.9,22.7,22.9,18.0257,107108566
5,2010-11-05,23.2,23.75,23.0,23.05,18.1438,218154896
6,2010-11-08,23.1,23.7,23.1,23.7,18.6555,151807278
7,2010-11-09,23.6,23.95,23.5,23.75,18.6948,186787428
8,2010-11-10,23.65,23.65,23.15,23.6,18.5767,170176318
9,2010-11-11,23.85,24.6,23.55,24.45,19.2458,609203714
10,2010-11-12,24.0,24.0,23.35,23.4,18.4193,181891552
11,2010-11-15,23.85,23.85,23.25,23.45,18.4587,58157760
12,2010-11-16,23.6,23.6,22.95,23.4,18.4193,66258996
13,2010-11-17,23.15,23.3,22.7,22.8,17.947,80271002
14,2010-11-18,23.15,23.4,23.0,23.3,18.3406,58038403
15,2010-11-19,23.4,23.4,22.278,23.25,18.3012,34120123
16,2010-11-22,23.25,23.3,22.9,22.95,18.0651,42937986
17,2010-11-23,22.8,23.05,22.65,22.75,17.9077,57604845
18,2010-11-24,22.75,22.9,22.5,22.7,17.8683,71606551
19,2010-11-25,22.9,22.9,22.5,22.65,17.8289,33543250
20,2010-11-26,22.55,22.65,22.4,22.55,17.7502,36355685
21,2010-11-29,22.4,22.7,22.4,22.6,17.7896,29478529
22,2010-11-30,22.55,22.65,22.2,22.45,17.6715,56358898
23,2010-12-01,22.7,23.1,22.55,22.9,18.0257,72802933
24,2010-12-02,23.25,23.45,22.6,22.75,17.9077,151491194
25,2010-12-03,22.55,22.75,22.5,22.6,17.7896,90298637
26,2010-12-06,22.8,22.85,22.4,22.45,17.6715,43998297
27,2010-12-07,22.35,22.6,22.2,22.45,17.6715,33546242
28,2010-12-08,22.55,22.7,22.4,22.5,17.7109,54554172
29,2010-12-09,22.5,22.6,22.35,22.4,17.6322,30037818
30,2010-12-10,22.25,22.4,22.15,22.25,17.5141,37053699
31,2010-12-13,22.35,22.5,22.2,22.3,17.5534,37861133
32,2010-12-14,22.25,22.35,22.1,22.1,17.396,29359733
33,2010-12-15,22.15,22.25,21.95,22.1,17.396,59685146
34,2010-12-16,22.1,22.15,21.85,21.9,17.2386,54384062
35,2010-12-17,22.0,22.5,21.95,22.35,17.5928,44284986
36,2010-12-20,22.35,22.35,22.0,22.15,17.4354,21985958
37,2010-12-21,22.2,22.3,22.05,22.1,17.396,16351247
38,2010-12-22,22.05,22.15,21.75,21.85,17.1992,57414850
39,2010-12-23,22.0,22.15,21.85,21.95,17.2779,38906764
40,2010-12-24,21.9,22.0,21.85,21.95,17.2779,10826496
41,2010-12-28,21.9,21.95,21.75,21.9,17.2386,15953600
42,2010-12-29,21.95,22.2,21.9,22.05,17.3567,24665722
43,2010-12-30,22.3,22.3,22.05,22.2,17.4747,16080410
44,2010-12-31,22.3,22.3,21.65,21.85,17.1992,9596693
45,2011-01-03,22.1,22.3,22.0,22.25,17.5141,13705173
46,2011-01-04,22.8,22.8,22.35,22.55,17.7502,26916819
47,2011-01-05,22.6,22.6,22.35,22.45,17.6715,24733753
48,2011-01-06,22.65,22.65,22.2,22.3,17.5534,27148821
49,2011-01-07,22.35,22.45,22.15,22.3,17.5534,26760325
50,2011-01-10,22.3,22.3,21.75,21.75,17.1205,41090320
51,2011-01-11,21.8,21.85,21.6,21.7,17.0812,38631111
52,2011-01-12,21.7,21.7,21.2,21.45,16.8844,51594412
53,2011-01-13,21.65,21.85,21.6,21.75,17.1205,51894290
54,2011-01-14,21.75,21.75,21.35,21.4,16.845,42996316
55,2011-01-17,21.4,21.5,21.0,21.2,16.6876,42672095
56,2011-01-18,21.2,21.45,21.1,21.15,16.6482,27095600
57,2011-01-19,21.45,21.8,21.35,21.75,17.1205,46643105
58,2011-01-20,21.55,21.95,21.55,21.75,17.1205,36944669
59,2011-01-21,21.65,21.8,21.6,21.6,17.0024,19082580
60,2011-01-24,21.8,22.1,21.6,21.9,17.2386,31604657
61,2011-01-25,21.9,22.0,21.65,21.8,17.1599,17308848
62,2011-01-26,21.9,21.95,21.5,21.7,17.0812,15574800
63,2011-01-27,21.95,22.0,21.8,21.9,17.2386,20100338
64,2011-01-28,22.0,22.0,20.8,21.65,17.0418,18614425
65,2011-01-31,21.45,21.65,21.3,21.45,16.8844,27054564
66,2011-02-01,21.45,21.65,21.3,21.5,16.9237,19244687
67,2011-02-02,21.65,21.75,21.5,21.6,17.0024,14623381
68,2011-02-07,21.9,22.05,21.85,22.0,17.3173,40023172
69,2011-02-08,22.1,22.45,22.0,22.4,17.6322,35337898
70,2011-02-09,22.5,22.5,22.0,22.05,17.3567,47666371
71,2011-02-10,22.05,22.45,22.0,22.05,17.3567,47867000
72,2011-02-11,22.35,22.6,22.2,22.45,17.6715,42156075
73,2011-02-14,22.15,22.45,22.15,22.4,17.6322,24880077
74,2011-02-15,22.4,22.5,22.35,22.45,17.6715,20133304
75,2011-02-16,22.5,22.5,22.05,22.15,17.4354,14047991
76,2011-02-17,22.15,22.2,21.8,21.85,17.1992,25005151
77,2011-02-18,22.0,22.05,21.7,21.8,17.1599,18877811
78,2011-02-21,21.8,21.8,21.55,21.65,17.0418,24000367
79,2011-02-22,21.5,21.6,21.3,21.5,16.9237,15120699
80,2011-02-23,21.55,21.6,21.3,21.35,16.8057,16645527
81,2011-02-24,21.25,21.5,21.0,21.1,16.6089,31586382
82,2011-02-25,22.0,22.6,21.75,22.3,17.5534,101770244
83,2011-02-28,22.6,22.8,22.4,22.7,17.8683,70573760
84,2011-03-01,22.75,22.95,22.55,22.65,17.8289,52176705
85,2011-03-02,22.4,22.5,22.15,22.45,17.6715,24220188
86,2011-03-03,22.45,22.85,22.45,22.8,17.947,29960222
87,2011-03-04,23.0,23.0,22.7,22.85,17.9864,40771345
88,2011-03-07,23.2,23.25,22.9,23.0,18.1045,48159247
89,2011-03-08,23.15,23.95,23.1,23.9,18.8129,135198458
90,2011-03-09,24.0,24.1,23.55,23.7,18.6555,52142005
91,2011-03-10,23.9,23.9,23.4,23.7,18.6555,27836410
92,2011-03-11,23.5,23.6,22.8,23.1,18.1832,50362079
93,2011-03-14,22.9,23.1,22.5,22.95,18.0651,39384354
94,2011-03-15,22.8,22.85,21.75,22.7,17.8683,70838311
95,2011-03-16,23.0,23.25,22.75,23.1,18.1832,55554818
96,2011-03-17,22.8,22.95,22.65,22.75,17.9077,55259267
97,2011-03-18,22.95,22.95,22.45,22.6,17.7896,40772916
98,2011-03-21,22.7,23.1,22.65,23.0,18.1045,27554187
99,2011-03-22,23.15,23.15,22.9,23.1,18.1832,26673180
100,2011-03-23,23.0,23.65,23.0,23.5,18.498,61491705
101,2011-03-24,23.75,23.95,23.6,23.9,18.8129,70485245
102,2011-03-25,24.0,24.1,23.5,24.0,18.8916,73641524
103,2011-03-28,23.6,24.2,23.6,23.9,18.8129,37667798
104,2011-03-29,23.85,24.0,23.8,23.9,18.8129,25826313
105,2011-03-30,24.15,24.15,23.8,23.85,18.7735,25061926
106,2011-03-31,24.0,24.15,23.85,23.95,18.8522,38490133
107,2011-04-01,24.4,24.4,24.1,24.15,19.0097,46469449
108,2011-04-04,24.2,24.55,24.2,24.5,19.2852,43728894
109,2011-04-06,24.9,24.9,24.65,24.85,19.5607,45582950
110,2011-04-07,24.85,24.95,24.6,24.8,19.5213,25688332
111,2011-04-08,24.65,24.8,24.05,24.2,19.049,38291868
112,2011-04-11,24.2,24.5,24.05,24.15,19.0097,23141552
113,2011-04-12,24.15,24.2,23.95,24.05,18.931,26491617
114,2011-04-13,24.1,24.6,24.05,24.4,19.2065,34113367
115,2011-04-14,24.5,24.85,24.35,24.75,19.482,29314550
116,2011-04-15,24.9,25.15,24.75,25.05,19.7181,53813886
117,2011-04-18,25.4,26.2,25.4,25.7,20.2298,75292895
118,2011-04-19,25.7,26.05,25.5,25.95,20.4265,66450278
119,2011-04-20,26.1,26.15,25.5,25.85,20.3478,50746894
120,2011-04-21,25.85,26.8,25.85,26.75,21.0563,63300070
121,2011-04-26,26.45,26.65,25.7,25.9,20.3872,40586627
122,2011-04-27,26.05,26.2,25.5,25.55,20.1117,31061159
123,2011-04-28,26.05,26.5,25.8,25.9,20.3872,36929589
124,2011-04-29,26.45,26.45,26.0,26.15,20.584,20843100
125,2011-05-03,26.45,26.75,26.0,26.1,20.5446,26108795
126,2011-05-04,25.7,26.3,25.5,26.2,20.6233,27937140
127,2011-05-05,26.15,26.8,25.95,26.8,21.0956,40781469
128,2011-05-06,26.5,26.75,26.35,26.5,20.8595,30063363
129,2011-05-09,26.6,27.65,26.6,27.45,21.6073,70374275
130,2011-05-11,27.7,27.8,27.25,27.4,21.5679,48015861
131,2011-05-12,27.0,27.0,26.5,26.8,21.0956,53632253
132,2011-05-13,27.0,27.0,26.55,26.75,21.0563,28810985
133,2011-05-16,26.85,26.95,26.35,26.5,20.8595,21642508
134,2011-05-17,26.3,26.6,25.8,26.5,20.8595,35910845
135,2011-05-18,26.4,26.7,26.3,26.4,20.7808,19685274
136,2011-05-19,26.75,27.0,26.45,26.8,21.0956,21361648
137,2011-05-20,26.9,26.9,26.45,26.5,20.8595,15340820
138,2011-05-23,26.15,26.55,25.75,26.0,20.4659,32561596
139,2011-05-24,26.0,26.15,25.75,26.1,20.5446,22375035
140,2011-05-25,26.0,26.25,25.7,26.15,20.584,24608494
141,2011-05-26,26.1,26.35,25.95,26.15,20.584,21718557
142,2011-05-27,26.3,26.75,26.1,26.7,21.0169,22270060
143,2011-05-30,26.85,27.5,26.6,27.45,21.6073,36552926
144,2011-05-31,27.35,27.65,27.2,27.45,21.6073,47182529
145,2011-06-01,27.45,27.55,27.2,27.35,21.5286,56331535
146,2011-06-02,27.0,27.35,26.95,27.35,21.5286,46000189
147,2011-06-03,27.45,28.15,27.2,28.05,22.0796,236795745
148,2011-06-07,27.2,27.85,27.2,27.6,21.7253,80587625
149,2011-06-08,27.4,27.75,27.3,27.4,21.5679,39732718
150,2011-06-09,27.25,28.0,27.25,27.95,22.0008,53252119
151,2011-06-10,28.0,28.2,27.6,28.0,22.0402,43267064
152,2011-06-13,27.8,28.2,27.65,28.15,22.1583,30383619
153,2011-06-14,27.9,28.5,27.8,28.1,22.1189,27779622
154,2011-06-15,27.9,28.1,27.25,27.25,21.4498,37009566
155,2011-06-16,26.85,26.85,25.9,26.1,20.5446,93786301
156,2011-06-17,26.1,26.2,25.55,25.85,20.3478,38153759
157,2011-06-20,25.9,26.3,25.35,25.85,20.3478,25881764
158,2011-06-21,26.2,26.6,25.95,26.5,20.8595,34850231
159,2011-06-22,26.7,27.0,26.3,26.65,20.9776,31848976
160,2011-06-23,26.45,26.95,26.3,26.8,21.0956,27210008
161,2011-06-24,26.9,27.05,26.7,26.95,21.2137,21593908
162,2011-06-27,26.55,27.0,26.5,26.9,21.1743,25133897
163,2011-06-28,26.8,26.95,26.35,26.75,21.0563,20530087
164,2011-06-29,26.9,27.0,26.65,26.8,21.0956,21160041
165,2011-06-30,26.8,27.15,26.7,26.95,21.2137,25066384
166,2011-07-04,27.2,27.5,27.15,27.35,21.5286,32753533
167,2011-07-05,27.5,27.8,27.3,27.6,21.7253,21992190
168,2011-07-06,27.75,28.0,27.2,27.3,21.4892,32105343
169,2011-07-07,27.2,27.95,27.2,27.75,21.8434,35830557
170,2011-07-08,27.9,28.15,27.8,27.95,22.0008,23433261
171,2011-07-11,27.85,27.9,27.4,27.45,21.6073,11763659
172,2011-07-12,27.05,27.2,26.35,26.45,20.8201,32028392
173,2011-07-13,26.35,26.95,26.35,26.75,21.0563,23026189
174,2011-07-14,26.7,26.75,26.35,26.6,20.9382,22487938
175,2011-07-15,26.4,26.4,25.85,26.0,20.4659,37554439
176,2011-07-18,25.8,26.55,25.8,26.2,20.6233,18918220
177,2011-07-19,26.25,26.75,26.0,26.7,21.0169,21682227
178,2011-07-20,26.7,27.0,26.5,26.85,21.135,20491602
179,2011-07-21,26.8,26.95,26.65,26.7,21.0169,16368969
180,2011-07-22,26.85,27.0,26.5,26.9,21.1743,25217960
181,2011-07-25,26.55,27.9,26.55,27.35,21.5286,36543923
182,2011-07-26,27.45,27.8,27.3,27.75,21.8434,20083976
183,2011-07-27,27.5,27.6,27.4,27.5,21.6466,12175398
184,2011-07-28,27.1,27.8,27.1,27.7,21.8041,24817798
185,2011-07-29,29.0,29.0,28.1,28.65,22.5519,119266087
186,2011-08-01,29.35,29.9,29.1,29.55,23.2603,87704112
187,2011-08-02,29.25,29.5,28.8,28.9,22.7486,38186348
188,2011-08-03,28.5,28.5,28.0,28.35,22.3157,47788244
189,2011-08-04,28.8,28.8,27.8,28.15,22.1583,36557386
190,2011-08-05,26.9,27.0,25.4,26.45,20.8201,143878585
191,2011-08-08,25.75,27.2,25.65,26.95,21.2137,68701953
192,2011-08-09,25.4,26.5,24.85,25.45,20.033,107861134
193,2011-08-10,25.8,26.3,25.25,25.35,19.9543,60198134
194,2011-08-11,24.9,25.7,24.7,25.3,20.0017,44961440
195,2011-08-12,25.9,26.15,25.55,25.75,20.3575,34863159
196,2011-08-15,26.2,26.85,26.1,26.4,20.8713,47997561
197,2011-08-16,27.0,27.1,26.55,26.75,21.148,35615034
198,2011-08-17,27.0,27.65,26.95,27.3,21.5829,41278320
199,2011-08-18,27.05,27.5,26.95,27.0,21.3457,31779666
200,2011-08-19,26.1,26.45,25.8,25.9,20.476,41652393
201,2011-08-22,26.0,26.3,24.65,25.4,20.0807,52782103
202,2011-08-23,25.45,25.85,24.7,25.7,20.3179,51688170
203,2011-08-24,25.7,25.95,25.35,25.55,20.1993,28159746
204,2011-08-25,25.6,26.0,25.6,25.85,20.4365,24853584
205,2011-08-26,25.6,25.65,25.05,25.4,20.0807,28434408
206,2011-08-29,25.9,25.9,25.55,25.75,20.3575,24360392
207,2011-08-30,26.15,27.15,26.05,27.05,21.3852,54495370
208,2011-08-31,26.95,27.5,26.8,27.35,21.6224,55872706
209,2011-09-01,27.8,28.1,26.95,27.1,21.4247,38534813
210,2011-09-02,27.5,27.5,26.25,26.45,20.9109,26030872
211,2011-09-05,26.1,26.5,25.9,26.05,20.5946,19218533
212,2011-09-06,25.75,26.25,25.4,26.2,20.7132,31312326
213,2011-09-07,26.4,27.0,26.3,26.9,21.2666,33328591
214,2011-09-08,27.15,27.15,26.45,26.65,21.069,18876536
215,2011-09-09,26.55,26.65,26.0,26.05,20.5946,27652700
216,2011-09-12,25.25,25.3,24.6,24.7,19.5273,57995530
217,2011-09-14,24.4,24.6,23.1,23.6,18.6577,76017467
218,2011-09-15,23.8,24.8,23.8,24.65,19.4878,51351505
219,2011-09-16,25.0,25.3,24.5,24.75,19.5669,32297758
220,2011-09-19,24.7,24.7,24.2,24.3,19.2111,25034626
221,2011-09-20,24.5,24.55,23.85,24.45,19.3297,24421597
222,2011-09-21,24.05,24.15,23.5,23.7,18.7368,36592786
223,2011-09-22,23.3,23.3,21.45,21.6,17.0765,74874742
