,date,open,high,low,close,adjusted_close,volume
0,2000-12-01,34.0,35.35,34.0,35.2,13.447,14717132
1,2000-12-04,35.4,36.8,35.0,36.01,13.7564,4323841
2,2000-12-05,37.0,38.1,36.0,36.0,13.7526,4768187
3,2000-12-06,35.5,35.75,34.0,34.1,13.0268,5986924
4,2000-12-07,34.5,36.5,34.34,35.99,13.7488,2223016
5,2000-12-08,35.9,36.0,35.35,35.6,13.5998,798608
6,2000-12-11,36.0,36.0,34.26,34.5,13.1796,1221293
7,2000-12-12,34.8,35.47,34.45,34.45,13.1605,846206
8,2000-12-13,34.8,35.16,34.25,34.25,13.0841,854831
9,2000-12-14,34.8,35.6,34.59,35.6,13.5998,3869651
10,2000-12-15,35.2,36.36,34.6,35.5,13.5616,1765738
11,2000-12-18,35.4,36.5,35.06,36.5,13.9436,752106
12,2000-12-19,36.5,37.25,36.2,36.8,14.0582,1460850
13,2000-12-20,37.0,37.25,36.55,36.55,13.9627,1757570
14,2000-12-21,35.5,36.25,35.01,36.0,13.7526,926345
15,2000-12-22,35.7,36.2,35.1,35.45,13.5425,628515
16,2000-12-27,36.0,36.5,35.65,36.5,13.9436,858526
17,2000-12-28,36.7,37.24,36.5,37.12,14.1805,387109
18,2001-01-02,37.1,37.5,37.0,37.5,14.3256,863542
19,2001-01-03,37.5,37.5,27.98,28.0,10.6965,6783381
20,2001-01-04,27.7,28.2,26.5,27.43,10.4787,5139460
21,2001-01-05,28.2,28.65,25.75,25.75,9.8369,2181986
22,2001-01-08,26.9,26.98,25.75,26.37,10.0738,1632077
23,2001-01-09,26.9,27.7,26.3,27.3,10.4291,1716588
24,2001-01-10,27.9,28.2,27.66,28.0,10.6965,3232474
25,2001-01-11,28.0,28.25,27.65,27.7,10.5819,2525071
26,2001-01-12,27.9,27.9,27.42,27.65,10.5628,1098339
27,2001-01-15,27.7,27.7,26.5,27.05,10.3336,1675081
28,2001-01-16,27.4,27.75,27.2,27.75,10.601,1782154
29,2001-01-17,27.7,27.7,27.38,27.42,10.4749,778123
30,2001-01-18,27.4,27.45,26.41,26.72,10.2075,699188
31,2001-01-19,26.7,27.15,26.6,26.91,10.2801,1074042
32,2001-01-22,26.9,27.0,26.81,26.9,10.2762,1574401
33,2001-01-23,26.8,26.9,25.95,26.3,10.047,1487006
34,2001-01-24,26.5,26.5,25.6,25.89,9.8904,839541
35,2001-01-25,25.89,26.54,25.89,26.5,10.1234,1077815
36,2001-01-26,26.4,28.2,26.3,27.7,10.5819,2524612
37,2001-01-29,27.9,28.3,27.9,28.12,10.7423,1621736
38,2001-01-30,28.2,29.9,28.07,28.95,11.0594,1708346
39,2001-01-31,29.7,29.9,28.92,29.9,11.4223,7705516
40,2001-02-01,29.7,30.0,29.0,30.0,11.4605,1400923
41,2001-02-02,30.0,30.2,29.88,29.96,11.4452,845027
42,2001-02-05,30.0,30.2,29.96,30.2,11.5369,781132
43,2001-02-06,30.0,30.21,29.75,30.02,11.4681,1738340
44,2001-02-07,30.2,30.2,29.95,30.15,11.5178,613206
45,2001-02-08,30.1,30.15,29.98,30.0,11.4605,1151417
46,2001-02-09,30.0,30.0,29.76,29.85,11.4032,659007
47,2001-02-12,30.0,30.0,29.78,29.95,11.4414,784196
48,2001-02-13,30.0,30.47,29.95,30.38,11.6057,1253105
49,2001-02-14,30.8,31.9,30.5,31.9,12.1863,1979047
50,2001-02-15,32.0,32.0,30.75,31.0,11.8425,989518
51,2001-02-16,31.0,31.0,30.41,30.52,11.6591,1111142
52,2001-02-19,30.1,30.9,30.1,30.9,11.8043,536191
53,2001-02-20,31.0,31.05,30.61,30.75,11.747,419910
54,2001-02-21,30.8,31.5,30.5,30.85,11.7852,686712
55,2001-02-22,30.9,31.15,30.6,30.95,11.8234,546065
56,2001-02-23,30.8,30.85,30.5,30.5,11.6515,596238
57,2001-02-26,30.25,30.8,30.25,30.65,11.7088,407062
58,2001-02-27,30.6,30.85,30.5,30.85,11.7852,685135
59,2001-02-28,30.8,30.9,30.0,30.31,11.5789,525826
60,2001-03-01,30.0,30.08,27.8,28.0,10.6965,1162540
