,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,113.4,116.25,113.0,114.55,35.7997,2211336
1,2000-01-04,113.8999,113.8999,106.3,109.05,34.0808,2875221
2,2000-01-05,102.0,104.1,97.3499,98.65,30.8306,6128682
3,2000-01-06,101.0,101.7999,91.0,91.75,28.6741,5526853
4,2000-01-07,94.5,98.6,93.7999,98.6,30.8149,6178176
5,2000-01-10,100.0,106.7999,100.0,105.7,33.0339,3147288
6,2000-01-11,108.7,109.0,104.15,107.0,33.4401,3719435
7,2000-01-12,102.3,107.0999,101.25,105.5,32.9714,3922563
8,2000-01-13,106.4999,109.3,105.3,106.65,33.3308,3517067
9,2000-01-14,112.05,119.7,112.05,119.25,37.2686,6422428
10,2000-01-17,125.1,125.9,121.7,125.0,39.0656,3760913
11,2000-01-18,125.5,128.5,120.65,124.65,38.9562,3589430
12,2000-01-19,122.4999,124.5999,117.4,122.5999,38.3155,3889534
13,2000-01-20,139.9,142.9999,133.5,139.5,43.5972,10565854
14,2000-01-21,138.5,143.95,136.05,140.9,44.0347,10952822
15,2000-01-24,136.05,140.4,136.05,137.75,43.0503,2884013
16,2000-01-25,131.9999,135.6999,130.05,131.1499,40.9876,3719447
17,2000-01-26,134.9,136.5,124.35,125.5,39.2219,4956009
18,2000-01-27,123.5,125.55,116.95,124.0,38.7531,6436192
19,2000-01-28,125.4,128.2,122.15,125.1999,39.1281,2715535
20,2000-01-31,119.5,122.8,118.3,122.0,38.128,3505818
21,2000-02-01,125.2999,129.85,125.2999,128.05,40.0188,4193146
22,2000-02-02,132.5999,136.0,131.5,135.5999,42.3784,3320135
23,2000-02-03,136.2,139.9999,135.25,137.9999,43.1284,2695660
24,2000-02-04,142.9,144.0,138.2999,139.8,43.691,3431824
25,2000-02-07,139.9999,140.4,134.5,135.1,42.2221,1619425
26,2000-02-08,138.4,147.9,138.1,147.5,46.0974,4212486
27,2000-02-09,149.5,150.5,144.9999,145.5999,45.5036,2088039
28,2000-02-10,140.6999,147.0,140.6999,145.5,45.4724,2201028
29,2000-02-11,148.8,148.8499,139.2,139.2,43.5034,2811534
30,2000-02-14,137.5,138.6,136.25,136.25,42.5815,1708143
31,2000-02-15,137.4,137.5,131.2,131.3,41.0345,2098659
32,2000-02-16,137.8999,139.0,129.5999,130.9,40.9095,3918381
33,2000-02-17,132.9999,134.9999,130.05,131.95,41.2376,2753560
34,2000-02-18,135.4,135.5,128.5,128.5,40.1594,3080488
35,2000-02-21,128.0,130.25,123.3,124.5,38.9093,1965102
36,2000-02-22,124.8,130.45,123.65,126.5,39.5344,2338503
37,2000-02-23,129.8,134.8,128.25,131.9999,41.2533,2230549
38,2000-02-24,134.9999,136.4,131.9999,132.5999,41.4408,1263623
39,2000-02-25,132.9999,135.75,131.5,132.1,41.2845,1425216
40,2000-02-28,128.0,129.8999,124.7,129.65,40.5188,2045564
41,2000-02-29,131.5,133.35,128.25,132.25,41.3314,2362433
42,2000-03-01,134.3,143.8,134.3,140.2999,43.8472,5551787
43,2000-03-02,144.9,148.9,142.9999,148.9,46.5349,2542611
44,2000-03-03,148.8,153.5,147.2,151.35,47.3006,3050682
45,2000-03-06,155.0,155.9999,141.0,147.0,45.9411,3693879
46,2000-03-07,147.9,149.1,144.9999,149.0,46.5662,2447453
47,2000-03-08,144.5,145.9999,137.9999,138.5,43.2847,2442511
48,2000-03-09,138.5,140.4,137.45,139.75,43.6753,1583457
49,2000-03-10,145.6999,155.9999,144.9999,155.5,48.5976,6389638
50,2000-03-13,150.9999,155.0,144.6999,145.3999,45.4411,3502921
51,2000-03-14,148.5,153.2,146.65,150.3999,47.0037,2467919
52,2000-03-15,144.0,145.9999,141.1499,141.7,44.2848,3040795
53,2000-03-16,136.8,136.9999,130.4999,132.4,41.3783,5488643
54,2000-03-17,137.8999,143.75,135.1,140.8499,44.0191,4083455
55,2000-03-20,140.8,144.6,140.05,142.0,44.3785,1688123
56,2000-03-21,139.9999,140.4,127.75,131.5,41.097,3673545
57,2000-03-22,138.4,139.0,131.3,132.95,41.5502,3290198
58,2000-03-23,136.2,136.6999,133.6,136.05,42.519,2055268
59,2000-03-24,139.2,143.25,137.05,140.6999,43.9722,4194729
60,2000-03-27,137.5,141.6,136.1,139.5,43.5972,1763489
61,2000-03-28,141.0,143.5,140.2,143.25,44.7692,1469447
62,2000-03-29,141.3,142.2,135.5,135.5,42.3471,1969402
63,2000-03-30,123.5,126.4499,120.25,121.55,37.9874,6914280
64,2000-03-31,115.8,117.95,109.25,116.7,36.4716,6092165
65,2000-04-03,116.7,117.0,105.0,106.35,33.237,3148322
