,date,open,high,low,close,adjusted_close,volume
0,2000-01-04,2499.9805,2504.8538,2384.9668,2390.8196,983.2414,3381414
1,2000-01-05,2397.6422,2397.6422,2324.5433,2345.011,964.4023,2640572
2,2000-01-06,2353.7829,2387.8956,2319.6701,2340.1377,962.3981,3677258
3,2000-01-07,2339.1631,2431.755,2314.7968,2395.6929,985.2456,4549190
4,2000-01-10,2436.6282,2500.9552,2420.0591,2461.9691,1012.5022,4649420
5,2000-01-11,2444.4254,2475.6143,2422.0084,2444.4254,1005.2872,3697460
6,2000-01-12,2426.8817,2464.8931,2401.5408,2423.9577,996.8697,3770533
7,2000-01-13,2441.5015,2460.9945,2407.3887,2425.907,997.6714,5575898
8,2000-01-14,2495.1073,2502.9045,2436.6282,2460.9945,1012.1013,3860299
9,2000-01-17,2462.9438,2480.4875,2353.7829,2453.1973,1008.8947,4146069
10,2000-01-18,2440.5268,2481.2185,2375.9562,2385.9463,981.2373,2615337
11,2000-01-19,2392.7689,2392.7689,2311.8728,2316.7461,952.7782,3220512
12,2000-01-20,2314.7968,2383.997,2290.4305,2296.2784,944.3607,5370045
13,2000-01-21,2290.4305,2327.4673,2254.3684,2288.4812,941.154,3287141
14,2000-01-24,2297.2531,2490.234,2236.8247,2243.6473,922.7158,1948305
15,2000-01-25,2237.7994,2254.3684,2206.6105,2243.6473,922.7158,2473908
16,2000-01-26,2266.0642,2300.177,2241.698,2278.7347,937.1457,3851073
17,2000-01-27,2280.684,2344.0363,2280.684,2326.4926,956.7865,2690804
18,2000-01-28,2340.1377,2371.3266,2244.6219,2262.1656,930.3316,3195988
19,2000-01-31,2261.191,2336.2391,2195.8893,2214.4077,910.6908,3008726
20,2000-02-01,2255.3431,2256.3177,2178.3456,2213.4331,910.29,3643474
21,2000-02-02,2213.4331,2265.0896,2189.5541,2261.191,929.9307,3735927
22,2000-02-03,2352.8082,2379.1238,2273.8614,2294.3291,943.559,4393382
23,2000-02-04,2280.684,2285.5573,2182.2442,2199.788,904.6783,5209968
24,2000-02-07,2192.9654,2212.4584,2105.2468,2136.4356,878.6242,4218294
25,2000-02-08,2144.2328,2219.281,2133.5117,2197.8386,903.8766,5300885
26,2000-02-09,2212.4584,2285.8009,2212.4584,2273.8614,935.1416,3744681
27,2000-02-10,2267.0389,2295.3038,2175.4217,2251.4445,925.9224,4284729
28,2000-02-11,2285.5573,2292.3798,2140.3342,2161.7766,889.0458,4035626
29,2000-02-14,2173.4724,2173.4724,2082.8298,2088.6777,858.9834,2467853
30,2000-02-15,2144.2328,2173.4724,2080.8805,2157.8779,887.4425,3077357
31,2000-02-16,2173.4724,2183.2189,2107.1961,2139.3596,879.8267,2251370
32,2000-02-17,2112.0693,2153.9793,2088.6777,2133.5117,877.4217,2808075
33,2000-02-18,2129.6131,2183.2189,2091.6017,2097.4496,862.5909,2511127
34,2000-02-21,2062.3621,2155.9286,2057.4889,2074.0579,852.9709,3337584
35,2000-02-22,2060.4128,2120.1102,2050.6663,2063.3368,848.5618,6534079
36,2000-02-23,2082.8298,2116.9426,2056.5142,2086.7284,858.1818,5326882
37,2000-02-24,2085.7538,2126.4454,1861.584,1877.1784,772.0028,6901999
38,2000-02-25,1937.6068,2074.0579,1881.077,2062.3621,848.161,7983702
39,2000-02-28,2061.3875,2106.2214,2018.5028,2056.5142,845.756,5482798
40,2000-02-29,2095.5003,2107.1961,1793.3584,2006.807,825.3135,5470836
41,2000-03-01,2042.8691,2103.2975,2027.2747,2099.3989,863.3926,6942974
42,2000-03-02,2100.3735,2173.4724,2077.9565,2166.6498,891.05,5172359
43,2000-03-03,2144.2328,2183.2189,2116.9426,2138.3849,879.4259,2733572
44,2000-03-06,2144.2328,2168.5991,2100.3735,2145.2075,894.4031,5846010
45,2000-03-07,2114.9933,2210.5091,2114.9933,2180.2949,909.0321,4751637
46,2000-03-08,2191.9907,2192.9654,2134.4863,2185.1682,911.0639,4966180
47,2000-03-09,2261.191,2344.0363,2241.698,2267.0389,945.1984,4443214
48,2000-03-10,2272.8868,2442.4761,2272.8868,2422.9831,1010.2163,5930017
49,2000-03-13,2451.248,2588.6738,2451.248,2507.7778,1045.5698,5001323
50,2000-03-14,2489.2594,2526.2961,2422.9831,2429.8057,1013.0608,5849435
51,2000-03-15,2457.5832,2537.0173,2397.6422,2526.2961,1053.2907,4052982
52,2000-03-16,2558.4596,2655.9248,2558.4596,2645.2036,1102.8669,5769972
53,2000-03-17,2655.9248,2686.1389,2498.0312,2515.575,1048.8207,4051126
54,2000-03-20,2534.0933,2551.6371,2485.3608,2537.9919,1058.167,2091498
55,2000-03-21,2539.9413,2680.7784,2539.9413,2629.6092,1096.3651,2919331
56,2000-03-22,2647.1529,2686.8699,2630.5838,2680.291,1117.4959,4785179
57,2000-03-23,2650.0768,2690.0375,2631.5585,2680.291,1117.4959,2880781
58,2000-03-24,2680.291,2760.2124,2651.0515,2720.2517,1134.1568,6291616
59,2000-03-27,2724.1503,2729.0236,2636.4317,2667.6206,1112.2132,3323448
60,2000-03-28,2636.4317,2678.3417,2574.054,2613.0401,1089.4569,6406452
61,2000-03-29,2602.3189,2602.3189,2470.741,2486.3354,1036.6298,4052216
62,2000-03-30,2500.9552,2501.9299,2407.3887,2444.4254,1019.1563,5325698
63,2000-03-31,2487.7974,2508.7524,2441.5015,2474.6396,1031.7535,2519966
64,2000-04-03,2485.3608,2616.9387,2440.5268,2602.3189,1084.9869,4541485
65,2000-04-04,2563.3329,2732.9222,2563.3329,2708.5559,1129.2804,5614000
66,2000-04-06,2625.7106,2732.6785,2597.4457,2713.4292,1131.3122,5437685
67,2000-04-07,2702.708,2729.0236,2660.798,2702.708,1126.8422,3592071
68,2000-04-10,2681.753,2736.8208,2620.8373,2725.125,1136.1886,2547384
69,2000-04-11,2725.125,2802.1224,2600.3696,2774.8322,1156.913,4866267
70,2000-04-12,2763.1364,2794.3252,2736.8208,2774.8322,1156.913,5123838
71,2000-04-13,2732.9222,2791.4013,2571.1301,2777.7562,1158.1321,4739190
72,2000-04-14,2732.9222,2768.0097,2692.9615,2698.8094,1125.2168,5302436
73,2000-04-17,2631.5585,2675.4178,2576.0033,2638.381,1100.0223,2850708
74,2000-04-18,2635.4571,2799.1985,2563.3329,2617.9134,1091.4887,2235502
75,2000-04-19,2616.9387,2748.5166,2616.9387,2701.7334,1126.4359,2406014
76,2000-04-20,2631.5585,2811.869,2631.5585,2766.0603,1153.2558,5213400
77,2000-04-25,2784.5787,2799.1985,2747.542,2766.0603,1153.2558,3792616
78,2000-04-26,2748.5166,2774.8322,2719.2771,2735.8462,1140.6586,3620890
79,2000-04-27,2705.632,2708.5559,2573.0794,2606.2175,1086.6124,5887688
80,2000-04-28,2617.9134,2632.8743,2536.0426,2620.8373,1092.7078,3481344
81,2000-05-02,2651.0515,2651.0515,2529.2201,2604.2682,1085.7997,1929061
82,2000-05-03,2591.1104,2651.0515,2524.3468,2537.0173,1057.7607,3260190
83,2000-05-04,2592.5724,2632.5331,2487.3101,2555.5357,1065.4816,3320057
84,2000-05-05,2568.2061,2624.7359,2511.6764,2548.7131,1062.637,2247038
85,2000-05-08,2582.8259,2705.632,2582.8259,2646.1782,1103.2732,3760464
86,2000-05-09,2679.3164,2761.1871,2668.5952,2714.4038,1131.7186,3060327
