,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,33.0,33.3,32.1,32.9,9.4846,920603
1,2000-01-04,32.1,32.6,31.5,31.8,9.1675,1007801
2,2000-01-05,31.5,31.6,30.6,30.8,8.8792,1583255
3,2000-01-06,31.0,31.5,30.5,30.5,8.7927,1754418
4,2000-01-07,31.5,31.5,30.1,30.5,8.7927,2236521
5,2000-01-10,30.7,30.8,30.2,30.7,8.8504,2153488
6,2000-01-11,30.6,30.6,30.1,30.2,8.7062,1378284
7,2000-01-12,30.2,30.4,30.1,30.3,8.735,1326812
8,2000-01-13,30.2,30.9,30.2,30.7,8.8504,730962
9,2000-01-14,30.7,31.7,30.5,31.5,9.081,2628250
10,2000-01-17,31.6,31.7,31.0,31.5,9.081,786760
11,2000-01-18,31.3,31.8,31.3,31.6,9.1098,2161127
12,2000-01-19,31.5,31.9,31.5,31.7,9.1386,1020611
13,2000-01-20,31.9,32.7,31.1,31.2,8.9945,2555765
14,2000-01-21,32.2,32.2,30.8,30.9,8.908,2282585
15,2000-01-24,31.5,31.5,30.8,31.1,8.9657,2296251
16,2000-01-25,31.0,31.0,30.4,30.5,8.7927,1627452
17,2000-01-26,30.9,30.9,30.3,30.3,8.735,1163988
18,2000-01-27,30.5,30.6,30.1,30.3,8.735,3010015
19,2000-01-28,30.3,30.6,30.0,30.4,8.7639,1468214
20,2000-01-31,30.3,30.3,29.8,30.1,8.6774,1121759
21,2000-02-01,30.2,30.5,29.9,30.2,8.7062,1067669
22,2000-02-02,30.2,30.5,30.0,30.4,8.7639,2436491
23,2000-02-03,30.4,30.5,30.0,30.1,8.6774,1740756
24,2000-02-04,30.2,30.3,29.5,29.9,8.6197,2235326
25,2000-02-07,30.2,30.2,29.3,29.5,8.5044,2195648
26,2000-02-08,29.5,30.0,29.2,29.5,8.5044,887514
27,2000-02-09,29.7,29.7,28.8,28.8,8.3026,1963010
28,2000-02-10,28.7,30.0,28.7,29.9,8.6197,1782053
29,2000-02-11,30.3,30.5,29.5,30.1,8.6774,1075266
30,2000-02-14,29.6,30.2,29.6,29.8,8.5909,1263217
31,2000-02-15,30.4,30.6,29.4,29.4,8.4756,2356276
32,2000-02-16,30.0,30.3,29.7,30.0,8.6486,1624991
33,2000-02-17,30.1,30.9,30.0,30.6,8.8215,2361149
34,2000-02-18,31.0,31.1,30.5,30.6,8.8215,2519434
35,2000-02-21,30.5,30.8,30.1,30.7,8.8504,1459939
36,2000-02-22,30.7,31.5,30.7,31.4,9.0522,2546254
37,2000-02-23,31.7,32.4,31.6,32.2,9.2828,3735979
38,2000-02-24,32.5,32.7,31.1,31.9,9.1963,1650002
39,2000-02-25,32.0,32.3,30.0,30.5,8.7927,2818052
40,2000-02-28,30.1,30.4,29.9,30.2,8.7062,1707518
41,2000-02-29,30.5,30.5,29.2,30.4,8.7639,2097576
42,2000-03-01,30.2,30.3,29.7,30.3,8.735,1376573
43,2000-03-02,30.5,30.5,29.6,29.8,8.5909,977206
44,2000-03-03,30.9,31.0,30.1,30.5,8.7927,1858654
45,2000-03-06,30.7,31.0,30.2,30.4,8.7639,1263079
46,2000-03-07,30.4,32.9,30.2,32.4,9.3404,4482373
47,2000-03-08,32.3,33.3,32.3,32.7,9.4269,5929430
48,2000-03-09,32.5,33.7,32.5,33.4,9.6287,4420603
49,2000-03-10,33.5,33.9,32.7,33.0,9.5134,1213681
50,2000-03-13,33.0,33.0,31.5,32.5,9.3693,1078426
51,2000-03-14,32.5,32.5,31.9,32.0,9.2251,1239918
52,2000-03-15,31.8,32.0,31.2,31.4,9.0522,2386009
53,2000-03-16,32.0,32.0,30.7,31.0,8.9368,2010606
54,2000-03-17,31.7,31.7,30.5,30.7,8.8504,2389556
55,2000-03-20,31.0,31.4,30.8,31.2,8.9945,1038160
56,2000-03-21,31.2,31.8,31.0,31.0,8.9368,2243324
57,2000-03-22,31.1,31.3,30.8,31.1,8.9657,1777331
58,2000-03-23,31.2,31.5,30.9,31.4,9.0522,1836102
59,2000-03-24,31.5,31.5,30.8,31.2,8.9945,609552
60,2000-03-27,31.5,31.5,30.9,31.1,8.9657,333232
61,2000-03-28,31.2,31.2,31.0,31.1,8.9657,602973
62,2000-03-29,31.1,31.2,30.5,30.5,8.7927,1010512
63,2000-03-30,30.5,31.0,30.3,30.5,8.7927,199083
64,2000-03-31,31.0,32.5,31.0,32.4,9.3404,2339521
65,2000-04-03,32.5,32.5,31.5,31.8,9.1675,1158644
66,2000-04-04,31.8,32.4,31.6,31.9,9.1963,1561903
67,2000-04-05,31.6,32.0,31.1,31.3,9.0233,1670846
68,2000-04-06,31.1,31.5,31.0,31.2,8.9945,866589
69,2000-04-07,31.5,32.0,31.4,31.9,9.1963,527274
70,2000-04-10,32.0,32.0,31.3,31.4,9.0522,2238264
71,2000-04-11,31.4,31.8,31.2,31.6,9.1098,536126
72,2000-04-12,31.5,31.9,31.1,31.9,9.1963,341084
73,2000-04-13,31.7,32.5,31.5,32.4,9.3404,917224
74,2000-04-14,32.4,33.0,32.2,32.7,9.4269,1107772
75,2000-04-17,30.0,32.3,30.0,32.3,9.3116,937065
76,2000-04-18,32.6,32.8,31.9,32.6,9.3981,3183449
77,2000-04-19,33.0,33.2,32.8,32.9,9.4846,643290
78,2000-04-25,32.8,33.2,32.8,33.1,9.5422,5604053
79,2000-04-26,33.1,33.1,32.3,32.9,9.4846,1939426
80,2000-04-27,32.4,33.0,32.0,32.7,9.4269,1342478
81,2000-04-28,31.5,31.8,30.9,31.4,9.564,2220650
82,2000-05-02,31.5,32.2,31.4,32.0,9.7467,6704045
83,2000-05-03,31.8,32.0,31.5,32.0,9.7467,629946
84,2000-05-04,31.2,31.9,31.2,31.8,9.6858,927041
85,2000-05-05,32.0,32.2,31.7,31.9,9.7163,1981971
86,2000-05-08,32.0,32.1,31.8,32.1,9.7772,1198409
87,2000-05-09,32.1,33.2,32.1,32.9,10.0209,3920417
88,2000-05-10,32.9,33.0,32.2,32.4,9.8686,1033404
89,2000-05-11,32.2,32.8,32.2,32.4,9.8686,1027718
90,2000-05-12,32.5,32.6,32.0,32.3,9.8381,410535
91,2000-05-15,32.3,32.3,31.8,32.1,9.7772,1257228
92,2000-05-16,32.4,32.4,31.7,31.9,9.7163,1311344
93,2000-05-18,32.0,32.3,31.9,32.2,9.8077,2401468
94,2000-05-19,32.3,32.4,31.5,31.7,9.6554,3344384
95,2000-05-22,31.7,31.8,31.2,31.3,9.5335,910592
96,2000-05-23,32.0,32.8,31.7,32.0,9.7467,2621952
97,2000-05-24,32.1,32.7,31.6,32.4,9.8686,2545059
98,2000-05-25,32.4,32.4,31.9,32.3,9.8381,730060
99,2000-05-26,32.1,32.1,31.8,32.0,9.7467,1659624
100,2000-05-29,31.9,32.2,31.8,32.0,9.7467,294305
101,2000-05-30,31.9,32.0,31.4,31.8,9.6858,884961
102,2000-05-31,31.8,32.0,31.6,31.8,9.6858,742247
103,2000-06-02,32.3,32.9,32.3,32.8,9.9904,1978024
104,2000-06-05,32.5,32.8,32.2,32.5,9.899,286694
105,2000-06-06,32.5,32.5,31.6,31.7,9.6554,655279
106,2000-06-07,32.0,32.8,31.6,32.6,9.9295,1300173
107,2000-06-08,32.8,33.5,32.8,33.2,10.1122,1466858
108,2000-06-09,33.2,34.0,32.9,34.0,10.3559,1341302
109,2000-06-13,33.5,35.5,33.3,35.3,10.7519,2444354
110,2000-06-14,35.0,35.0,33.5,34.5,10.5082,1976925
111,2000-06-15,34.7,35.2,34.6,34.7,10.5691,1320025
112,2000-06-16,34.5,34.9,34.4,34.7,10.5691,710894
113,2000-06-19,34.5,34.7,34.4,34.6,10.5387,494403
114,2000-06-20,34.6,36.3,34.5,36.2,11.026,1679995
115,2000-06-21,36.1,36.5,35.7,36.3,11.0565,1528325
116,2000-06-22,36.2,36.2,35.5,36.1,10.9955,723894
117,2000-06-23,36.0,36.2,35.6,36.2,11.026,690233
118,2000-06-26,35.9,36.1,35.5,35.6,10.8432,944886
119,2000-06-27,35.0,35.5,35.0,35.5,10.8128,873343
120,2000-06-28,35.5,35.6,35.3,35.4,10.7823,629278
121,2000-06-29,35.0,35.6,35.0,35.4,10.7823,1030101
122,2000-06-30,35.4,36.0,35.3,35.6,10.8432,1266656
123,2000-07-03,35.7,36.4,35.6,36.4,11.0869,213370
124,2000-07-04,36.4,36.4,35.9,35.9,10.9346,101768
125,2000-07-05,36.0,36.0,35.4,35.5,10.8128,671819
126,2000-07-06,35.5,35.8,35.0,35.3,10.7519,1493936
127,2000-07-07,35.3,35.7,35.2,35.5,10.8128,640639
128,2000-07-10,35.5,35.8,35.4,35.7,10.8737,193353
129,2000-07-11,35.5,35.8,35.5,35.8,10.9042,599612
130,2000-07-12,36.0,36.7,35.8,36.5,11.1174,679891
131,2000-07-13,36.5,37.1,36.5,37.1,11.3001,1249523
132,2000-07-14,37.0,37.8,36.6,37.0,11.2697,403545
133,2000-07-17,36.9,37.3,36.0,36.5,11.1174,722995
134,2000-07-18,37.0,37.0,36.0,36.0,10.9651,1977384
135,2000-07-19,36.2,36.2,35.4,35.7,10.8737,465417
136,2000-07-20,35.7,35.8,35.3,35.6,10.8432,518514
137,2000-07-21,35.8,35.8,35.7,35.7,10.8737,259373
138,2000-07-24,36.0,36.1,35.8,36.0,10.9651,228627
139,2000-07-25,35.5,36.5,35.5,36.0,10.9651,266653
140,2000-07-26,36.0,36.3,35.8,36.2,11.026,253997
141,2000-07-27,36.2,36.4,35.8,36.3,11.0565,257920
142,2000-07-28,36.1,36.4,36.0,36.2,11.026,384673
143,2000-07-31,36.2,36.5,36.0,36.5,11.1174,417782
144,2000-08-01,36.5,37.2,36.2,37.0,11.2697,708449
145,2000-08-02,36.8,36.9,36.5,36.6,11.1478,555930
146,2000-08-03,36.8,37.2,36.7,36.9,11.2392,589574
147,2000-08-04,37.0,37.2,36.5,36.8,11.2088,543767
148,2000-08-07,36.7,38.8,36.7,38.0,11.5743,1533757
149,2000-08-08,38.2,38.4,37.6,37.6,11.4524,452004
150,2000-08-09,38.2,39.5,38.1,39.3,11.9702,7514595
151,2000-08-10,39.5,40.2,38.8,39.7,12.092,2261210
152,2000-08-11,39.6,40.8,39.6,40.5,12.3357,5319394
153,2000-08-14,40.4,42.0,40.0,41.4,12.6098,5301295
154,2000-08-15,42.0,42.0,41.5,42.0,12.7926,1594903
155,2000-08-16,41.5,41.8,41.0,41.6,12.6708,1628936
156,2000-08-17,41.4,41.5,40.6,41.0,12.488,632059
157,2000-08-18,41.2,42.8,41.2,42.5,12.9449,2428281
158,2000-08-21,42.2,42.5,41.5,42.0,12.7926,1405429
159,2000-08-22,41.9,41.9,40.0,40.3,12.2748,1518203
160,2000-08-23,40.0,40.5,38.9,40.0,12.1834,843444
161,2000-08-24,39.8,41.0,39.5,39.9,12.153,2269821
162,2000-08-25,39.9,40.0,39.2,39.5,12.0311,631278
