,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,44.258,46.36,43.9128,45.166,5.9608,1861173
1,2000-01-04,45.0968,46.3796,44.5148,45.0476,5.9452,1367797
2,2000-01-05,44.406,44.8008,43.9128,44.3468,5.8527,940768
3,2000-01-06,44.3468,44.3468,44.3468,44.3468,5.8527,0
4,2000-01-07,45.3928,46.3796,44.8996,46.3796,6.121,906265
5,2000-01-10,46.3796,47.09,46.192,46.952,6.1965,1120614
6,2000-01-11,46.8632,46.8632,46.0244,46.2216,6.1001,551130
7,2000-01-12,45.9752,46.2808,45.758,46.1232,6.0872,502066
8,2000-01-13,46.2216,46.7548,45.9848,46.2416,6.1028,385925
9,2000-01-14,46.3796,47.3564,46.36,46.7744,6.1731,755150
10,2000-01-17,46.6756,46.9716,45.7976,46.4292,6.1275,480145
11,2000-01-18,46.3796,46.5772,45.6396,46.0836,6.0819,476675
12,2000-01-19,45.62,46.1328,44.6036,44.6036,5.8866,507660
13,2000-01-20,44.5148,45.1264,42.9652,43.2316,5.7055,619780
14,2000-01-21,43.0244,43.222,42.0872,42.2448,5.5753,1329240
15,2000-01-24,42.7284,45.8864,42.5508,43.6956,5.7668,1914046
16,2000-01-25,43.4684,44.1592,42.5508,42.5508,5.6157,1387026
17,2000-01-26,42.8272,44.3864,42.4816,44.0608,5.815,458613
18,2000-01-27,43.9128,44.1396,43.37,43.6168,5.7564,556302
19,2000-01-28,43.814,43.814,42.4324,42.6892,5.6339,933294
20,2000-01-31,42.6892,42.6892,41.0116,41.0116,5.4125,1115977
21,2000-02-01,41.2484,41.2484,38.9788,40.4096,5.3331,597713
22,2000-02-02,40.4588,41.3272,40.1628,40.3108,5.3201,393254
23,2000-02-03,41.0508,41.8404,40.4588,41.4456,5.4698,1846499
24,2000-02-04,42.8272,42.8764,40.1628,40.9028,5.3982,1458968
25,2000-02-07,40.064,42.4324,40.064,41.9392,5.535,1672279
26,2000-02-08,41.9392,44.6036,41.9392,44.554,5.8801,1884472
27,2000-02-09,44.8996,47.3172,44.6036,46.3696,6.1197,2527876
28,2000-02-10,46.1624,47.6624,44.9092,46.36,6.1184,1654849
29,2000-02-11,45.8864,46.1624,43.4192,43.656,5.7615,1347205
30,2000-02-14,43.7648,44.3072,42.5312,43.4388,5.7329,1209580
31,2000-02-15,43.9128,44.9488,42.4816,42.778,5.6457,212630
32,2000-02-16,42.926,44.3072,42.7088,43.7648,5.7759,674761
33,2000-02-17,43.814,45.0476,43.4192,43.4192,5.7303,1474647
34,2000-02-18,43.9128,44.0904,43.4292,43.814,5.7824,686954
35,2000-02-21,43.4192,43.4192,42.2352,42.4324,5.6001,580315
36,2000-02-22,42.4324,43.9128,41.4456,41.7416,5.5089,442561
37,2000-02-23,41.9392,42.7284,41.9392,42.4324,5.6001,451527
38,2000-02-24,42.926,43.2316,42.2844,42.63,5.6261,509233
39,2000-02-25,42.2352,43.3996,42.2352,42.2352,5.574,546963
40,2000-02-28,41.9392,42.4324,41.2384,41.2384,5.4425,467465
41,2000-02-29,42.1856,42.926,41.8404,42.926,5.6652,671924
42,2000-03-01,42.926,44.11,42.7284,43.4192,5.7303,690505
43,2000-03-02,43.4192,44.0112,42.452,42.5312,5.6131,500347
44,2000-03-03,42.926,43.4192,41.2484,42.4324,5.6001,885154
45,2000-03-06,41.9392,41.9392,40.7944,41.4456,5.4698,452078
46,2000-03-07,41.4456,42.926,40.6564,40.8044,5.3852,870027
47,2000-03-08,40.5576,42.4324,40.3108,41.2384,5.4425,1717452
48,2000-03-09,41.8896,42.0376,40.4588,40.9524,5.4047,1060022
49,2000-03-10,41.0508,43.4192,41.0508,43.4092,5.729,777039
50,2000-03-13,43.4092,43.4092,43.4092,43.4092,5.729,0
51,2000-03-14,41.9488,43.222,41.9488,43.1924,5.7004,435945
52,2000-03-15,42.3336,43.1924,42.2352,42.6396,5.6274,418694
53,2000-03-16,43.3204,44.8896,42.8272,44.5148,5.8749,1034777
54,2000-03-17,44.406,45.3732,42.5312,43.1724,5.6977,2814345
55,2000-03-20,43.666,44.554,42.8764,44.1396,5.8254,587027
56,2000-03-21,43.222,43.666,42.1856,42.5312,5.6131,686257
57,2000-03-22,42.63,43.4192,42.0376,43.212,5.7029,558134
58,2000-03-23,44.0112,44.85,43.7152,44.702,5.8996,1009532
