,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,17.1501,17.6001,16.72,17.1501,0.861,3794487
1,2000-01-04,16.4001,16.9499,16.09,16.4001,0.8234,7242441
2,2000-01-05,16.09,16.1401,15.5,16.09,0.8078,6151616
3,2000-01-06,16.1499,16.1499,15.95,16.1499,0.8108,4183998
4,2000-01-07,16.4199,16.68,16.2101,16.4199,0.8244,4461374
5,2000-01-10,16.71,17.0801,16.46,16.71,0.8389,4980872
6,2000-01-11,16.7301,16.8399,16.6,16.7301,0.8399,2564730
7,2000-01-12,16.4899,16.65,16.4001,16.4899,0.8279,2951369
8,2000-01-13,16.3499,16.59,16.31,16.3499,0.8209,2508140
9,2000-01-14,16.2,16.44,16.05,16.2,0.8133,7105111
10,2000-01-17,16.62,16.72,16.3,16.62,0.8344,3977809
11,2000-01-18,16.7,16.96,16.53,16.7,0.8384,5316894
12,2000-01-19,16.4899,16.78,16.41,16.4899,0.8279,3122182
13,2000-01-20,16.3499,16.68,16.3499,16.3499,0.8209,4477335
14,2000-01-21,16.36,16.4899,16.3,16.36,0.8214,2917453
15,2000-01-24,16.45,16.58,16.36,16.45,0.8259,3446590
16,2000-01-25,16.4001,16.57,16.11,16.4001,0.8234,6711115
17,2000-01-26,16.48,16.59,16.36,16.48,0.8274,4259810
18,2000-01-27,16.58,16.64,16.44,16.58,0.8324,3246288
19,2000-01-28,16.28,16.6,16.25,16.28,0.8173,3008928
20,2000-01-31,16.0099,16.22,16.0099,16.0099,0.8038,5779090
21,2000-02-01,16.02,16.2,15.93,16.02,0.8043,4859787
22,2000-02-02,16.12,16.2,15.99,16.12,0.8093,3374406
23,2000-02-03,16.28,16.3901,16.17,16.28,0.8173,3813054
24,2000-02-04,16.99,17.22,16.36,16.99,0.853,13936779
25,2000-02-07,17.25,17.49,17.14,17.25,0.866,11328118
26,2000-02-08,17.65,17.95,17.52,17.65,0.8861,13872555
27,2000-02-09,17.31,17.8899,17.17,17.31,0.8691,7927654
28,2000-02-10,17.3,17.43,17.0899,17.3,0.8686,4342185
29,2000-02-11,17.3,17.4399,17.12,17.3,0.8686,3373511
30,2000-02-14,17.11,17.37,17.0299,17.11,0.859,4404043
31,2000-02-15,16.7599,17.21,16.7599,16.7599,0.8414,3462493
32,2000-02-16,17.37,17.49,16.94,17.37,0.8721,7347762
33,2000-02-17,17.83,18.05,17.22,17.83,0.8952,15379997
34,2000-02-18,18.17,18.3501,18.0,18.17,0.9122,13757079
35,2000-02-21,17.83,18.05,17.82,17.83,0.8952,4503824
36,2000-02-22,18.0,18.21,17.92,18.0,0.9037,8579538
37,2000-02-23,19.07,19.08,18.2001,19.07,0.9574,22178159
38,2000-02-24,19.39,19.95,19.2,19.39,0.9735,22292153
39,2000-02-25,19.89,19.95,19.3,19.89,0.9986,12857227
40,2000-02-28,20.75,20.75,19.75,20.75,1.0418,19559461
41,2000-02-29,20.73,21.1101,20.5299,20.73,1.0408,12966267
42,2000-03-01,20.05,20.7,19.96,20.05,1.0066,10365337
43,2000-03-02,20.05,20.21,19.44,20.05,1.0066,7074659
44,2000-03-03,20.1,20.1,19.81,20.1,1.0091,5951885
45,2000-03-06,19.98,20.1,19.93,19.98,1.0031,2653274
46,2000-03-08,19.61,19.89,19.46,19.61,0.9845,7798183
47,2000-03-09,19.6,19.6599,19.06,19.6,0.984,11654539
48,2000-03-10,19.65,19.7699,19.5099,19.65,0.9865,11314953
49,2000-03-13,19.41,19.54,19.06,19.41,0.9745,7243884
50,2000-03-14,19.7699,19.99,19.35,19.7699,0.9926,6479583
51,2000-03-15,19.76,20.1899,19.5,19.76,0.9921,9794672
52,2000-03-16,19.72,20.15,19.72,19.72,0.9901,4524538
53,2000-03-17,19.6,20.05,19.38,19.6,0.984,5351220
54,2000-03-20,19.44,19.7401,19.11,19.44,0.976,3201254
55,2000-03-21,19.5799,19.7,19.08,19.5799,0.983,5455683
56,2000-03-22,19.47,19.7,19.35,19.47,0.9775,3974629
57,2000-03-23,19.54,19.8399,19.3,19.54,0.981,8073891
58,2000-03-24,19.7699,20.0399,19.6301,19.7699,0.9926,8530647
59,2000-03-27,20.15,20.25,19.75,20.15,1.0116,8943456
60,2000-03-28,20.0,20.4,19.96,20.0,1.0041,33530693
61,2000-03-29,19.94,20.05,19.86,19.94,1.0011,3407278
62,2000-03-30,19.65,19.9001,19.5601,19.65,0.9865,3380549
63,2000-03-31,19.55,19.71,19.4,19.55,0.9815,4330619
64,2000-04-03,19.5,19.6,19.41,19.5,0.979,3427501
65,2000-04-04,19.3,19.6,19.16,19.3,0.969,6618814
66,2000-04-05,19.34,19.39,18.67,19.34,0.971,8847367
67,2000-04-06,19.67,19.8301,19.6,19.67,0.9875,5196571
68,2000-04-07,19.72,19.8399,19.55,19.72,0.9901,6770624
69,2000-04-10,19.4,19.8,19.08,19.4,0.974,6626949
70,2000-04-11,19.0,19.3,18.8299,19.0,0.9539,9435970
71,2000-04-12,18.9501,19.16,18.6399,18.9501,0.9514,8930813
72,2000-04-13,18.8999,19.05,18.65,18.8999,0.9489,5406579
73,2000-04-14,18.5,18.93,18.5,18.5,0.9288,4744040
74,2000-04-17,18.5,18.75,17.7799,18.5,0.9288,4515124
75,2000-04-18,18.8001,18.8999,18.41,18.8001,0.9439,3003792
76,2000-04-19,18.71,19.02,18.6,18.71,0.9393,2216960
77,2000-04-20,18.7,18.8999,18.6,18.7,0.9388,677196
78,2000-04-26,19.15,19.28,18.81,19.15,0.9614,3836175
79,2000-04-27,19.15,19.55,18.82,19.15,0.9614,4460942
80,2000-04-28,19.5,19.5,19.33,19.5,0.979,3750492
81,2000-05-02,19.47,19.65,19.3,19.47,0.9775,1639593
82,2000-05-03,19.18,19.49,19.08,19.18,0.9629,2537095
83,2000-05-04,19.2301,19.28,19.05,19.2301,0.9655,1158964
84,2000-05-05,19.13,19.28,19.06,19.13,0.9604,1648506
85,2000-05-08,19.2901,19.2901,18.9601,19.2901,0.9685,2522157
86,2000-05-09,19.2499,19.46,19.16,19.2499,0.9665,2624383
87,2000-05-10,19.0,19.3,18.86,19.0,0.9539,3104079
88,2000-05-11,19.06,19.27,18.84,19.06,0.9569,2631884
89,2000-05-12,19.11,19.27,19.0301,19.11,0.9594,1522961
90,2000-05-15,19.19,19.3199,19.06,19.19,0.9634,1777818
91,2000-05-16,19.2499,19.2901,19.15,19.2499,0.9665,957853
92,2000-05-17,19.27,19.3199,19.15,19.27,0.9675,1527479
93,2000-05-18,19.34,19.42,19.19,19.34,0.971,2574516
94,2000-05-19,19.4,19.62,19.4,19.4,0.974,6825391
95,2000-05-22,19.26,19.45,19.2,19.26,0.967,1626194
96,2000-05-23,19.47,19.47,19.28,19.47,0.9775,5428928
97,2000-05-24,19.39,19.44,19.2301,19.39,0.9735,24584382
98,2000-05-25,19.4,19.43,19.34,19.4,0.974,27191476
99,2000-05-26,18.7199,18.8999,18.53,18.7199,0.9749,1722048
100,2000-05-29,18.77,18.79,18.66,18.77,0.9775,19003255
101,2000-05-30,18.74,18.82,18.71,18.74,0.976,19492903
102,2000-05-31,18.65,18.74,18.42,18.65,0.9713,9651136
103,2000-06-01,18.65,18.65,18.5,18.65,0.9713,2967570
104,2000-06-02,18.5401,18.65,18.42,18.5401,0.9656,2736885
105,2000-06-05,18.5401,18.5699,18.45,18.5401,0.9656,1922499
106,2000-06-06,18.6,18.78,18.51,18.6,0.9687,3069247
107,2000-06-07,18.42,18.6,18.32,18.42,0.9593,2241222
108,2000-06-08,18.34,18.4601,18.33,18.34,0.9552,2491251
109,2000-06-09,18.73,18.8001,18.33,18.73,0.9755,3615485
110,2000-06-12,18.75,18.79,18.6,18.75,0.9765,1750743
111,2000-06-13,18.87,18.87,18.7,18.87,0.9828,945126
112,2000-06-14,19.0,19.09,18.87,19.0,0.9895,4689160
113,2000-06-15,19.06,19.27,19.0301,19.06,0.9927,5183763
114,2000-06-16,19.5,19.5,18.93,19.5,1.0156,6418566
115,2000-06-19,19.16,19.53,19.11,19.16,0.9979,2833203
116,2000-06-20,19.06,19.33,19.01,19.06,0.9927,2294061
117,2000-06-21,19.0,19.06,18.92,19.0,0.9895,4490494
118,2000-06-23,18.55,19.0,18.55,18.55,0.9661,17863917
119,2000-06-26,18.2901,18.7,18.2901,18.2901,0.9526,1515961
120,2000-06-27,18.3501,18.3501,18.21,18.3501,0.9557,1139758
121,2000-06-28,18.2801,18.48,18.22,18.2801,0.952,1853352
122,2000-06-29,18.1,18.5,18.1,18.1,0.9427,1745884
123,2000-06-30,19.02,19.02,18.1,19.02,0.9906,3197440
124,2000-07-03,18.4601,18.6901,18.1199,18.4601,0.9614,1667424
125,2000-07-04,18.41,18.52,18.39,18.41,0.9588,635672
126,2000-07-05,18.2999,18.45,18.2999,18.2999,0.9531,2318872
127,2000-07-06,18.2999,18.4,18.26,18.2999,0.9531,950927
128,2000-07-07,16.4999,18.5,16.4999,16.4999,0.8593,4526418
129,2000-07-10,17.9401,18.15,17.82,17.9401,0.9343,3467996
130,2000-07-11,17.73,18.0,17.66,17.73,0.9234,1436042
131,2000-07-12,17.9,18.0,17.74,17.9,0.9322,1681228
132,2000-07-13,17.9,18.2001,17.9,17.9,0.9322,2088970
