,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,74.75,75.375,72.125,72.875,23.1248,12019200
1,2000-01-04,70.625,71.1875,69.1875,70.875,22.6175,11723400
2,2000-01-05,70.25,72.5625,69.0,70.4375,22.4778,8714550
3,2000-01-06,70.125,72.9375,69.75,71.4375,22.797,8369250
4,2000-01-07,72.6251,73.5,71.0,72.75,23.2158,6571950
5,2000-01-10,72.75,73.3751,71.5001,71.5001,22.8169,4723500
6,2000-01-11,70.0001,70.4375,68.25,69.8126,22.2784,8405550
7,2000-01-12,69.6875,70.875,69.5,70.25,22.418,7271850
8,2000-01-13,71.1251,72.5,70.5626,71.3126,22.7571,6918900
9,2000-01-14,73.9376,75.75,72.8126,73.875,23.5748,9731850
10,2000-01-18,73.9376,74.5001,70.25,71.0,22.6573,5296650
11,2000-01-19,72.2501,75.375,72.2501,74.1251,23.6546,15734700
12,2000-01-20,75.375,76.0001,72.75,74.0625,23.6347,7770300
13,2000-01-21,73.875,74.0,72.6251,72.9375,23.2756,5160600
14,2000-01-24,74.375,74.5625,72.1875,73.0001,23.2956,6459150
15,2000-01-25,73.0001,75.75,73.0001,74.625,23.8142,7579950
16,2000-01-26,75.375,79.0001,75.0,78.4376,25.0308,8386650
17,2000-01-27,79.4375,81.5,78.5625,80.6876,25.7488,8165850
18,2000-01-28,79.5626,79.5626,76.625,76.6875,24.4723,7500000
19,2000-01-31,76.8125,81.5,76.8125,80.6876,25.7488,7160250
20,2000-02-01,82.4375,84.5,81.3125,83.75,26.7261,9651000
21,2000-02-02,83.0,84.1875,81.375,82.3751,26.2873,7126200
22,2000-02-03,83.5001,84.875,80.25,83.1875,26.5466,9200250
23,2000-02-04,82.5,83.3126,81.5625,81.75,26.0879,5115150
24,2000-02-07,82.1876,83.375,81.75,82.1876,26.2275,4684200
25,2000-02-08,84.0626,86.1251,84.0,85.0625,27.1449,6318600
26,2000-02-09,84.9375,86.375,82.4375,82.875,26.4469,9818550
27,2000-02-10,83.1251,83.75,81.375,83.1251,26.5267,6880500
28,2000-02-11,83.25,85.0001,82.0001,82.625,26.3671,7052550
29,2000-02-14,82.25,83.4375,79.0625,79.0625,25.2302,5904750
30,2000-02-15,80.0625,82.5,79.625,81.0626,25.8685,8965500
31,2000-02-16,81.0,82.1876,79.0001,79.5,25.3699,4829700
32,2000-02-17,80.625,81.5,77.8125,78.375,25.0108,5716200
33,2000-02-18,78.0626,78.5625,74.5625,74.75,23.854,8121300
34,2000-02-22,76.0001,78.875,75.125,77.25,24.6518,7068600
35,2000-02-23,77.375,79.1876,76.5626,77.375,24.6917,4452900
36,2000-02-24,77.25,77.5625,74.625,76.0001,24.253,5199900
37,2000-02-25,76.625,78.75,74.8751,75.875,24.213,4644300
38,2000-02-28,76.7501,80.25,76.3751,77.9375,24.8712,6051000
39,2000-02-29,77.6876,81.0,77.6876,79.625,25.4097,6166950
40,2000-03-01,79.875,82.0001,78.875,82.0001,26.1677,4866300
41,2000-03-02,80.5001,81.125,79.7501,80.5625,25.7089,3583800
42,2000-03-03,82.0001,82.3751,79.3751,81.125,25.8884,5981400
43,2000-03-06,82.9376,84.375,82.25,83.4375,26.6264,5691450
44,2000-03-07,83.4375,84.1875,81.0,81.8126,26.1078,4566900
45,2000-03-08,80.75,81.4376,78.6251,79.0001,25.2103,5247750
46,2000-03-09,78.75,81.2501,78.0626,81.125,25.8884,3979500
47,2000-03-10,80.0,81.5625,77.75,78.6875,25.1106,5311350
48,2000-03-13,77.625,81.1875,77.1251,80.0625,25.5494,4723350
49,2000-03-14,80.5001,80.9375,78.5,79.0001,25.2103,4129650
50,2000-03-15,77.8751,84.1875,77.1875,83.1251,26.5267,8861700
51,2000-03-16,84.9375,90.375,84.1875,90.125,28.7605,15634950
52,2000-03-17,89.25,92.25,88.5,91.0001,29.0397,11889150
53,2000-03-20,90.0,90.5,84.5,86.5625,27.6236,8076150
54,2000-03-21,86.4375,92.5001,85.5,92.0,29.3588,8345550
