,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,876.0,895.0,876.0,882.0,571.619,8892399
1,2000-01-04,875.0,875.0,842.0,843.0,546.3433,4334991
2,2000-01-05,833.0,833.0,812.0,822.0,532.7333,4648773
3,2000-01-06,822.0,824.0,806.0,810.0,524.9562,3137126
4,2000-01-09,828.0,846.0,828.0,845.0,547.6395,3844462
5,2000-01-10,845.0,858.0,841.0,857.0,555.4166,3201497
6,2000-01-11,857.0,859.0,850.0,851.0,551.5281,2253239
7,2000-01-12,851.0,854.0,833.0,847.0,548.9357,2532153
8,2000-01-13,847.0,886.0,845.0,866.0,561.2495,4342398
9,2000-01-16,868.0,885.0,868.0,875.0,567.0823,1972993
10,2000-01-17,875.0,901.0,866.0,901.0,583.9328,4188279
11,2000-01-18,901.0,905.0,875.0,883.0,572.2671,2466517
12,2000-01-19,883.0,892.0,871.0,886.0,574.2113,2318324
13,2000-01-20,899.0,929.0,899.0,926.0,600.1351,4752090
14,2000-01-23,926.0,929.0,916.0,925.0,599.487,3298888
15,2000-01-24,925.0,927.0,918.0,923.0,598.1908,3644166
16,2000-01-25,903.0,903.0,888.0,890.0,576.8037,1800372
17,2000-01-26,890.0,909.0,889.0,899.0,582.6366,2978181
18,2000-01-27,899.0,899.0,870.0,885.0,573.5633,4384917
19,2000-01-30,863.0,863.0,855.0,859.0,556.7128,2563229
20,2000-01-31,864.0,874.0,864.0,874.0,566.4342,1819225
21,2000-02-01,883.0,897.0,883.0,892.0,578.0999,2541925
22,2000-02-02,902.0,915.0,902.0,911.0,590.4137,2513123
23,2000-02-03,911.0,922.0,909.0,916.0,593.6542,2629632
24,2000-02-06,922.0,926.0,922.0,924.0,598.8389,1573778
25,2000-02-07,924.0,928.0,917.0,928.0,601.4313,3404369
26,2000-02-08,928.0,929.0,915.0,924.0,598.8389,2273847
27,2000-02-09,924.0,938.0,919.0,923.0,598.1908,2986661
28,2000-02-10,912.0,912.0,901.0,910.0,589.7656,1838390
29,2000-02-13,904.0,904.0,887.0,891.0,577.4518,1909022
30,2000-02-14,891.0,891.0,879.0,880.0,570.3228,1998525
31,2000-02-15,880.0,892.0,860.0,864.0,559.9533,3827104
32,2000-02-16,864.0,889.0,859.0,885.0,573.5633,3300771
33,2000-02-17,887.0,918.0,887.0,916.0,593.6542,3690199
34,2000-02-20,916.0,930.0,905.0,923.0,598.1908,4556760
35,2000-02-21,917.0,917.0,904.0,905.0,586.5251,2607545
36,2000-02-22,905.0,915.0,891.0,906.0,587.1732,2710605
37,2000-02-23,906.0,916.0,904.0,905.0,586.5251,3092386
38,2000-02-24,912.0,923.0,912.0,912.0,591.0618,1802614
39,2000-02-27,906.0,906.0,895.0,900.0,583.2847,2086503
40,2000-02-28,900.0,905.0,887.0,892.0,578.0999,1701350
41,2000-02-29,892.0,909.0,884.0,888.0,575.5075,2147460
42,2000-03-01,890.0,908.0,890.0,905.0,586.5251,2936512
43,2000-03-02,902.0,902.0,889.0,896.0,580.6923,2936019
44,2000-03-05,905.0,917.0,905.0,915.0,593.0061,1968697
45,2000-03-06,915.0,945.0,911.0,942.0,610.5046,4161593
46,2000-03-07,942.0,958.0,924.0,938.0,607.9122,2596792
47,2000-03-08,938.0,958.0,932.0,952.0,616.9856,3762357
48,2000-03-09,969.0,986.0,969.0,970.0,628.6512,4412618
49,2000-03-12,970.0,989.0,966.0,975.0,631.8917,1498425
50,2000-03-13,965.0,965.0,946.0,953.0,617.6336,2285202
51,2000-03-14,955.0,972.0,955.0,966.0,626.0589,1307191
52,2000-03-15,966.0,970.0,951.0,965.0,625.4108,2220710
53,2000-03-16,972.0,983.0,972.0,975.0,631.8917,2147168
54,2000-03-19,975.0,987.0,952.0,953.0,617.6336,3040170
55,2000-03-20,958.0,971.0,958.0,966.0,626.0589,1456667
56,2000-03-22,966.0,983.0,945.0,957.0,620.226,2268880
57,2000-03-23,957.0,960.0,925.0,939.0,608.5603,2268611
58,2000-03-26,947.0,963.0,947.0,960.0,622.1703,1860132
59,2000-03-27,960.0,962.0,941.0,955.0,618.9298,2479440
60,2000-03-28,955.0,965.0,948.0,952.0,616.9856,1642130
61,2000-03-29,952.0,971.0,941.0,960.0,622.1703,3118133
62,2000-03-30,954.0,954.0,927.0,930.0,602.7275,7187084
63,2000-04-02,930.0,940.0,910.0,918.0,594.9504,2029812
64,2000-04-03,918.0,920.0,897.0,908.0,588.4694,4946445
65,2000-04-04,908.0,935.0,892.0,928.0,601.4313,4421639
66,2000-04-05,920.0,920.0,892.0,892.0,578.0999,3049118
67,2000-04-06,909.0,920.0,909.0,915.0,593.0061,2470719
68,2000-04-09,928.0,935.0,928.0,930.0,602.7275,4302308
69,2000-04-10,924.0,924.0,914.0,923.0,598.1908,3794447
70,2000-04-11,920.0,920.0,905.0,914.0,592.358,1193569
71,2000-04-12,915.0,927.0,915.0,920.0,596.2465,1375534
72,2000-04-13,915.0,915.0,890.0,913.0,591.7099,2529002
73,2000-04-16,874.0,874.0,858.0,866.0,561.2495,5040690
74,2000-04-17,866.0,875.0,852.0,872.0,565.138,3276036
75,2000-04-18,872.0,890.0,870.0,876.0,567.7304,1451994
76,2000-04-23,876.0,890.0,873.0,875.0,567.0823,763707
77,2000-04-24,875.0,882.0,864.0,868.0,562.5457,515713
78,2000-04-27,868.0,882.0,865.0,878.0,569.0266,4144355
79,2000-04-30,880.0,904.0,880.0,884.0,572.9152,1313762
80,2000-05-01,884.0,884.0,866.0,879.0,569.6747,1077667
81,2000-05-02,879.0,888.0,865.0,867.0,561.8976,815215
82,2000-05-03,859.0,859.0,843.0,844.0,546.9914,2323413
83,2000-05-04,844.0,864.0,833.0,835.0,541.1585,1112408
84,2000-05-07,840.0,878.0,840.0,873.0,565.7861,1695429
85,2000-05-08,873.0,889.0,869.0,880.0,570.3228,1664365
86,2000-05-11,870.0,870.0,838.0,865.0,560.6014,1745359
87,2000-05-14,870.0,885.0,870.0,876.0,567.7304,1225206
88,2000-05-15,876.0,878.0,862.0,865.0,560.6014,1591268
89,2000-05-16,870.0,885.0,870.0,882.0,571.619,1054939
90,2000-05-17,882.0,890.0,867.0,871.0,564.4899,865316
91,2000-05-18,871.0,903.0,865.0,902.0,584.5809,1243502
92,2000-05-21,902.0,910.0,885.0,906.0,587.1732,3972722
93,2000-05-22,906.0,918.0,898.0,915.0,593.0061,2641942
94,2000-05-23,915.0,918.0,895.0,905.0,586.5251,2955769
95,2000-05-24,900.0,900.0,871.0,874.0,566.4342,5168603
96,2000-05-25,888.0,912.0,888.0,912.0,591.0618,8511275
97,2000-05-28,913.0,932.0,913.0,918.0,594.9504,3756041
98,2000-05-29,918.0,924.0,905.0,911.0,590.4137,857990
99,2000-05-30,911.0,930.0,911.0,925.0,599.487,1690500
100,2000-05-31,925.0,938.0,907.0,910.0,589.7656,1899869
101,2000-06-01,915.0,929.0,915.0,928.0,601.4313,1297326
102,2000-06-04,928.0,946.0,915.0,918.0,594.9504,1456308
103,2000-06-05,918.0,920.0,904.0,904.0,585.877,1404812
104,2000-06-06,910.0,925.0,910.0,919.0,595.5984,4131961
105,2000-06-07,907.0,907.0,896.0,900.0,583.2847,2143063
106,2000-06-11,900.0,913.0,895.0,911.0,590.4137,2712829
107,2000-06-12,916.0,927.0,916.0,922.0,597.5427,3691349
108,2000-06-13,922.0,935.0,914.0,932.0,604.0237,3247964
109,2000-06-14,934.0,945.0,934.0,936.0,606.616,3513677
110,2000-06-15,890.0,890.0,882.0,883.0,572.2671,5331408
111,2000-06-18,883.0,883.0,870.0,872.0,565.138,1517993
112,2000-06-19,872.0,873.0,856.0,859.0,556.7128,2881530
113,2000-06-20,860.0,870.0,860.0,860.0,557.3609,2895801
114,2000-06-21,860.0,864.0,849.0,852.0,552.1761,2404871
115,2000-06-22,852.0,853.0,836.0,837.0,542.4547,4221001
116,2000-06-25,837.0,838.0,824.0,832.0,539.2143,3521010
117,2000-06-26,832.0,840.0,830.0,835.0,541.1585,8954363
118,2000-06-27,835.0,845.0,833.0,835.0,541.1585,4400568
119,2000-06-28,835.0,840.0,823.0,836.0,541.8066,8005412
120,2000-06-29,836.0,852.0,833.0,843.0,546.3433,9507210
121,2000-07-02,851.0,856.0,851.0,854.0,553.4723,1348329
122,2000-07-03,853.0,853.0,842.0,846.0,548.2876,2469871
123,2000-07-04,846.0,855.0,845.0,846.0,548.2876,2324645
124,2000-07-05,846.0,860.0,844.0,860.0,557.3609,2257231
125,2000-07-06,860.0,867.0,851.0,864.0,559.9533,1021155
126,2000-07-09,857.0,857.0,857.0,857.0,555.4166,0
127,2000-07-10,857.0,858.0,845.0,850.0,550.88,2491659
128,2000-07-11,853.0,858.0,853.0,854.0,553.4723,1435425
129,2000-07-12,854.0,863.0,853.0,859.0,556.7128,1900560
130,2000-07-13,859.0,865.0,856.0,857.0,555.4166,2124885
