,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,47.256,47.616,44.136,46.824,0.0894,300911853
1,2000-01-04,46.008,46.128,43.248,45.552,0.087,300479806
2,2000-01-05,44.256,45.0,43.44,44.064,0.0842,188351908
3,2000-01-06,44.064,44.064,39.504,41.184,0.0787,120479941
4,2000-01-07,40.992,42.312,40.368,41.88,0.08,71183965
5,2000-01-10,42.0,45.0,41.256,43.248,0.0826,239855883
6,2000-01-11,43.008,43.512,41.496,41.496,0.0793,148127928
7,2000-01-12,41.496,41.568,39.864,40.44,0.0772,123551940
8,2000-01-13,40.368,42.504,39.864,42.12,0.0805,132191936
9,2000-01-14,42.744,45.696,42.624,43.944,0.0839,604559705
10,2000-01-18,44.496,46.008,42.504,45.816,0.0875,261455873
11,2000-01-19,46.008,46.008,45.0,45.384,0.0867,164687920
12,2000-01-20,45.744,48.24,44.88,45.24,0.0864,179567912
13,2000-01-21,45.12,45.312,43.632,44.76,0.0855,544271735
14,2000-01-24,46.008,46.176,42.504,42.744,0.0817,256943875
15,2000-01-25,42.936,43.368,40.992,42.384,0.0809,237119884
16,2000-01-26,42.384,43.512,39.864,40.632,0.0776,232463887
17,2000-01-27,40.944,40.944,37.008,38.496,0.0735,458207825
18,2000-01-28,37.992,38.256,35.88,37.368,0.0714,194447905
19,2000-01-31,37.56,38.376,34.992,37.056,0.0708,182399911
20,2000-02-01,37.128,38.256,35.76,37.944,0.0725,92975955
21,2000-02-02,38.136,39.744,37.944,39.0,0.0745,149039927
22,2000-02-03,40.248,41.064,39.384,39.624,0.0757,108239947
23,2000-02-04,40.872,40.872,39.744,40.56,0.0775,123695940
24,2000-02-07,40.752,40.752,37.992,38.064,0.0727,217487894
25,2000-02-08,39.0,41.256,37.992,39.864,0.0762,468815771
26,2000-02-09,41.376,42.072,40.824,40.872,0.0781,589055713
27,2000-02-10,43.368,49.992,43.368,49.248,0.0941,970031527
28,2000-02-11,51.696,51.744,46.368,49.992,0.0955,423791793
29,2000-02-14,50.136,58.008,49.632,58.008,0.1108,650111683
30,2000-02-15,58.128,58.176,53.376,55.752,0.1065,450479780
31,2000-02-16,56.376,60.24,55.752,58.32,0.1114,1019567503
32,2000-02-17,58.248,60.744,57.384,60.384,0.1153,535775739
33,2000-02-18,59.496,68.256,59.064,67.368,0.1287,960863532
34,2000-02-22,65.256,66.12,63.0,65.496,0.1251,542495736
35,2000-02-23,64.752,66.552,63.936,65.88,0.1258,511391751
36,2000-02-24,66.24,66.696,62.496,65.256,0.1246,244319881
37,2000-02-25,65.304,65.304,58.512,61.176,0.1169,278735864
38,2000-02-28,60.864,61.512,59.76,60.744,0.116,517871748
39,2000-02-29,60.384,64.752,60.384,64.008,0.1222,306047803
40,2000-03-01,64.008,64.008,61.128,62.136,0.1187,383567813
41,2000-03-02,62.616,62.616,57.744,57.936,0.1107,191039907
42,2000-03-03,58.008,59.496,57.504,58.872,0.1125,273695867
43,2000-03-06,59.256,63.744,58.008,58.512,0.1117,430703790
44,2000-03-07,75.0,87.24,71.76,83.304,0.1591,1952015048
45,2000-03-08,83.256,84.744,77.256,84.0,0.1604,668735674
46,2000-03-09,85.008,108.0,84.744,100.296,0.1916,953903535
47,2000-03-10,105.504,145.008,104.76,118.008,0.2254,2160574947
48,2000-03-13,106.992,150.0,106.008,149.256,0.2851,2414926823
49,2000-03-14,148.44,148.44,108.0,110.136,0.2104,1567535236
50,2000-03-15,118.008,121.056,102.0,105.624,0.2018,995327515
51,2000-03-16,109.008,112.752,92.616,94.176,0.1799,749903634
52,2000-03-17,91.992,106.992,91.992,99.864,0.1908,557183728
53,2000-03-20,103.824,107.136,96.624,99.816,0.1907,365279870
54,2000-03-21,100.008,100.872,87.0,94.872,0.1812,536639738
55,2000-03-22,95.616,98.496,94.008,95.568,0.1825,230591936
56,2000-03-23,94.68,102.504,94.512,97.248,0.1858,309407801
57,2000-03-24,96.624,100.992,90.0,93.192,0.178,231599887
58,2000-03-27,93.0,96.0,86.256,87.072,0.1663,388943810
59,2000-03-28,84.072,85.008,79.008,80.568,0.1539,393311808
60,2000-03-29,80.88,82.752,72.0,75.24,0.1437,469439723
61,2000-03-30,73.008,81.744,70.512,74.808,0.1429,361919872
62,2000-03-31,79.92,87.864,78.504,84.48,0.1614,962975531
63,2000-04-03,83.712,84.0,75.696,77.88,0.1487,329951839
64,2000-04-04,82.008,83.376,57.0,75.0,0.1433,513791750
65,2000-04-05,75.744,97.512,71.88,91.68,0.1751,639599688
66,2000-04-06,95.928,100.824,91.368,95.928,0.1833,404543803
67,2000-04-07,100.752,105.0,96.504,102.552,0.1959,318575845
68,2000-04-10,104.304,110.376,91.56,93.504,0.1786,395279807
69,2000-04-11,86.976,94.992,79.992,87.936,0.168,457583825
70,2000-04-12,88.056,90.0,78.504,78.816,0.1505,313439847
71,2000-04-13,79.44,82.248,74.136,75.432,0.1441,313199847
72,2000-04-14,70.632,76.056,65.496,68.808,0.1314,421919794
73,2000-04-17,63.0,75.0,63.0,72.312,0.1381,294095857
74,2000-04-18,79.584,89.76,77.256,85.128,0.1626,477503719
75,2000-04-19,87.816,88.992,79.992,81.072,0.1548,278303816
76,2000-04-20,83.256,84.816,79.512,80.616,0.154,153935925
77,2000-04-24,76.008,79.368,72.624,76.632,0.1464,205967900
78,2000-04-25,80.064,87.504,79.872,85.008,0.1624,249695878
79,2000-04-26,90.936,93.0,84.0,84.12,0.1607,254111876
80,2000-04-27,78.504,91.872,78.072,91.008,0.1738,280991863
81,2000-04-28,92.448,96.0,89.136,89.136,0.1702,178655913
82,2000-05-01,92.496,94.512,89.808,91.992,0.1757,119423942
83,2000-05-02,91.992,97.368,85.872,88.44,0.1689,233999886
84,2000-05-03,87.864,90.744,79.992,87.0,0.1662,329183840
85,2000-05-04,86.808,91.752,86.064,88.056,0.1682,241151882
86,2000-05-05,87.696,94.248,86.496,92.136,0.176,170591917
87,2000-05-08,89.76,93.0,88.632,88.752,0.1695,185135910
88,2000-05-09,90.24,91.008,85.008,87.504,0.1671,176831914
89,2000-05-10,86.616,86.688,78.12,78.864,0.1507,274079818
90,2000-05-11,79.992,83.688,78.936,82.248,0.1571,245903880
91,2000-05-12,84.504,88.992,79.752,79.752,0.1523,187823908
92,2000-05-15,79.368,86.616,75.504,85.248,0.1628,282095862
93,2000-05-16,88.992,96.696,88.008,94.008,0.1796,366431869
94,2000-05-17,99.0,114.624,98.928,110.496,0.2111,1290527371
95,2000-05-18,111.12,112.944,102.312,103.008,0.1967,509903751
96,2000-05-19,100.008,105.504,99.24,102.12,0.1951,521183746
97,2000-05-22,100.992,108.744,92.064,108.744,0.2077,517151748
98,2000-05-23,106.008,117.936,104.256,107.88,0.2061,778511620
99,2000-05-24,107.76,109.512,92.256,106.512,0.2034,739631639
100,2000-05-25,108.072,114.504,103.68,105.0,0.2006,569183723
101,2000-05-26,105.528,108.432,99.0,105.528,0.2016,183503911
102,2000-05-30,108.384,112.632,107.88,109.872,0.2099,303647804
103,2000-05-31,109.512,115.992,109.512,114.12,0.218,469535771
104,2000-06-01,117.504,118.56,114.384,117.312,0.2241,418799796
