,date,open,high,low,close,adjusted_close,volume
0,2000-01-04,63.0,63.0,61.1,61.75,5.983,990803
1,2000-01-05,61.9,62.2,61.4,61.5,5.9587,1167263
2,2000-01-06,61.0,63.0,60.8,62.4,6.0459,571277
3,2000-01-07,62.4,62.4,60.9,61.8,5.9878,864189
4,2000-01-10,61.2,62.0,60.35,60.9,5.9006,606653
5,2000-01-11,60.5,60.5,58.75,59.75,5.7892,1017857
6,2000-01-12,59.7,59.7,59.0,59.35,5.7504,1019965
7,2000-01-13,59.9,60.4,59.7,59.8,5.794,861304
8,2000-01-14,60.4,61.25,59.45,59.9,5.8037,1830749
9,2000-01-17,60.95,60.95,60.1,60.5,5.8618,449022
10,2000-01-18,60.8,60.8,59.35,59.35,5.7504,966410
11,2000-01-19,59.55,59.55,58.4,58.45,5.6632,1263083
12,2000-01-20,58.45,58.85,58.0,58.3,5.6487,964091
13,2000-01-21,58.0,58.0,56.15,56.6,5.5352,1154011
14,2000-01-24,56.6,56.6,54.5,55.5,5.4277,1005353
15,2000-01-25,55.6,56.75,55.25,56.4,5.5157,1012950
16,2000-01-26,57.0,58.75,56.5,58.75,5.7455,733142
17,2000-01-27,59.15,63.5,58.9,63.35,6.1954,1826173
18,2000-01-28,61.25,62.65,60.4,60.4,5.9069,1033812
19,2000-01-31,60.0,60.0,59.05,59.05,5.7748,593029
20,2000-02-01,59.05,59.9,58.7,59.4,5.8091,492239
21,2000-02-02,59.0,59.55,57.75,57.9,5.6624,699915
22,2000-02-03,58.4,58.75,57.0,57.0,5.5744,984633
23,2000-02-04,57.9,58.1,56.75,57.4,5.6135,694412
24,2000-02-07,58.4,58.5,57.55,57.95,5.6673,672361
25,2000-02-08,58.65,59.85,58.15,59.65,5.8335,732306
26,2000-02-09,60.0,60.0,58.5,58.6,5.7308,509241
27,2000-02-10,59.0,59.3,58.15,58.85,5.7553,253391
28,2000-02-11,59.0,59.3,58.1,58.4,5.7113,513935
29,2000-02-14,58.75,58.95,58.2,58.5,5.7211,382860
30,2000-02-15,58.7,59.25,58.25,58.5,5.7211,513391
31,2000-02-16,58.8,60.3,58.4,60.05,5.8726,792888
32,2000-02-17,60.5,61.25,58.75,58.75,5.7455,767959
33,2000-02-18,60.2,60.95,58.85,59.25,5.7944,679645
34,2000-02-21,59.9,60.15,59.5,60.0,5.8678,311043
35,2000-02-22,60.4,60.6,58.5,58.7,5.7406,895716
36,2000-02-23,59.7,60.25,58.8,59.75,5.8433,769582
37,2000-02-24,60.5,60.95,59.3,59.95,5.8629,660696
38,2000-02-25,59.65,61.0,59.65,60.75,5.9411,450165
39,2000-02-28,61.0,63.0,60.0,62.8,6.1416,787979
40,2000-02-29,63.1,63.7,61.0,62.25,6.0878,1231184
41,2000-03-01,61.5,62.25,61.0,61.5,6.0144,1088161
42,2000-03-02,60.5,62.15,60.5,61.75,6.0389,625387
43,2000-03-03,62.0,62.5,61.0,61.0,5.9655,899478
44,2000-03-06,61.0,61.75,60.8,61.1,5.9753,815124
45,2000-03-07,60.5,60.75,59.1,59.5,5.8189,436215
46,2000-03-08,59.5,59.75,58.1,58.1,5.6819,815911
47,2000-03-09,58.3,58.6,57.55,58.45,5.7162,956414
48,2000-03-10,58.8,58.9,58.15,58.9,5.7602,376520
49,2000-03-13,58.4,60.6,58.4,60.3,5.8971,753662
50,2000-03-14,60.0,60.75,59.65,60.25,5.8922,829484
51,2000-03-15,60.0,62.2,59.6,62.15,6.078,753506
52,2000-03-16,62.35,65.7,62.3,65.5,6.4056,1344596
53,2000-03-17,65.5,65.5,64.0,64.75,6.3323,2087922
54,2000-03-20,65.0,65.3,64.0,64.1,6.2687,517795
55,2000-03-21,64.1,64.5,63.85,64.1,6.2687,871371
56,2000-03-22,64.0,67.25,64.0,67.0,6.5523,1884334
57,2000-03-23,67.0,69.25,66.75,67.75,6.6257,1403460
58,2000-03-24,68.8,69.5,68.0,69.15,6.7626,1088415
59,2000-03-27,69.15,69.75,67.0,68.0,6.6501,766182
60,2000-03-28,67.3,68.0,66.2,66.7,6.523,720078
61,2000-03-29,67.15,68.0,66.75,67.5,6.6012,667785
62,2000-03-30,67.5,70.75,67.5,70.4,6.8848,1205134
63,2000-03-31,70.2,70.4,68.0,68.0,6.6501,818181
64,2000-04-03,69.0,70.75,69.0,70.4,6.8848,825254
65,2000-04-04,71.0,72.5,69.25,71.75,7.0169,2107185
66,2000-04-05,71.75,72.5,71.1,72.0,7.0413,701670
67,2000-04-06,72.0,72.4,71.05,71.35,6.9777,859254
68,2000-04-07,70.4,71.35,68.25,68.5,6.699,809578
69,2000-04-10,69.6,70.4,68.75,69.85,6.831,686447
70,2000-04-11,70.15,72.45,70.0,72.15,7.056,1147921
71,2000-04-12,72.6,76.35,72.6,75.45,7.3787,1397904
72,2000-04-13,75.4,76.5,75.0,76.1,7.4423,1273777
73,2000-04-14,74.75,75.9,70.5,71.5,6.9924,1227451
74,2000-04-17,70.1,72.7,70.1,72.5,7.0902,943156
75,2000-04-18,72.6,73.25,72.0,72.5,7.0902,1333327
76,2000-04-19,72.4,73.5,72.0,73.0,7.1927,850557
77,2000-04-20,72.6,74.25,72.4,73.15,7.2075,392451
78,2000-04-24,73.25,74.0,73.0,73.35,7.2272,217720
79,2000-04-25,72.8,74.45,72.55,74.05,7.2961,348473
80,2000-04-26,74.0,74.0,72.3,72.5,7.1434,1084715
81,2000-04-27,72.1,72.7,70.8,70.8,6.9759,796086
82,2000-04-28,71.45,71.45,69.15,69.9,6.8872,800219
83,2000-05-01,69.6,69.8,68.8,69.3,6.8281,794301
84,2000-05-02,69.1,70.3,69.0,70.15,6.9119,1027059
85,2000-05-03,70.15,70.95,69.5,70.9,6.9858,1561695
86,2000-05-04,70.65,72.4,70.5,71.7,7.0646,712429
87,2000-05-05,71.0,73.0,71.0,73.0,7.1927,453437
88,2000-05-08,72.5,74.2,72.25,72.6,7.1533,718573
89,2000-05-09,73.55,75.2,73.55,74.55,7.3454,788186
90,2000-05-10,74.5,75.0,73.4,74.1,7.3011,451183
91,2000-05-11,74.05,74.5,72.5,74.0,7.2912,414176
92,2000-05-12,73.5,74.25,73.25,73.25,7.2173,515533
93,2000-05-15,74.5,75.5,73.5,75.5,7.439,419211
94,2000-05-16,75.75,76.15,74.75,75.4,7.4291,911009
95,2000-05-17,74.75,75.85,74.6,75.75,7.4636,756669
96,2000-05-18,75.8,77.2,75.8,76.75,7.5622,1186076
97,2000-05-19,76.5,77.45,75.8,77.15,7.6016,701141
98,2000-05-23,77.25,78.25,76.75,78.25,7.71,912763
99,2000-05-24,77.3,79.7,77.3,78.4,7.7247,1038458
100,2000-05-25,78.2,78.7,76.25,77.5,7.6361,758706
101,2000-05-26,77.1,78.7,77.0,78.1,7.6952,583583
102,2000-05-29,77.7,78.3,77.65,77.8,7.6656,205529
103,2000-05-30,78.5,78.5,77.5,77.75,7.6607,539994
104,2000-05-31,76.75,78.6,76.75,77.85,7.6705,489301
105,2000-06-01,77.7,80.25,77.7,80.0,7.8824,525758
106,2000-06-02,80.5,82.25,80.5,81.7,8.0499,1175384
107,2000-06-05,81.25,81.6,79.4,80.05,7.8873,513999
108,2000-06-06,78.8,79.5,78.35,78.4,7.7247,782703
109,2000-06-07,77.55,78.45,77.55,78.2,7.705,935150
110,2000-06-08,78.1,79.45,78.05,79.45,7.8282,277720
111,2000-06-09,79.2,81.1,79.0,81.1,7.9908,729058
112,2000-06-12,81.35,81.35,79.5,80.0,7.8824,416805
113,2000-06-13,80.85,80.85,78.5,78.5,7.7346,825097
114,2000-06-14,78.7,78.7,77.5,78.2,7.705,926103
115,2000-06-15,78.35,78.35,76.4,76.5,7.5375,900488
116,2000-06-16,76.0,76.25,73.8,74.25,7.3158,1231787
117,2000-06-19,74.75,75.5,74.4,75.5,7.439,1027686
118,2000-06-20,76.0,76.4,75.0,76.2,7.508,554718
119,2000-06-21,75.75,76.0,75.3,75.75,7.4636,1085408
120,2000-06-22,75.95,76.15,75.35,75.4,7.4291,874467
121,2000-06-23,75.1,76.0,75.1,75.8,7.4686,924465
122,2000-06-26,75.9,75.9,75.3,75.4,7.4291,389757
123,2000-06-27,75.4,76.7,75.4,76.2,7.508,673654
124,2000-06-28,76.0,77.25,75.9,77.0,7.5868,521370
125,2000-06-29,77.0,77.3,76.7,76.85,7.572,627850
126,2000-06-30,76.65,77.0,75.65,75.75,7.4636,262962
127,2000-07-04,75.8,76.8,75.8,76.8,7.5671,87838
128,2000-07-05,76.85,77.4,76.05,77.25,7.6114,477688
129,2000-07-06,77.25,77.6,76.15,76.75,7.5622,307217
130,2000-07-07,77.05,78.0,76.2,78.0,7.6853,442005
131,2000-07-10,77.55,79.45,77.45,78.0,7.6853,430487
132,2000-07-11,77.75,79.4,77.75,79.25,7.8085,835088
133,2000-07-12,79.35,79.75,79.35,79.6,7.843,413011
134,2000-07-13,79.95,80.0,79.35,79.45,7.8282,468832
135,2000-07-14,79.45,79.85,79.45,79.55,7.838,520264
136,2000-07-17,79.55,79.65,79.0,79.6,7.843,286653
137,2000-07-18,79.5,79.6,78.5,79.15,7.7986,616350
138,2000-07-19,79.0,79.25,78.55,78.85,7.7691,397664
139,2000-07-20,78.9,79.0,77.3,77.3,7.6163,647822
140,2000-07-21,76.75,77.85,76.65,77.5,7.6958,363300
141,2000-07-24,77.0,79.55,77.0,78.55,7.8001,772469
142,2000-07-25,79.0,79.75,78.5,79.6,7.9043,510074
143,2000-07-26,79.9,80.2,79.6,79.95,7.9391,838966
144,2000-07-27,79.1,80.5,79.1,80.4,7.9838,507644
145,2000-07-28,80.1,81.0,79.35,79.6,7.9043,462704
146,2000-07-31,79.7,80.1,79.3,79.3,7.8745,583164
147,2000-08-01,79.1,79.95,78.35,79.0,7.8447,541522
148,2000-08-02,79.0,80.0,78.5,79.65,7.9093,483050
149,2000-08-03,79.65,80.45,79.25,79.75,7.9192,702816
150,2000-08-04,79.8,80.5,79.5,79.8,7.9242,225513
151,2000-08-08,79.2,81.7,79.2,81.3,8.0731,828315
152,2000-08-09,82.0,82.85,81.0,82.5,8.1923,703632
153,2000-08-10,82.2,82.5,81.35,81.8,8.1228,297532
154,2000-08-11,81.25,83.5,81.25,83.45,8.2866,264274
155,2000-08-14,83.25,85.75,83.1,85.6,8.5001,763425
156,2000-08-15,85.6,87.25,85.5,86.7,8.6094,1222484
157,2000-08-16,86.25,87.25,86.15,87.1,8.6491,616588
158,2000-08-17,86.5,87.65,86.5,87.45,8.6838,416725
159,2000-08-18,87.5,88.35,87.0,88.25,8.7633,662785
160,2000-08-21,88.25,88.4,86.7,87.5,8.6888,629468
161,2000-08-22,88.5,88.75,85.8,86.35,8.5746,715729
162,2000-08-23,86.0,86.9,85.75,86.25,8.5647,539091
163,2000-08-24,86.25,87.0,85.75,85.85,8.5249,615004
164,2000-08-25,85.1,85.45,84.6,84.65,8.4058,631228
165,2000-08-28,84.65,85.5,84.5,85.1,8.4505,767697
166,2000-08-29,85.0,85.95,85.0,85.25,8.4654,1620029
167,2000-08-30,85.25,85.6,85.0,85.55,8.4952,964663
168,2000-08-31,85.95,86.2,85.6,86.15,8.5547,431445
169,2000-09-01,86.6,87.75,86.15,87.5,8.6888,395318
170,2000-09-05,87.95,88.1,87.3,88.0,8.7384,432991
171,2000-09-06,88.1,88.5,87.85,88.0,8.7384,842530
172,2000-09-07,88.0,88.25,86.75,87.0,8.6391,598909
173,2000-09-08,87.75,87.95,86.5,87.0,8.6391,531444
174,2000-09-11,86.5,88.45,86.1,88.35,8.7732,332711
175,2000-09-12,88.35,90.15,87.8,89.6,8.8973,664827
176,2000-09-13,89.0,92.45,89.0,92.45,9.1803,579370
177,2000-09-14,93.0,94.3,92.5,94.3,9.364,1222587
178,2000-09-15,94.25,94.75,92.9,93.3,9.2647,839483
179,2000-09-18,93.05,93.15,92.25,92.45,9.1803,499401
180,2000-09-19,92.1,97.75,92.1,95.25,9.4584,1079855
181,2000-09-20,95.0,97.0,93.2,94.0,9.3342,918620
182,2000-09-21,94.0,94.0,92.1,93.25,9.2598,1617217
183,2000-09-22,91.55,93.25,91.5,93.25,9.2598,693938
184,2000-09-25,46.65,48.15,46.65,47.0,9.3342,1690082
185,2000-09-26,47.4,47.4,45.75,45.95,9.1257,1208866
186,2000-09-27,46.5,46.7,45.6,45.6,9.0562,628478
187,2000-09-28,45.9,46.1,44.85,44.95,8.9271,2282621
188,2000-09-29,44.9,45.35,43.85,44.7,8.8775,1258992
189,2000-10-02,45.25,45.5,44.6,44.75,8.8874,863653
190,2000-10-03,45.3,45.35,43.85,44.25,8.7881,1326000
191,2000-10-04,44.45,45.65,44.25,45.4,9.0165,1519855
192,2000-10-05,45.5,46.7,45.5,46.5,9.2349,1238518
193,2000-10-06,47.0,47.0,45.0,46.0,9.1356,1143687
194,2000-10-10,45.75,45.95,44.8,44.8,8.8973,890040
195,2000-10-11,44.65,44.7,43.2,44.0,8.7384,1165307
196,2000-10-12,44.0,44.0,42.2,42.5,8.4405,1743408
197,2000-10-13,42.1,43.5,42.0,43.0,8.5398,1251233
198,2000-10-16,43.75,43.75,42.4,42.85,8.5101,708892
199,2000-10-17,42.9,43.2,42.25,42.3,8.4008,1862959
200,2000-10-18,42.0,42.25,41.4,41.8,8.3015,1717124
201,2000-10-19,42.0,42.5,41.25,41.35,8.2122,1825249
202,2000-10-20,41.6,42.0,41.2,41.5,8.2419,1436225
203,2000-10-23,41.95,41.95,40.9,41.1,8.2219,936473
204,2000-10-24,41.75,43.45,41.5,43.2,8.642,1796715
205,2000-10-25,43.15,45.25,43.15,45.05,9.0121,2214528
206,2000-10-26,45.45,45.75,44.05,45.2,9.0421,1996436
207,2000-10-27,44.3,46.1,44.3,46.0,9.2022,1103808
