,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,10.2705,10.3062,10.0472,10.1634,1.9006,9033105
1,2000-01-04,10.0384,10.0919,9.8329,9.9222,1.8556,9047147
2,2000-01-05,9.7347,9.8597,9.6007,9.6811,1.8105,9583655
3,2000-01-07,9.7526,10.1366,9.7436,10.1098,1.8906,9860495
4,2000-01-10,10.1991,10.1991,9.9312,10.0205,1.8739,6928548
5,2000-01-11,10.0026,10.0205,9.5114,9.6811,1.8105,15703435
6,2000-01-12,9.5739,9.5918,9.4311,9.5918,1.7938,12375290
7,2000-01-13,9.6454,9.6544,9.3864,9.5114,1.7787,11339515
8,2000-01-14,9.5561,9.8329,9.4846,9.7615,1.8255,16167695
9,2000-01-17,9.9134,9.9312,9.4221,9.5025,1.7771,32466779
10,2000-01-18,9.4667,9.4667,8.9666,9.0202,1.6869,20631631
11,2000-01-19,8.9398,9.0291,8.8148,9.0202,1.6869,21220790
12,2000-01-20,9.1096,9.3596,9.0738,9.2078,1.7219,12085343
13,2000-01-21,9.2703,9.3507,8.8684,8.9219,1.6685,18744372
14,2000-01-24,9.0202,9.1989,8.9309,9.0202,1.6869,10159673
15,2000-01-25,8.9309,9.0381,8.8773,9.0202,1.6869,16269272
16,2000-01-26,9.1363,9.2792,9.0202,9.2524,1.7303,23249722
17,2000-01-27,9.3507,9.3596,9.1542,9.2792,1.7353,51521470
18,2000-01-28,9.3239,9.3239,8.9577,8.9934,1.6819,13454028
19,2000-01-31,9.0202,9.1274,8.8863,8.9934,1.6913,51053995
20,2000-02-01,9.1721,9.1721,8.9577,9.1006,1.7115,11954783
21,2000-02-02,9.1809,9.1899,8.9756,9.1006,1.7115,10959329
22,2000-02-03,9.1274,9.3239,9.0202,9.2256,1.735,11702210
23,2000-02-04,9.3328,9.4132,9.2078,9.3061,1.7501,14271623
24,2000-02-07,9.4132,9.5918,9.3507,9.5918,1.8039,12802892
25,2000-02-08,9.6097,9.8151,9.4846,9.7526,1.8341,12562345
26,2000-02-09,9.824,9.824,9.4311,9.5739,1.8005,11211592
27,2000-02-10,9.4936,9.5739,9.2524,9.3774,1.7636,9391262
28,2000-02-11,9.3774,9.3864,8.7969,8.8684,1.6678,17857838
29,2000-02-14,9.2167,9.6632,8.8863,9.2971,1.7484,27458863
30,2000-02-15,9.4221,9.7436,9.3328,9.4489,1.777,21892889
31,2000-02-16,9.6722,9.949,9.5204,9.9222,1.866,34575021
32,2000-02-17,9.8507,10.0741,9.8329,9.9134,1.8643,17259245
33,2000-02-18,9.9222,9.958,9.6632,9.6632,1.8173,18832246
34,2000-02-21,9.6007,9.8954,9.5561,9.8329,1.8492,9164537
35,2000-02-22,9.824,9.958,9.5918,9.6989,1.824,11903687
36,2000-02-23,9.7794,9.9134,9.6007,9.9134,1.8643,9657321
37,2000-02-24,9.824,9.9044,9.6007,9.6454,1.8139,11379887
38,2000-02-25,9.6722,9.8597,9.6007,9.7079,1.8257,10211389
39,2000-02-28,9.7347,9.7882,9.5829,9.6544,1.8156,9793130
40,2000-02-29,9.6989,9.9134,9.6544,9.7347,1.8307,7699255
41,2000-03-01,9.7794,9.7972,9.6186,9.7169,1.8274,9386184
42,2000-03-02,9.7704,9.8954,9.7436,9.8687,1.8559,14507484
43,2000-03-03,9.958,10.0472,9.7347,9.7704,1.8375,17246278
44,2000-03-06,9.9312,9.9312,9.7347,9.7347,1.8307,12686948
45,2000-03-07,9.7526,9.8687,9.6632,9.6989,1.824,10303715
46,2000-03-08,9.6544,9.8687,9.6454,9.7794,1.8391,9455132
47,2000-03-09,9.7882,9.958,9.7347,9.8507,1.8526,15201270
48,2000-03-10,9.949,9.9937,9.7972,9.9937,1.8795,61551557
49,2000-03-13,10.0472,10.1366,9.7169,9.949,1.8711,15408979
50,2000-03-14,10.0026,10.083,9.8776,10.083,1.8962,24105744
51,2000-03-15,9.9401,10.2259,9.9134,10.1634,1.9114,34341866
52,2000-03-16,10.2527,10.3599,10.208,10.333,1.9433,16958941
53,2000-03-17,10.4581,10.717,10.3777,10.592,1.992,25177601
54,2000-03-20,10.5385,10.7082,10.5385,10.5832,1.9903,20610383
55,2000-03-21,10.5027,10.601,10.2259,10.4492,1.9651,11319425
56,2000-03-22,10.4492,10.5832,10.2437,10.342,1.945,13294771
57,2000-03-23,10.3599,10.467,10.1366,10.1634,1.9114,10736444
58,2000-03-24,10.1544,10.3867,10.0919,10.2974,1.9366,5696271
59,2000-03-27,10.1902,10.2974,10.0919,10.1991,1.9181,6493026
60,2000-03-28,10.1544,10.4402,10.1366,10.3777,1.9517,8057815
61,2000-03-29,10.2795,10.3955,10.1902,10.2795,1.9332,5212560
62,2000-03-30,10.1812,10.2527,10.0652,10.1455,1.908,8710080
63,2000-03-31,10.0562,10.1366,10.0294,10.0294,1.8862,26513744
64,2000-04-03,10.0294,10.1544,9.9401,10.0472,1.8895,8049685
65,2000-04-04,10.083,10.3599,10.0741,10.1544,1.9097,21656650
66,2000-04-05,10.1723,10.2705,9.8776,9.9847,1.8778,13150271
67,2000-04-06,10.0026,10.0026,9.6901,9.6989,1.824,22089007
68,2000-04-07,9.8151,9.9222,9.7526,9.8954,1.861,11357519
69,2000-04-10,9.9222,10.083,9.8062,10.0741,1.8946,8856134
70,2000-04-11,9.9134,10.083,9.9134,9.9222,1.866,9196302
71,2000-04-12,10.083,10.1455,9.8954,10.0115,1.8828,8051581
72,2000-04-13,9.9937,10.2974,9.9759,10.2527,1.9282,12014327
73,2000-04-14,10.2259,10.3599,9.9759,10.0919,1.8979,11404939
74,2000-04-17,9.7347,9.9847,9.5829,9.9401,1.8694,28393301
75,2000-04-18,10.0026,10.0562,9.7079,9.8597,1.8543,9531313
76,2000-04-19,9.9134,9.9312,9.7436,9.7436,1.8324,16126754
