,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,500.0,510.0,490.0,495.0,29.5958,668821
1,2000-01-04,490.0,493.0,459.0,471.5,28.1908,1130953
2,2000-01-05,442.0,446.5,408.0,414.6,24.7887,1448210
3,2000-01-06,418.0,436.0,414.0,428.05,25.5929,739969
4,2000-01-07,464.0,519.0,464.0,519.0,31.0308,2385314
5,2000-01-10,545.0,555.0,530.0,540.2,32.2983,2049290
6,2000-01-11,543.0,560.0,541.0,557.5,33.3327,2854395
7,2000-01-12,540.0,576.5,538.5,569.0,34.0202,2066918
8,2000-01-13,565.0,606.0,561.0,575.0,34.379,1654094
9,2000-01-14,590.0,600.0,581.0,588.0,35.1562,1028989
10,2000-01-17,570.0,579.0,545.0,579.0,34.6181,1200937
11,2000-01-18,573.0,609.0,545.0,554.0,33.1234,2154302
12,2000-01-19,540.0,549.5,534.85,549.0,32.8245,995089
13,2000-01-20,550.0,567.0,548.0,562.9,33.6555,916849
14,2000-01-21,555.5,565.0,555.5,560.0,33.4821,522181
15,2000-01-24,527.0,582.0,527.0,581.0,34.7377,897013
16,2000-01-25,570.0,584.0,565.0,565.0,33.7811,2833371
17,2000-01-26,567.0,575.0,552.0,575.0,34.379,936793
18,2000-01-27,585.0,608.5,574.6,608.5,36.3819,4537637
19,2000-01-28,596.0,638.0,595.0,619.5,37.0396,3117483
20,2000-01-31,603.0,608.0,570.2,577.0,34.4986,1168753
21,2000-02-01,590.0,610.0,580.0,610.0,36.4716,1302745
22,2000-02-02,607.0,618.0,605.0,616.9,36.8842,1838054
23,2000-02-03,609.0,648.0,609.0,627.5,37.5179,2164262
24,2000-02-04,623.0,642.0,623.0,632.0,37.787,2384942
25,2000-02-07,630.0,653.0,629.0,631.65,37.7661,2049446
26,2000-02-08,630.0,676.0,627.0,671.4,40.1427,2179994
27,2000-02-09,670.0,694.0,668.0,689.7,41.2368,1194181
28,2000-02-10,660.0,670.0,640.0,670.0,40.059,1527878
29,2000-02-11,665.0,673.5,654.4,655.5,39.192,973177
30,2000-02-14,635.0,652.0,626.05,651.0,38.923,979909
31,2000-02-15,644.0,644.0,623.2,623.2,37.2608,936901
32,2000-02-16,627.0,660.0,627.0,655.0,39.1621,1401673
33,2000-02-17,640.0,675.0,639.0,669.5,40.0291,1590446
34,2000-02-18,670.0,680.0,668.0,669.0,39.9992,758281
35,2000-02-21,660.0,670.0,630.0,653.2,39.0545,706549
36,2000-02-22,650.0,663.95,644.0,656.7,39.2638,712549
37,2000-02-23,655.0,670.5,650.0,659.5,39.4312,1275169
38,2000-02-24,662.0,688.0,645.0,645.0,38.5642,1390309
39,2000-02-25,660.0,683.0,656.0,683.0,40.8362,854557
40,2000-02-28,655.0,679.0,651.0,657.2,39.2937,817501
41,2000-02-29,662.0,673.5,640.5,658.0,39.3415,929509
42,2000-03-01,666.0,695.8,666.0,694.85,41.5448,934873
43,2000-03-02,695.0,702.0,683.0,695.3,41.5717,780145
44,2000-03-03,699.0,747.5,696.15,731.0,43.7061,1050769
45,2000-03-06,749.1,832.0,749.1,819.9,49.0214,2908311
46,2000-03-07,810.0,859.0,795.0,859.0,51.3592,1608026
47,2000-03-08,830.0,838.0,786.0,786.0,46.9946,877573
48,2000-03-09,780.0,830.0,780.0,799.7,47.8137,626053
49,2000-03-10,815.0,833.0,799.0,801.0,47.8914,770449
50,2000-03-13,790.0,796.1,738.0,755.0,45.1411,542713
51,2000-03-14,750.0,769.0,741.0,745.0,44.5432,392916
52,2000-03-15,732.0,755.0,679.0,691.0,41.3146,511801
53,2000-03-16,680.0,682.0,630.0,630.0,37.6674,1197877
54,2000-03-17,664.0,682.0,636.5,673.0,40.2384,1088689
55,2000-03-20,676.0,747.9,669.0,746.7,44.6448,424980
56,2000-03-21,735.0,735.0,695.0,702.9,42.0261,695809
57,2000-03-22,730.0,730.88,709.1,715.49,42.7788,406284
58,2000-03-23,724.5,724.5,666.0,674.9,40.352,772189
