,date,open,high,low,close,adjusted_close,volume
0,2000-01-03,77.0721,80.0364,77.0721,78.0602,18.4797,961383
1,2000-01-04,78.3566,78.3566,74.256,75.2935,17.8247,908412
2,2000-01-05,73.2185,76.5781,71.9834,72.1316,17.0762,960047
3,2000-01-06,72.6256,76.084,72.6256,75.7876,17.9417,1052494
4,2000-01-07,76.9733,79.4436,76.2322,77.1709,18.2691,2573565
5,2000-01-10,78.0602,78.0602,74.7995,75.8864,17.965,901650
6,2000-01-11,77.0721,77.8626,72.9715,72.9715,17.275,882650
7,2000-01-12,74.1078,76.5287,73.2679,74.1572,17.5557,938577
8,2000-01-13,74.1078,78.2578,74.1078,77.912,18.4446,1156218
9,2000-01-14,77.0721,78.3566,76.331,77.5662,18.3627,551308
10,2000-01-17,77.8626,78.8507,74.503,74.8983,17.7311,1013122
11,2000-01-18,74.8983,75.7382,72.6256,72.6256,17.1931,829702
12,2000-01-19,72.6256,73.9102,70.7482,73.9102,17.4972,622090
13,2000-01-20,73.9102,74.6019,71.6375,74.0584,17.5323,615012
14,2000-01-21,72.7245,74.8983,72.2304,72.2304,17.0995,770753
15,2000-01-24,73.1197,74.7007,67.5863,70.2542,16.6317,1056166
16,2000-01-25,71.1435,73.6632,70.2542,70.2542,16.6317,1070887
17,2000-01-26,72.9221,74.1078,72.2304,74.1078,17.544,1094695
18,2000-01-27,74.9971,75.6888,72.0328,74.1078,17.544,2576281
19,2000-01-28,74.6019,74.7995,71.8846,73.0209,17.2867,515231
20,2000-01-31,70.6494,72.7245,70.353,71.6375,16.9592,682384
21,2000-02-01,71.6375,72.5268,68.6732,71.3411,16.889,1854880
22,2000-02-02,69.1673,70.4518,68.9697,69.2661,16.3978,1112425
23,2000-02-03,75.0959,75.7876,70.2542,71.1435,16.8422,3223699
24,2000-02-04,72.6256,74.4042,71.6375,74.4042,17.6142,1119275
25,2000-02-07,73.8114,75.8864,72.6256,73.1197,17.3101,1239210
26,2000-02-08,74.009,74.6019,72.9221,73.2185,17.3335,489963
27,2000-02-09,72.9221,73.3173,70.4518,72.3292,17.1229,596300
28,2000-02-10,70.1554,72.0328,70.0566,70.1554,16.6083,448350
29,2000-02-11,70.1554,70.6494,68.772,68.772,16.2808,616148
30,2000-02-14,68.3768,70.1554,67.2899,70.1554,16.6083,654427
31,2000-02-15,68.8708,71.934,66.9935,67.2405,15.9182,546424
32,2000-02-16,68.4756,70.9459,67.7839,69.7601,16.5147,1075037
33,2000-02-17,69.6613,71.5881,69.1673,69.1673,16.3744,468258
34,2000-02-18,71.1435,71.7363,68.6732,69.9578,16.5615,503510
35,2000-02-21,69.1673,69.7107,65.0172,65.3137,15.4621,558083
36,2000-02-22,65.7089,66.9935,64.4244,64.4244,15.2516,802282
37,2000-02-23,67.6851,67.8827,65.5113,67.2899,15.9299,679983
38,2000-02-24,68.1792,69.1673,63.2387,63.5351,15.041,1190286
39,2000-02-25,64.9184,65.2643,58.4958,59.2862,14.0352,2059245
40,2000-02-28,60.966,63.4363,60.2743,63.4363,15.0177,1503496
41,2000-02-29,64.7208,66.203,63.8809,66.203,15.6726,1564566
42,2000-03-01,67.6851,70.5506,67.3393,68.9203,16.3159,2294714
43,2000-03-02,70.1554,70.8965,63.7327,68.1792,16.1405,1546070
44,2000-03-03,70.6494,70.6494,66.697,67.0429,15.8715,942168
45,2000-03-06,67.9816,68.0804,66.203,66.4006,15.7194,622724
46,2000-03-07,66.203,66.5982,62.7446,62.8434,14.8773,1200038
47,2000-03-08,63.2387,64.7208,61.2624,61.2624,14.503,948111
48,2000-03-09,62.4482,62.7446,59.4839,60.3237,14.2808,804486
49,2000-03-10,61.7565,62.7446,60.3237,60.6202,14.351,741841
50,2000-03-13,60.2743,61.0154,56.6678,57.1124,13.5206,1421962
51,2000-03-14,58.2981,61.4107,57.1124,61.2624,14.503,1242302
52,2000-03-15,61.6577,65.3137,60.2743,64.9184,15.3685,1638295
53,2000-03-16,66.203,69.7601,65.0172,68.6732,16.2574,2169059
54,2000-03-17,69.1673,69.1673,66.45,67.1911,15.9066,884002
55,2000-03-20,65.4125,67.5863,65.4125,67.2899,15.9299,554689
56,2000-03-21,67.4875,68.1792,66.5982,68.1792,16.1405,592172
57,2000-03-22,68.278,68.6732,63.6339,64.7208,15.3218,808215
58,2000-03-23,64.3256,66.0053,63.2881,64.622,15.2984,830360
59,2000-03-24,63.7327,67.1911,61.8553,63.7327,15.0878,712872
60,2000-03-27,64.2268,66.697,63.6339,65.7583,15.5674,422431
61,2000-03-28,66.5982,66.5982,64.6714,64.6714,15.3101,387726
62,2000-03-29,64.622,66.3018,64.5726,66.0053,15.6258,371550
63,2000-03-30,66.0053,66.5488,64.0291,64.1774,15.1931,1487493
64,2000-03-31,65.1161,65.9065,61.3613,65.9065,15.6025,1158524
65,2000-04-03,66.203,68.5744,64.4244,66.0053,15.6258,729709
66,2000-04-04,68.1792,71.0941,66.0053,70.6988,16.737,1549298
67,2000-04-05,70.9459,70.9459,66.3512,66.9935,15.8598,1011248
68,2000-04-06,67.1911,67.8333,66.2524,67.1911,15.9066,547074
69,2000-04-07,67.2899,67.5369,64.7702,67.3887,15.9533,866472
70,2000-04-10,67.1911,67.4875,65.5113,66.6476,15.7779,468323
71,2000-04-11,66.697,66.697,64.9678,65.8571,15.5908,565859
72,2000-04-12,66.203,66.4006,64.7208,65.8571,15.5908,427801
73,2000-04-13,65.2149,67.7345,64.7208,67.7345,16.0352,658194
74,2000-04-14,68.3768,69.4637,67.1911,68.3274,16.1756,1088331
75,2000-04-17,65.2149,68.1792,64.8196,68.1792,16.1405,837505
76,2000-04-18,68.1792,69.3649,65.4125,66.3512,15.7077,837539
77,2000-04-19,67.6851,68.4262,65.7089,66.697,15.7896,666410
78,2000-04-20,67.9816,68.772,67.1911,68.6732,16.2574,280995
79,2000-04-25,69.1673,70.1554,67.7839,69.3649,16.4212,365543
80,2000-04-26,69.6613,73.2679,69.6613,72.5268,17.1697,1303727
81,2000-04-27,72.9221,72.9221,68.0804,71.0447,16.8188,931307
82,2000-04-28,71.5387,71.6375,70.1554,71.1435,16.8422,1030294
83,2000-05-02,72.428,72.4774,70.2048,70.7482,16.7487,586525
84,2000-05-03,71.6375,71.6869,70.7482,70.9953,16.8071,411675
85,2000-05-04,71.6375,72.2304,69.9578,71.5387,16.9358,363512
86,2000-05-05,72.1316,73.4655,71.1435,72.3292,17.1229,502708
87,2000-05-08,73.1197,73.762,71.6375,73.6137,17.427,365413
88,2000-05-09,73.6137,74.8489,72.6256,73.7126,17.4504,1003651
89,2000-05-10,73.1197,73.9102,72.181,73.0209,17.2867,590962
90,2000-05-11,72.6256,74.3054,71.7363,73.5643,17.4153,540510
91,2000-05-12,74.1078,74.8983,73.2185,74.4536,17.6259,696896
92,2000-05-15,74.1078,75.7382,73.9102,74.7007,17.6843,439593
93,2000-05-16,74.7007,76.5287,74.1572,74.8983,17.7311,590152
94,2000-05-17,75.0959,76.1334,74.8983,75.7876,17.9417,1035302
95,2000-05-18,75.0959,76.6769,75.0959,76.4792,18.1054,796260
96,2000-05-19,76.084,76.084,73.7126,74.1078,17.544,1255961
97,2000-05-22,74.1078,76.8745,73.4161,75.59,17.8949,1156755
98,2000-05-23,75.2935,76.5781,75.0959,75.8864,17.965,1616569
99,2000-05-24,74.7007,75.0959,72.9221,74.2066,17.5674,2824966
100,2000-05-25,74.1078,75.0959,73.1691,73.9596,17.5089,457179
101,2000-05-26,73.8114,73.8608,70.3036,71.6375,16.9592,2137504
102,2000-05-29,72.428,73.9102,72.1316,73.1197,17.3101,5889346
103,2000-05-30,72.1316,74.009,70.4518,70.6494,16.7253,2168606
104,2000-05-31,70.7482,72.1316,69.2661,70.5506,16.7019,1878784
105,2000-06-01,71.0447,73.1197,71.0447,73.1197,17.3101,424387
106,2000-06-02,73.1197,74.6513,72.5268,74.6513,17.6726,686924
107,2000-06-05,74.3054,75.8864,73.2185,73.8114,17.4738,1673239
108,2000-06-06,73.5149,75.3429,72.2304,73.4161,17.3802,1121362
109,2000-06-07,72.428,73.5643,71.2917,72.0822,17.0645,543532
110,2000-06-08,71.7363,72.6256,70.5012,71.7363,16.9826,638856
111,2000-06-09,71.8352,71.8352,68.772,69.6613,16.8015,786715
112,2000-06-13,70.0566,71.2917,69.4637,69.4637,16.7538,575286
113,2000-06-14,69.1673,70.9459,69.0191,70.1554,16.9206,1108644
114,2000-06-15,70.1554,71.3905,69.4637,69.9578,16.873,419790
115,2000-06-16,71.2423,71.2917,69.3155,69.3155,16.7181,680700
116,2000-06-19,69.3649,71.3905,69.3649,71.1435,17.1589,373795
117,2000-06-20,71.0447,71.0941,69.3649,69.6613,16.8015,880592
118,2000-06-21,69.6613,70.1554,68.7226,68.8708,16.6108,753121
119,2000-06-22,69.3649,69.5131,67.4381,67.4381,16.2652,731530
120,2000-06-23,67.4875,70.1554,67.3393,70.1554,16.9206,618123
121,2000-06-26,69.6613,70.5506,68.3768,70.1554,16.9206,2476108
122,2000-06-27,71.0447,71.0941,68.4756,69.9084,16.861,583617
123,2000-06-28,69.9084,72.5762,69.9084,72.5268,17.4926,853226
124,2000-06-29,72.7245,72.7739,70.353,71.9834,17.3615,4091304
125,2000-06-30,71.6375,72.1316,70.2048,72.1316,17.3973,784215
126,2000-07-03,72.1316,72.1316,69.3155,71.6375,17.2781,555654
