index,2024-12-31 00:00:00,2024-06-30 00:00:00,2023-12-31 00:00:00
Treasury Shares Number,47284961.0,48693709.0,48693709.0
Ordinary Shares Number,2572715039.0,2571306291.0,2621306291.0
Share Issued,2620000000.0,2620000000.0,2670000000.0
Total Debt,63560000000.0,65867000000.0,55241000000.0
Tangible Book Value,-13923000000.0,-16992000000.0,-11176000000.0
Invested Capital,35917000000.0,32856000000.0,35742000000.0
Working Capital,-7675000000.0,-5780000000.0,-6227000000.0
Net Tangible Assets,-13923000000.0,-16992000000.0,-11176000000.0
Common Stock Equity,35917000000.0,32856000000.0,35742000000.0
Total Capitalization,35917000000.0,32856000000.0,35742000000.0
Total Equity Gross Minority Interest,36693000000.0,33542000000.0,36387000000.0
Minority Interest,776000000.0,686000000.0,645000000.0
Stockholders Equity,35917000000.0,32856000000.0,35742000000.0
Treasury Stock,4283000000.0,2236000000.0,5155000000.0
Retained Earnings,66363000000.0,60708000000.0,68261000000.0
Capital Stock,262000000.0,262000000.0,267000000.0
Common Stock,262000000.0,262000000.0,267000000.0
Total Liabilities Net Minority Interest,102571000000.0,102062000000.0,90163000000.0
Total Non Current Liabilities Net Minority Interest,59708000000.0,62354000000.0,53079000000.0
Derivative Product Liabilities,307000000.0,353000000.0,239000000.0
Non Current Pension And Other Postretirement Benefit Plans,2629000000.0,2583000000.0,2718000000.0
Tradeand Other Payables Non Current,222000000.0,110000000.0,108000000.0
Non Current Deferred Taxes Liabilities,3767000000.0,3347000000.0,2886000000.0
Long Term Debt And Capital Lease Obligation,51697000000.0,54644000000.0,45825000000.0
Long Term Provisions,1086000000.0,1317000000.0,1303000000.0
Current Liabilities,42863000000.0,39708000000.0,37084000000.0
Current Debt And Capital Lease Obligation,11863000000.0,11223000000.0,9416000000.0
Current Provisions,865000000.0,657000000.0,675000000.0
Payables,24242000000.0,22081000000.0,21564000000.0
Other Payable,3430000000.0,,3344000000.0
Total Tax Payable,4127000000.0,2478000000.0,4025000000.0
Accounts Payable,16685000000.0,19603000000.0,14195000000.0
Total Assets,139264000000.0,135604000000.0,126550000000.0
Total Non Current Assets,104076000000.0,101676000000.0,95693000000.0
Defined Pension Benefit,1475000000.0,1148000000.0,962000000.0
Non Current Deferred Taxes Assets,995000000.0,1183000000.0,1181000000.0
Financial Assets,84000000.0,125000000.0,130000000.0
Investmentin Financial Assets,3650000000.0,3175000000.0,2947000000.0
Long Term Equity Investment,14326000000.0,13961000000.0,13088000000.0
Investmentsin Joint Venturesat Cost,2231000000.0,,1970000000.0
Investmentsin Associatesat Cost,12095000000.0,,11118000000.0
Goodwill And Other Intangible Assets,49840000000.0,49848000000.0,46918000000.0
Other Intangible Assets,19245000000.0,19210000000.0,18225000000.0
Goodwill,30595000000.0,30638000000.0,28693000000.0
Net PPE,33706000000.0,32236000000.0,30467000000.0
Accumulated Depreciation,-30344000000.0,,-27981000000.0
Gross PPE,64050000000.0,,58448000000.0
Construction In Progress,7277000000.0,,7464000000.0
Other Properties,345000000.0,,305000000.0
Machinery Furniture Equipment,37131000000.0,,33531000000.0
Buildings And Improvements,2057000000.0,,2095000000.0
Land And Improvements,17240000000.0,,15053000000.0
Properties,0.0,,0.0
Current Assets,35188000000.0,33928000000.0,30857000000.0
Hedging Assets Current,792000000.0,493000000.0,278000000.0
Assets Held For Sale Current,137000000.0,71000000.0,32000000.0
Prepaid Assets,543000000.0,771000000.0,521000000.0
Inventory,13260000000.0,13146000000.0,11896000000.0
Inventories Adjustments Allowances,-400000000.0,,-338000000.0
Finished Goods,7103000000.0,,6509000000.0
Raw Materials,6557000000.0,,5725000000.0
Other Receivables,1832000000.0,,1994000000.0
Taxes Receivable,1334000000.0,1380000000.0,1284000000.0
Accounts Receivable,9419000000.0,11673000000.0,9001000000.0
Allowance For Doubtful Accounts Receivable,-283000000.0,,-270000000.0
Gross Accounts Receivable,9702000000.0,,9271000000.0
Cash Cash Equivalents And Short Term Investments,7871000000.0,6394000000.0,5851000000.0
Other Short Term Investments,2315000000.0,1529000000.0,1035000000.0
Cash And Cash Equivalents,5556000000.0,4865000000.0,4816000000.0
Cash Equivalents,,,2501000000.0
Cash Financial,,,2315000000.0
