index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00
Free Cash Flow,357700000.0,-475100000.0,8839300000.0,534100000.0,385400000.0,,
Repurchase Of Capital Stock,-1485200000.0,-2592600000.0,0.0,0.0,-114900000.0,,
Repayment Of Debt,,,-24100000.0,-700000.0,-300000.0,-600000.0,-200000.0
Issuance Of Debt,,400000.0,22500000.0,0.0,0.0,0.0,
Issuance Of Capital Stock,36400000.0,38000000.0,32000000.0,31500000.0,31200000.0,,
Capital Expenditure,-988300000.0,-416500000.0,-705500000.0,-415800000.0,-538000000.0,,
End Cash Position,7243500000.0,9098400000.0,12735900000.0,4979300000.0,4813600000.0,,
Beginning Cash Position,9098400000.0,12735900000.0,4979300000.0,4813600000.0,5100800000.0,,
Effect Of Exchange Rate Changes,-10800000.0,-11800000.0,12100000.0,-4200000.0,-500000.0,,
Changes In Cash,-1844100000.0,-3625700000.0,7744500000.0,169900000.0,-286700000.0,,
Financing Cash Flow,-2202700000.0,-3151400000.0,-567400000.0,-565000000.0,-772300000.0,,
Cash Flow From Continuing Financing Activities,-2202700000.0,-3151400000.0,-567400000.0,-565000000.0,-772300000.0,,
Cash Dividends Paid,-714400000.0,-597200000.0,-597800000.0,-595800000.0,-688300000.0,,
Net Common Stock Issuance,-1448800000.0,-2554600000.0,32000000.0,31500000.0,-83700000.0,,
Common Stock Payments,-1485200000.0,-2592600000.0,0.0,0.0,-114900000.0,,
Common Stock Issuance,36400000.0,38000000.0,32000000.0,31500000.0,31200000.0,,
Net Issuance Payments Of Debt,-39500000.0,400000.0,-1600000.0,-700000.0,-300000.0,,
Net Long Term Debt Issuance,-39500000.0,400000.0,-1600000.0,-700000.0,-300000.0,,
Long Term Debt Payments,,,-24100000.0,-700000.0,-300000.0,-600000.0,-200000.0
Long Term Debt Issuance,,400000.0,22500000.0,0.0,0.0,0.0,
Investing Cash Flow,-987400000.0,-415700000.0,-1232900000.0,-215000000.0,-437800000.0,,
Cash Flow From Continuing Investing Activities,-987400000.0,-415700000.0,-1232900000.0,-215000000.0,-437800000.0,,
Net Other Investing Changes,900000.0,800000.0,-527400000.0,700000.0,300000.0,,
Net Investment Purchase And Sale,0.0,0.0,0.0,200100000.0,99900000.0,,
Sale Of Investment,,,900000.0,203900000.0,100400000.0,0.0,900000.0
Purchase Of Investment,0.0,0.0,-900000.0,-3800000.0,-500000.0,,
Net Business Purchase And Sale,,,0.0,0.0,,0.0,-6000000.0
Purchase Of Business,,,0.0,0.0,,0.0,-6000000.0
Net Intangibles Purchase And Sale,-573500000.0,-1500000.0,-1500000.0,-900000.0,-7000000.0,,
Purchase Of Intangibles,-573500000.0,-1500000.0,-1500000.0,-900000.0,-7000000.0,,
Net PPE Purchase And Sale,-414800000.0,-415000000.0,-704000000.0,-414900000.0,-531000000.0,,
Purchase Of PPE,-414800000.0,-415000000.0,-704000000.0,-414900000.0,-531000000.0,,
Operating Cash Flow,1346000000.0,-58600000.0,9544800000.0,949900000.0,923400000.0,,
Cash Flow From Continuing Operating Activities,1346000000.0,-58600000.0,9544800000.0,949900000.0,923400000.0,,
Change In Working Capital,-1888300000.0,-2800800000.0,6237000000.0,-1381600000.0,-1003100000.0,,
Stock Based Compensation,35100000.0,40000000.0,53000000.0,53300000.0,46500000.0,,
Provisionand Write Offof Assets,99700000.0,59600000.0,167700000.0,154800000.0,110700000.0,,
Asset Impairment Charge,16500000.0,2100000.0,11100000.0,6800000.0,13700000.0,,
Deferred Tax,122100000.0,79100000.0,-28300000.0,-114600000.0,800000.0,,
Deferred Income Tax,122100000.0,79100000.0,-28300000.0,-114600000.0,800000.0,,
Depreciation Amortization Depletion,375400000.0,241300000.0,241000000.0,235700000.0,227500000.0,,
Depreciation And Amortization,375400000.0,241300000.0,241000000.0,235700000.0,227500000.0,,
Operating Gains Losses,-90700000.0,-34900000.0,169900000.0,-81000000.0,-50600000.0,,
Earnings Losses From Equity Investments,-90700000.0,-34900000.0,169900000.0,-81000000.0,-50600000.0,,
Net Income From Continuing Operations,2676200000.0,2355000000.0,2693400000.0,2076500000.0,1577900000.0,,
