index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00
Free Cash Flow,-77474000000.0,433061000000.0,-456584000000.0,53507000000.0,-250485000000.0,,
Repurchase Of Capital Stock,,,0.0,-1820000000.0,-3631000000.0,-1650000000.0,-2843000000.0
Repayment Of Debt,-4424000000.0,-16000000.0,-106000000.0,-1149000000.0,60000000.0,,
Issuance Of Debt,,,,,,0.0,8410000000.0
Capital Expenditure,-743000000.0,-654000000.0,-458000000.0,-652000000.0,-698000000.0,,
End Cash Position,462138000000.0,554064000000.0,152240000000.0,601099000000.0,553818000000.0,,
Other Cash Adjustment Outside Changein Cash,0.0,1000000.0,,,,,
Beginning Cash Position,554064000000.0,152240000000.0,601099000000.0,553818000000.0,838606000000.0,,
Effect Of Exchange Rate Changes,7253000000.0,-20751000000.0,4579000000.0,-3014000000.0,-10842000000.0,,
Changes In Cash,-99179000000.0,422574000000.0,-453437000000.0,50294000000.0,-273946000000.0,,
Financing Cash Flow,-17814000000.0,-383000000.0,2423000000.0,-3531000000.0,-23515000000.0,,
Cash Flow From Continuing Financing Activities,,,,-3534000000.0,-23513000000.0,-4952000000.0,4529000000.0
Net Other Financing Charges,-490000000.0,-189000000.0,-10520000000.0,-401000000.0,4427000000.0,,
Interest Paid Cff,,,,,-254000000.0,-227000000.0,-743000000.0
Cash Dividends Paid,,,0.0,0.0,-24153000000.0,0.0,0.0
Common Stock Dividend Paid,,,0.0,0.0,,,0.0
Net Common Stock Issuance,,,0.0,-1820000000.0,-3631000000.0,-1650000000.0,-2843000000.0
Common Stock Payments,,,0.0,-1820000000.0,-3631000000.0,-1650000000.0,-2843000000.0
Net Issuance Payments Of Debt,9236000000.0,-16000000.0,13091000000.0,-1149000000.0,60000000.0,,
Net Long Term Debt Issuance,9236000000.0,-16000000.0,13091000000.0,-1149000000.0,60000000.0,,
Long Term Debt Payments,-4424000000.0,-16000000.0,-106000000.0,-1149000000.0,60000000.0,,
Long Term Debt Issuance,,,,,,0.0,8410000000.0
Investing Cash Flow,-4634000000.0,-10758000000.0,266000000.0,-334000000.0,-644000000.0,,
Cash Flow From Continuing Investing Activities,,,,-333000000.0,-644000000.0,-168000000.0,-1172000000.0
Net Other Investing Changes,,,2000000.0,,,,0.0
Dividends Received Cfi,,,0.0,17000000.0,55000000.0,684000000.0,0.0
Net Investment Purchase And Sale,-4473000000.0,-10920000000.0,-64000000.0,,,,-400000000.0
Sale Of Investment,,,0.0,,,,4000000.0
Purchase Of Investment,-4473000000.0,-10920000000.0,-64000000.0,,,,-404000000.0
Net Investment Properties Purchase And Sale,581000000.0,816000000.0,786000000.0,63000000.0,-1000000.0,,
Sale Of Investment Properties,581000000.0,816000000.0,797000000.0,64000000.0,0.0,,
Purchase Of Investment Properties,,,-11000000.0,-1000000.0,-1000000.0,-4000000.0,8000000.0
Net PPE Purchase And Sale,-743000000.0,-654000000.0,-458000000.0,-652000000.0,-698000000.0,,
Operating Cash Flow,-76731000000.0,433715000000.0,-456126000000.0,54159000000.0,-249787000000.0,,
Cash Flowsfromusedin Operating Activities Direct,-76731000000.0,433715000000.0,-456126000000.0,54159000000.0,-249787000000.0,,
Classesof Cash Payments,-391672000000.0,-608436000000.0,-622958000000.0,-430068000000.0,-326060000000.0,,
Other Cash Paymentsfrom Operating Activities,-410556000000.0,-486996000000.0,-385859000000.0,-354866000000.0,-286238000000.0,,
Classesof Cash Receiptsfrom Operating Activities,314941000000.0,1042151000000.0,166832000000.0,484227000000.0,76273000000.0,,
Other Cash Receiptsfrom Operating Activities,4872000000.0,6236000000.0,5871000000.0,5230000000.0,5283000000.0,,
