index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00
Free Cash Flow,4225000000.0,-1242000000.0,1529000000.0,-1889000000.0,-2299000000.0,,
Repurchase Of Capital Stock,,0.0,,,,-39000000.0,
Capital Expenditure,-120000000.0,-86000000.0,-358000000.0,-215000000.0,-114000000.0,,
End Cash Position,27652000000.0,23940000000.0,25129000000.0,23972000000.0,26231000000.0,,
Beginning Cash Position,23940000000.0,25129000000.0,23972000000.0,26231000000.0,29425000000.0,,
Effect Of Exchange Rate Changes,-67000000.0,68000000.0,-49000000.0,-15000000.0,13000000.0,,
Changes In Cash,3778000000.0,-1257000000.0,1207000000.0,-2245000000.0,-3206000000.0,,
Financing Cash Flow,-326000000.0,-7000000.0,-254000000.0,-351000000.0,-897000000.0,,
Net Other Financing Charges,0.0,1000000.0,-1000000.0,1000000.0,50000000.0,,
Cash Dividends Paid,,,-73000000.0,0.0,,,-42000000.0
Common Stock Dividend Paid,,,-73000000.0,0.0,,,-42000000.0
Net Common Stock Issuance,994000000.0,0.0,-180000000.0,-344000000.0,308000000.0,,
Common Stock Payments,,0.0,,,,-39000000.0,
Investing Cash Flow,-241000000.0,-94000000.0,-426000000.0,-220000000.0,-124000000.0,,
Net Other Investing Changes,0.0,-1000000.0,,,,,
Net Investment Purchase And Sale,0.0,0.0,0.0,0.0,0.0,,
Sale Of Investment,0.0,0.0,0.0,0.0,0.0,,
Purchase Of Investment,0.0,0.0,,0.0,0.0,0.0,
Net Investment Properties Purchase And Sale,-133000000.0,-11000000.0,-17000000.0,-15000000.0,-20000000.0,,
Sale Of Investment Properties,5000000.0,3000000.0,7000000.0,2000000.0,1000000.0,,
Purchase Of Investment Properties,-138000000.0,-14000000.0,-24000000.0,-17000000.0,-21000000.0,,
Net Business Purchase And Sale,-7000000.0,-12000000.0,-64000000.0,4000000.0,4000000.0,,
Sale Of Business,,,,,,,-1000000.0
Purchase Of Business,-9000000.0,-12000000.0,-92000000.0,4000000.0,4000000.0,,
Net PPE Purchase And Sale,-101000000.0,-70000000.0,-343000000.0,-209000000.0,-108000000.0,,
Sale Of PPE,19000000.0,16000000.0,15000000.0,6000000.0,6000000.0,,
Purchase Of PPE,-120000000.0,-86000000.0,-358000000.0,-215000000.0,-114000000.0,,
Operating Cash Flow,4345000000.0,-1156000000.0,1887000000.0,-1674000000.0,-2185000000.0,,
Change In Working Capital,2565000000.0,-2671000000.0,947000000.0,-3779000000.0,-3607000000.0,,
Change In Other Current Liabilities,-48000000.0,328000000.0,-61000000.0,-97000000.0,-1021000000.0,,
Change In Other Current Assets,-63000000.0,-268000000.0,-292000000.0,214000000.0,110000000.0,,
Change In Receivables,-67000000.0,-12000000.0,-27000000.0,-22000000.0,-135000000.0,,
Other Non Cash Items,-35000000.0,-6000000.0,28000000.0,34000000.0,45000000.0,,
Provisionand Write Offof Assets,112000000.0,141000000.0,215000000.0,95000000.0,26000000.0,,
Depreciation And Amortization,131000000.0,135000000.0,156000000.0,132000000.0,132000000.0,,
Depreciation,131000000.0,135000000.0,156000000.0,132000000.0,132000000.0,,
Gain Loss On Investment Securities,459000000.0,306000000.0,-235000000.0,737000000.0,185000000.0,,
Net Income From Continuing Operations,1113000000.0,940000000.0,776000000.0,1108000000.0,1034000000.0,,
