index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2023-12-31 00:00:00
Free Cash Flow,-354914000.0,-435348000.0,1096939000.0,-652205000.0,-938057000.0,
Repayment Of Debt,-950113000.0,-802847000.0,-166028000.0,-1185589000.0,-375570000.0,
Issuance Of Debt,1539952000.0,921623000.0,410713000.0,1620481000.0,1711620000.0,
Capital Expenditure,-842659000.0,-1278418000.0,-1392533000.0,-1320868000.0,-1362931000.0,
End Cash Position,2334139000.0,3148085000.0,3631284000.0,1881496000.0,1880546000.0,
Other Cash Adjustment Outside Changein Cash,-6760000.0,-8560000.0,-10487000.0,-141000.0,1078000.0,
Beginning Cash Position,3148085000.0,3631284000.0,1881496000.0,1880546000.0,2333112000.0,
Effect Of Exchange Rate Changes,-67516000.0,14386000.0,-7003000.0,-63040000.0,-54770000.0,
Changes In Cash,-739670000.0,-489025000.0,1767278000.0,64131000.0,-398874000.0,
Financing Cash Flow,-652833000.0,-94059000.0,654744000.0,337514000.0,216950000.0,
Net Other Financing Charges,35976000.0,74326000.0,615690000.0,119619000.0,77844000.0,
Interest Paid Cff,-348614000.0,-163461000.0,-123178000.0,-168003000.0,-295615000.0,
Cash Dividends Paid,,,0.0,0.0,,0.0
Net Common Stock Issuance,-66429000.0,-82053000.0,-13049000.0,-13715000.0,-23136000.0,
Net Issuance Payments Of Debt,589839000.0,118776000.0,244685000.0,434892000.0,1336050000.0,
Net Long Term Debt Issuance,589839000.0,118776000.0,244685000.0,434892000.0,1336050000.0,
Long Term Debt Payments,-950113000.0,-802847000.0,-166028000.0,-1185589000.0,-375570000.0,
Long Term Debt Issuance,1539952000.0,921623000.0,410713000.0,1620481000.0,1711620000.0,
Investing Cash Flow,-574582000.0,-1238036000.0,-1376938000.0,-942046000.0,-1040698000.0,
Net Other Investing Changes,137493000.0,-3849000.0,,,,-5618000.0
Interest Received Cfi,56476000.0,41007000.0,46344000.0,24530000.0,40489000.0,
Dividends Received Cfi,23080000.0,10941000.0,74727000.0,32396000.0,14666000.0,
Net Investment Purchase And Sale,-111139000.0,-11736000.0,-29215000.0,156192000.0,-14059000.0,
Sale Of Investment,-126292000.0,126292000.0,33548000.0,149956000.0,-7233000.0,
Purchase Of Investment,15153000.0,-138028000.0,-62763000.0,6236000.0,-6826000.0,
Net Business Purchase And Sale,185658000.0,-8000.0,34663000.0,144591000.0,139465000.0,
Sale Of Business,185656000.0,0.0,35610000.0,154140000.0,140786000.0,
Purchase Of Business,2000.0,-8000.0,-947000.0,-9549000.0,-1321000.0,
Net PPE Purchase And Sale,-830742000.0,-1254232000.0,-1212395000.0,-1321076000.0,-1355184000.0,
Sale Of PPE,11917000.0,24186000.0,180138000.0,-208000.0,7747000.0,
Purchase Of PPE,-842659000.0,-1278418000.0,-1392533000.0,-1320868000.0,-1362931000.0,
Operating Cash Flow,487745000.0,843070000.0,2489472000.0,668663000.0,424874000.0,
Taxes Refund Paid,-42873000.0,-50787000.0,31891000.0,-263640000.0,-116318000.0,
Change In Working Capital,-621591000.0,-485954000.0,1425720000.0,241481000.0,-872944000.0,
Change In Other Current Assets,-714820000.0,-326743000.0,956696000.0,276983000.0,-671042000.0,
Change In Payable,-134716000.0,-127489000.0,417635000.0,-34696000.0,-114907000.0,
Change In Receivables,338477000.0,-55225000.0,51259000.0,-17967000.0,27707000.0,
Other Non Cash Items,254403000.0,262458000.0,281242000.0,240245000.0,239604000.0,
Provisionand Write Offof Assets,6824000.0,-5494000.0,160057000.0,2178000.0,2309000.0,
Depreciation And Amortization,484342000.0,480713000.0,1090612000.0,440602000.0,427218000.0,
Amortization Cash Flow,484342000.0,480713000.0,-700846000.0,440602000.0,427218000.0,
Gain Loss On Investment Securities,1621000.0,17868000.0,-69059000.0,-1129000.0,-84936000.0,
Net Foreign Currency Exchange Gain Loss,5453000.0,-16737000.0,58272000.0,3162000.0,92780000.0,
Net Income From Continuing Operations,437467000.0,708470000.0,-561585000.0,570049000.0,694754000.0,
