index,2025-03-31 00:00:00
Free Cash Flow,445600000.0
Repayment Of Debt,-163700000.0
Issuance Of Debt,106800000.0
Issuance Of Capital Stock,3100000.0
Capital Expenditure,-103000000.0
Interest Paid Supplemental Data,13400000.0
Income Tax Paid Supplemental Data,90400000.0
End Cash Position,260200000.0
Beginning Cash Position,80900000.0
Effect Of Exchange Rate Changes,1900000.0
Changes In Cash,177400000.0
Financing Cash Flow,-268200000.0
Cash Flow From Continuing Financing Activities,-268200000.0
Net Other Financing Charges,-18500000.0
Cash Dividends Paid,-195900000.0
Common Stock Dividend Paid,-195900000.0
Net Common Stock Issuance,3100000.0
Common Stock Issuance,3100000.0
Net Issuance Payments Of Debt,-56900000.0
Net Long Term Debt Issuance,-56900000.0
Long Term Debt Payments,-163700000.0
Long Term Debt Issuance,106800000.0
Investing Cash Flow,-103000000.0
Cash Flow From Continuing Investing Activities,-103000000.0
Net Intangibles Purchase And Sale,-29400000.0
Purchase Of Intangibles,-29400000.0
Net PPE Purchase And Sale,-73600000.0
Purchase Of PPE,-73600000.0
Cash Flowsfromusedin Operating Activities Direct,548600000.0
Taxes Refund Paid Direct,-90400000.0
Interest Received Direct,3900000.0
Interest Paid Direct,-13400000.0
Classesof Cash Payments,-1341500000.0
Paymentsto Suppliersfor Goodsand Services,-1341500000.0
Classesof Cash Receiptsfrom Operating Activities,1990000000.0
Receiptsfrom Customers,1990000000.0
