index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2023-12-31 00:00:00
Free Cash Flow,29547000000.0,-251839000000.0,147758000000.0,-74081000000.0,38469000000.0,
Repurchase Of Capital Stock,-7506000000.0,-10528000000.0,-5901000000.0,-8611000000.0,-11336000000.0,
Repayment Of Debt,-22364000000.0,-28457000000.0,-29225000000.0,-20670000000.0,-25457000000.0,
Issuance Of Debt,23957000000.0,29927000000.0,30966000000.0,24846000000.0,24716000000.0,
Issuance Of Capital Stock,0.0,3000000000.0,0.0,0.0,0.0,
Interest Paid Supplemental Data,24350000000.0,23587000000.0,24848000000.0,26268000000.0,25662000000.0,
Income Tax Paid Supplemental Data,3034000000.0,1651000000.0,2845000000.0,1260000000.0,6025000000.0,
End Cash Position,420327000000.0,425903000000.0,469317000000.0,434260000000.0,530819000000.0,
Beginning Cash Position,425903000000.0,469317000000.0,434260000000.0,530819000000.0,562116000000.0,
Effect Of Exchange Rate Changes,15133000000.0,8442000000.0,-14616000000.0,10181000000.0,-2765000000.0,
Changes In Cash,-20709000000.0,-51856000000.0,49673000000.0,-106740000000.0,-28532000000.0,
Financing Cash Flow,122804000000.0,318059000000.0,-115705000000.0,10746000000.0,27238000000.0,
Cash Flow From Continuing Financing Activities,122804000000.0,318059000000.0,-115705000000.0,10746000000.0,27238000000.0,
Net Other Financing Charges,2245000000.0,-4110000000.0,1663000000.0,-2141000000.0,-715000000.0,
Cash Dividends Paid,-4205000000.0,-3823000000.0,-3858000000.0,-3655000000.0,-3777000000.0,
Net Preferred Stock Issuance,0.0,0.0,-1600000000.0,-2250000000.0,-6000000000.0,
Preferred Stock Payments,0.0,-3000000000.0,-1600000000.0,-2250000000.0,-6000000000.0,
Preferred Stock Issuance,0.0,3000000000.0,0.0,0.0,0.0,
Net Common Stock Issuance,-7506000000.0,-7528000000.0,-4301000000.0,-6361000000.0,-5336000000.0,
Common Stock Payments,-7506000000.0,-7528000000.0,-4301000000.0,-6361000000.0,-5336000000.0,
Net Issuance Payments Of Debt,1548000000.0,12287000000.0,3825000000.0,7227000000.0,120000000.0,
Net Short Term Debt Issuance,-45000000.0,10817000000.0,2084000000.0,3051000000.0,861000000.0,
Net Long Term Debt Issuance,1593000000.0,1470000000.0,1741000000.0,4176000000.0,-741000000.0,
Long Term Debt Payments,-22364000000.0,-28457000000.0,-29225000000.0,-20670000000.0,-25457000000.0,
Long Term Debt Issuance,23957000000.0,29927000000.0,30966000000.0,24846000000.0,24716000000.0,
Investing Cash Flow,-173060000000.0,-118076000000.0,17620000000.0,-43405000000.0,-94239000000.0,
Cash Flow From Continuing Investing Activities,-173060000000.0,-118076000000.0,17620000000.0,-43405000000.0,-94239000000.0,
Net Other Investing Changes,-2729000000.0,-1971000000.0,-3355000000.0,1896000000.0,276000000.0,
Net Investment Purchase And Sale,-76242000000.0,22548000000.0,-58670000000.0,-33751000000.0,-20094000000.0,
Sale Of Investment,43702000000.0,77897000000.0,63330000000.0,54404000000.0,50428000000.0,
Purchase Of Investment,-119944000000.0,-55349000000.0,-122000000000.0,-88155000000.0,-70522000000.0,
Net Business Purchase And Sale,,,0.0,0.0,,0.0
Operating Cash Flow,29547000000.0,-251839000000.0,147758000000.0,-74081000000.0,38469000000.0,
Cash Flow From Continuing Operating Activities,29547000000.0,-251839000000.0,147758000000.0,-74081000000.0,38469000000.0,
Change In Working Capital,12573000000.0,-269523000000.0,121291000000.0,-89281000000.0,23373000000.0,
Change In Other Working Capital,41018000000.0,-261307000000.0,123734000000.0,-99644000000.0,31758000000.0,
Change In Other Current Assets,-12626000000.0,7578000000.0,-6180000000.0,-6933000000.0,-3943000000.0,
Change In Payables And Accrued Expense,-9036000000.0,1276000000.0,-17489000000.0,4236000000.0,1552000000.0,
Change In Payable,-9036000000.0,1276000000.0,-17489000000.0,4236000000.0,1552000000.0,
Change In Account Payable,-9036000000.0,1276000000.0,-17489000000.0,4236000000.0,1552000000.0,
Change In Receivables,-6783000000.0,-17070000000.0,21226000000.0,13060000000.0,-5994000000.0,
Changes In Account Receivables,-6783000000.0,-17070000000.0,21226000000.0,13060000000.0,-5994000000.0,
Other Non Cash Items,-2130000000.0,-2818000000.0,5619000000.0,-4142000000.0,503000000.0,
Deferred Tax,-942000000.0,524000000.0,2247000000.0,1366000000.0,-620000000.0,
Deferred Income Tax,-942000000.0,524000000.0,2247000000.0,1366000000.0,-620000000.0,
Depreciation Amortization Depletion,2210000000.0,2030000000.0,1965000000.0,1967000000.0,2002000000.0,
Depreciation And Amortization,2210000000.0,2030000000.0,1965000000.0,1967000000.0,2002000000.0,
Operating Gains Losses,,,0.0,0.0,,37000000.0
Gain Loss On Investment Securities,,,0.0,0.0,,
Gain Loss On Sale Of Business,,,,,,37000000.0
Net Income From Continuing Operations,14987000000.0,14643000000.0,14005000000.0,12898000000.0,18149000000.0,
