index,2025-07-31 00:00:00,2025-04-30 00:00:00,2025-01-31 00:00:00,2024-10-31 00:00:00,2024-07-31 00:00:00,2024-04-30 00:00:00
Free Cash Flow,28470000000.0,9368000000.0,30473000000.0,16495000000.0,22502000000.0,
Repurchase Of Capital Stock,-4637000000.0,-2635000000.0,-2487000000.0,-2100000000.0,-2899000000.0,
Repayment Of Debt,-1418000000.0,-171000000.0,-1654000000.0,-461000000.0,-1500000000.0,
Issuance Of Debt,1491000000.0,0.0,1500000000.0,0.0,1385000000.0,
Issuance Of Capital Stock,4939000000.0,2047000000.0,3511000000.0,1742000000.0,2818000000.0,
Capital Expenditure,-530000000.0,-483000000.0,-681000000.0,-671000000.0,-717000000.0,
Interest Paid Supplemental Data,17891000000.0,16367000000.0,19477000000.0,17559000000.0,20372000000.0,
Income Tax Paid Supplemental Data,1203000000.0,1468000000.0,1242000000.0,567000000.0,767000000.0,
End Cash Position,34927000000.0,48621000000.0,71200000000.0,56723000000.0,55230000000.0,
Beginning Cash Position,48621000000.0,71200000000.0,56723000000.0,55230000000.0,61373000000.0,
Effect Of Exchange Rate Changes,-819000000.0,396000000.0,664000000.0,283000000.0,1250000000.0,
Changes In Cash,-12875000000.0,-22975000000.0,13813000000.0,1210000000.0,-7393000000.0,
Financing Cash Flow,-3904000000.0,-915000000.0,-1231000000.0,-2935000000.0,-2906000000.0,
Cash Flow From Continuing Financing Activities,-3904000000.0,-915000000.0,-1231000000.0,-2935000000.0,-2906000000.0,
Net Other Financing Charges,-12000000.0,-14000000.0,,-1000000.0,-2000000.0,-2000000.0
Cash Dividends Paid,-2199000000.0,-2210000000.0,-2101000000.0,-2115000000.0,-2020000000.0,
Net Preferred Stock Issuance,1098000000.0,0.0,1386000000.0,-500000000.0,96000000.0,
Preferred Stock Payments,-600000000.0,0.0,0.0,-500000000.0,-500000000.0,
Preferred Stock Issuance,1698000000.0,0.0,1386000000.0,0.0,596000000.0,
Net Common Stock Issuance,-796000000.0,-588000000.0,-362000000.0,142000000.0,-177000000.0,
Common Stock Payments,-4037000000.0,-2635000000.0,-2487000000.0,-1600000000.0,-2399000000.0,
Common Stock Issuance,3241000000.0,2047000000.0,2125000000.0,1742000000.0,2222000000.0,
Net Issuance Payments Of Debt,-1995000000.0,1897000000.0,-154000000.0,-461000000.0,-803000000.0,
Net Short Term Debt Issuance,-2068000000.0,2068000000.0,0.0,0.0,-688000000.0,
Net Long Term Debt Issuance,73000000.0,-171000000.0,-154000000.0,-461000000.0,-115000000.0,
Long Term Debt Payments,-1418000000.0,-171000000.0,-1654000000.0,-461000000.0,-1500000000.0,
Long Term Debt Issuance,1491000000.0,0.0,1500000000.0,0.0,1385000000.0,
Investing Cash Flow,-37971000000.0,-31911000000.0,-16110000000.0,-13021000000.0,-27706000000.0,
Cash Flow From Continuing Investing Activities,-37971000000.0,-31911000000.0,-16110000000.0,-13021000000.0,-27706000000.0,
Net Investment Purchase And Sale,-30587000000.0,-13382000000.0,-33525000000.0,-3739000000.0,-8044000000.0,
Sale Of Investment,49363000000.0,53100000000.0,57018000000.0,35010000000.0,38794000000.0,
Purchase Of Investment,-79950000000.0,-66482000000.0,-90543000000.0,-38749000000.0,-46838000000.0,
Net Business Purchase And Sale,0.0,0.0,0.0,0.0,5000000.0,
Sale Of Business,0.0,0.0,0.0,0.0,5000000.0,
Purchase Of Business,0.0,0.0,,0.0,0.0,-12716000000.0
Net PPE Purchase And Sale,-530000000.0,-483000000.0,-681000000.0,-671000000.0,-717000000.0,
Purchase Of PPE,-530000000.0,-483000000.0,-681000000.0,-671000000.0,-717000000.0,
Operating Cash Flow,29000000000.0,9851000000.0,31154000000.0,17166000000.0,23219000000.0,
Cash Flow From Continuing Operating Activities,29000000000.0,9851000000.0,31154000000.0,17166000000.0,23219000000.0,
Change In Working Capital,21853000000.0,3578000000.0,24245000000.0,11208000000.0,18024000000.0,
Change In Other Working Capital,19632000000.0,20772000000.0,10405000000.0,45612000000.0,28317000000.0,
Deferred Tax,127000000.0,-260000000.0,28000000.0,99000000.0,-776000000.0,
Deferred Income Tax,127000000.0,-260000000.0,28000000.0,99000000.0,-776000000.0,
Depreciation Amortization Depletion,768000000.0,780000000.0,774000000.0,821000000.0,763000000.0,
Depreciation And Amortization,768000000.0,780000000.0,774000000.0,821000000.0,763000000.0,
Amortization Cash Flow,450000000.0,459000000.0,451000000.0,448000000.0,430000000.0,
Amortization Of Intangibles,450000000.0,459000000.0,451000000.0,448000000.0,430000000.0,
Depreciation,318000000.0,321000000.0,323000000.0,373000000.0,333000000.0,
Operating Gains Losses,-43000000.0,-61000000.0,-74000000.0,-24000000.0,63000000.0,
Earnings Losses From Equity Investments,-25000000.0,-16000000.0,-19000000.0,-11000000.0,57000000.0,
Gain Loss On Investment Securities,-18000000.0,-45000000.0,-55000000.0,-13000000.0,-28000000.0,
Gain Loss On Sale Of Business,0.0,0.0,0.0,0.0,34000000.0,
Net Income From Continuing Operations,5414000000.0,4390000000.0,5131000000.0,4222000000.0,4486000000.0,
