Date,Dividends
2007-10-01 00:00:00+02:00,2.649351
2008-04-07 00:00:00+02:00,0.275974
2009-03-30 00:00:00+02:00,0.25974
2010-03-26 00:00:00+01:00,0.220779
2011-04-26 00:00:00+02:00,0.441558
2012-04-27 00:00:00+02:00,0.597403
2013-04-26 00:00:00+02:00,0.53
2014-04-25 00:00:00+02:00,0.61
2015-04-24 00:00:00+02:00,0.7
2016-05-03 00:00:00+02:00,1.05
2017-04-28 00:00:00+02:00,1.2
2018-04-27 00:00:00+02:00,1.4
2019-04-26 00:00:00+02:00,2.1
2019-11-04 00:00:00+01:00,1.05
2020-04-24 00:00:00+02:00,1.35
2020-11-02 00:00:00+01:00,1.2
2021-05-03 00:00:00+02:00,1.55
2021-11-02 00:00:00+01:00,1.8
2022-05-03 00:00:00+02:00,3.7
2022-08-04 00:00:00+02:00,1.37
2022-11-03 00:00:00+01:00,1.37
2023-02-06 00:00:00+01:00,1.37
2023-04-28 00:00:00+02:00,1.69
2023-08-01 00:00:00+02:00,1.45
2023-11-01 00:00:00+01:00,1.45
2024-02-05 00:00:00+01:00,1.45
2024-04-26 00:00:00+02:00,1.75
2024-07-29 00:00:00+02:00,1.52
2024-10-29 00:00:00+01:00,1.52
2025-02-10 00:00:00+01:00,1.52
2025-04-25 00:00:00+02:00,1.84
2025-07-28 00:00:00+02:00,1.6
