Date,Dividends
2004-04-30 00:00:00+02:00,2.08907
2005-04-22 00:00:00+02:00,2.421422
2006-04-26 00:00:00+02:00,3.323521
2007-04-25 00:00:00+02:00,3.79831
2008-05-02 00:00:00+02:00,4.273098
2010-04-28 00:00:00+02:00,1.75
2011-04-29 00:00:00+02:00,4.0
2012-04-26 00:00:00+02:00,2.0
2013-05-02 00:00:00+02:00,2.1
2014-04-25 00:00:00+02:00,2.7
2015-04-24 00:00:00+02:00,3.8
2016-04-27 00:00:00+02:00,4.5
2017-04-26 00:00:00+02:00,5.7
2018-04-25 00:00:00+02:00,7.1
2019-05-02 00:00:00+02:00,8.25
2021-02-24 00:00:00+01:00,8.4
2021-10-28 00:00:00+02:00,9.0
2022-04-27 00:00:00+02:00,9.75
2023-04-26 00:00:00+02:00,12.5
2024-04-30 00:00:00+02:00,16.0
2025-04-30 00:00:00+02:00,16.75
