Date,Dividends
2007-06-21 00:00:00+12:00,0.07
2007-12-06 00:00:00+13:00,0.054
2008-06-19 00:00:00+12:00,0.07
2008-12-04 00:00:00+13:00,0.054
2009-06-22 00:00:00+12:00,0.07
2009-12-10 00:00:00+13:00,0.054
2010-06-28 00:00:00+12:00,0.07
2010-12-01 00:00:00+13:00,0.054
2011-06-22 00:00:00+12:00,0.07
2011-11-30 00:00:00+13:00,0.054
2012-06-20 00:00:00+12:00,0.07
2012-11-29 00:00:00+13:00,0.075
2013-06-17 00:00:00+12:00,0.07
2013-12-04 00:00:00+13:00,0.054
2014-06-18 00:00:00+12:00,0.07
2014-12-03 00:00:00+13:00,0.058
2015-06-17 00:00:00+12:00,0.08
2015-12-09 00:00:00+13:00,0.067
2016-06-16 00:00:00+12:00,0.1
2016-12-06 00:00:00+13:00,0.0825
2017-06-15 00:00:00+12:00,0.1125
2017-12-05 00:00:00+13:00,0.0875
2018-06-21 00:00:00+12:00,0.125
2018-12-07 00:00:00+13:00,0.0975
2019-06-13 00:00:00+12:00,0.135
2019-12-06 00:00:00+13:00,0.12
2020-07-06 00:00:00+12:00,0.155
2020-12-03 00:00:00+13:00,0.16
2021-06-24 00:00:00+12:00,0.22
2021-12-02 00:00:00+13:00,0.17
2022-06-22 00:00:00+12:00,0.264706
2022-12-08 00:00:00+13:00,0.175
2023-06-26 00:00:00+12:00,0.23
2023-12-05 00:00:00+13:00,0.18
2024-06-26 00:00:00+12:00,0.235
2024-12-05 00:00:00+13:00,0.185
2025-06-23 00:00:00+12:00,0.24
