Date,Dividends
2000-06-09 00:00:00+02:00,0.66203
2001-05-07 00:00:00+02:00,0.790483
2002-05-31 00:00:00+02:00,0.642268
2003-05-20 00:00:00+02:00,0.494052
2004-05-10 00:00:00+02:00,0.815186
2005-05-17 00:00:00+02:00,0.889294
2006-05-09 00:00:00+02:00,1.111617
2007-02-22 00:00:00+01:00,0.11794442
2007-05-02 00:00:00+02:00,1.5
2008-04-25 00:00:00+02:00,1.65
2009-05-04 00:00:00+02:00,1.725
2010-05-04 00:00:00+02:00,1.025
2011-04-29 00:00:00+02:00,1.6
2012-05-11 00:00:00+02:00,1.7
2013-05-02 00:00:00+02:00,1.87
2014-05-14 00:00:00+02:00,1.87
2015-04-30 00:00:00+02:00,0.56
2016-05-05 00:00:00+02:00,2.0
2017-05-08 00:00:00+02:00,2.04
2018-05-02 00:00:00+02:00,2.2
2019-04-30 00:00:00+02:00,2.35
2020-05-05 00:00:00+02:00,2.55
2021-05-10 00:00:00+02:00,2.6
2022-05-17 00:00:00+02:00,2.9
2023-05-09 00:00:00+02:00,3.15
2024-05-28 00:00:00+02:00,3.5
2025-05-13 00:00:00+02:00,3.9
