index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00
Tax Effect Of Unusual Items,-5799556.947521,800058.763038,-18990175.491225,1000000.0,-2600192.535545,,
Tax Rate For Calcs,0.199985,0.200015,0.057372,0.2,0.200015,,
Total Unusual Items,-29000000.0,4000000.0,-331000000.0,5000000.0,-13000000.0,,
Total Unusual Items Excluding Goodwill,-29000000.0,4000000.0,-331000000.0,5000000.0,-13000000.0,,
Net Income From Continuing Operation Net Minority Interest,10480000000.0,10885000000.0,12541000000.0,12201000000.0,10797000000.0,,
Reconciled Depreciation,972000000.0,886000000.0,910000000.0,910000000.0,898000000.0,,
Net Interest Income,16152000000.0,16411000000.0,16720000000.0,16128000000.0,15816000000.0,,
Interest Expense,31375000000.0,30415000000.0,31214000000.0,31987000000.0,33348000000.0,,
Interest Income,47527000000.0,46826000000.0,47934000000.0,48115000000.0,49164000000.0,,
Normalized Income,10503200443.052479,10881800058.763039,12853009824.508776,12197000000.0,10807399807.464455,,
Net Income From Continuing And Discontinued Operation,10449000000.0,10842000000.0,12647000000.0,12161000000.0,10760000000.0,,
Diluted Average Shares,1480430000.0,1482680000.0,1482680000.0,1484888000.0,1502776000.0,,
Basic Average Shares,1480430000.0,1482680000.0,1482680000.0,1484888000.0,1502776000.0,,
Diluted EPS,6.79,7.04,8.21,7.83,6.83,,
Basic EPS,6.79,7.04,8.21,7.83,6.83,,
Diluted NI Availto Com Stockholders,10049000000.0,10434000000.0,12178000000.0,11632000000.0,10271000000.0,,
Net Income Common Stockholders,10049000000.0,10434000000.0,12178000000.0,11632000000.0,10271000000.0,,
Otherunder Preferred Stock Dividend,400000000.0,408000000.0,469000000.0,529000000.0,489000000.0,,
Net Income,10449000000.0,10842000000.0,12647000000.0,12161000000.0,10760000000.0,,
Minority Interests,7000000.0,-6000000.0,-28000000.0,1000000.0,-6000000.0,,
Net Income Including Noncontrolling Interests,10442000000.0,10848000000.0,12675000000.0,12160000000.0,10766000000.0,,
Net Income Discontinuous Operations,-31000000.0,-43000000.0,106000000.0,-40000000.0,-37000000.0,,
Net Income Continuous Operations,10473000000.0,10891000000.0,12569000000.0,12200000000.0,10803000000.0,,
Tax Provision,2618000000.0,2723000000.0,765000000.0,3050000000.0,2701000000.0,,
Pretax Income,13091000000.0,13614000000.0,13334000000.0,15250000000.0,13504000000.0,,
Special Income Charges,-27000000.0,-5000000.0,-433000000.0,0.0,-6000000.0,,
Other Special Charges,-3000000.0,-18000000.0,-2000000.0,,3000000.0,2000000.0,
Impairment Of Capital Assets,,,8000000.0,,,-32000000.0,49000000.0
Restructuring And Mergern Acquisition,30000000.0,23000000.0,427000000.0,0.0,3000000.0,,
Gain On Sale Of Security,528000000.0,1224000000.0,41000000.0,1715000000.0,1005000000.0,,
Operating Expense,8695000000.0,7882000000.0,7899000000.0,7433000000.0,7503000000.0,,
Other Operating Expenses,2142000000.0,2062000000.0,1958000000.0,1787000000.0,1907000000.0,,
Depreciation Amortization Depletion Income Statement,,,,910000000.0,898000000.0,908000000.0,977000000.0
Depreciation And Amortization In Income Statement,972000000.0,886000000.0,910000000.0,910000000.0,898000000.0,,
Depreciation Income Statement,972000000.0,886000000.0,910000000.0,910000000.0,898000000.0,,
Selling General And Administration,259000000.0,222000000.0,227000000.0,209000000.0,272000000.0,,
Selling And Marketing Expense,259000000.0,222000000.0,227000000.0,209000000.0,272000000.0,,
General And Administrative Expense,,,,4415000000.0,4334000000.0,4268000000.0,4445000000.0
Rent And Landing Fees,135000000.0,119000000.0,109000000.0,112000000.0,92000000.0,,
Salaries And Wages,,,,4415000000.0,4334000000.0,4268000000.0,4445000000.0
Total Revenue,22097000000.0,21888000000.0,21463000000.0,21832000000.0,21313000000.0,,
Operating Revenue,22097000000.0,21888000000.0,21463000000.0,21832000000.0,21313000000.0,,
Occupancy And Equipment,,,,112000000.0,92000000.0,114000000.0,92000000.0
Other Non Interest Expense,,,,1787000000.0,1907000000.0,1813000000.0,1907000000.0
