index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00
Tax Effect Of Unusual Items,0.0,820000.0,0.0,0.0,0.0,,
Tax Rate For Calcs,0.205,0.205,0.232443,0.205,0.21,,
Total Unusual Items,,4000000.0,,,,5000000.0,-70500000.0
Total Unusual Items Excluding Goodwill,,4000000.0,,,,5000000.0,-70500000.0
Net Income From Continuing Operation Net Minority Interest,921000000.0,743000000.0,609000000.0,886000000.0,846000000.0,,
Reconciled Depreciation,131000000.0,135000000.0,156000000.0,132000000.0,132000000.0,,
Net Interest Income,1914000000.0,1871000000.0,1938000000.0,1902000000.0,1835000000.0,,
Interest Expense,,2447000000.0,,2813000000.0,,3195000000.0,3217600000.0
Interest Income,1914000000.0,4318000000.0,1938000000.0,4715000000.0,1835000000.0,,
Normalized Income,921000000.0,739820000.0,609000000.0,886000000.0,846000000.0,,
Net Income From Continuing And Discontinued Operation,921000000.0,743000000.0,609000000.0,886000000.0,846000000.0,,
Diluted Average Shares,388126224.0,409095449.0,388126224.0,390950505.0,398524748.0,,
Basic Average Shares,388126224.0,408934690.0,388126224.0,390950505.0,398524748.0,,
Diluted EPS,2.372939,1.82,1.569077,2.266272,2.122829,,
Basic EPS,2.372939,1.82,1.569077,2.266272,2.122829,,
Diluted NI Availto Com Stockholders,921000000.0,743000000.0,609000000.0,886000000.0,846000000.0,,
Net Income Common Stockholders,921000000.0,743000000.0,609000000.0,886000000.0,846000000.0,,
Otherunder Preferred Stock Dividend,,,,,,,40310000.0
Net Income,921000000.0,743000000.0,609000000.0,886000000.0,846000000.0,,
Minority Interests,-192000000.0,-197000000.0,-166000000.0,-222000000.0,-187000000.0,,
Net Income Including Noncontrolling Interests,1113000000.0,940000000.0,776000000.0,1108000000.0,1033000000.0,,
Net Income Continuous Operations,1113000000.0,940000000.0,776000000.0,1108000000.0,1033000000.0,,
Tax Provision,287000000.0,242000000.0,235000000.0,286000000.0,275000000.0,,
Pretax Income,1400000000.0,1182000000.0,1011000000.0,1394000000.0,1308000000.0,,
Special Income Charges,,4000000.0,,,,5000000.0,-70500000.0
Other Special Charges,,-4000000.0,,,,-5000000.0,61500000.0
Gain On Sale Of Security,2000000.0,44000000.0,-79000000.0,-203000000.0,80000000.0,,
Operating Expense,1360000000.0,1533000000.0,1594000000.0,1297000000.0,1396000000.0,,
Other Operating Expenses,-1000000.0,188000000.0,125000000.0,35000000.0,131000000.0,,
Depreciation And Amortization In Income Statement,138000000.0,136000000.0,142000000.0,136000000.0,135000000.0,,
Amortization,,44000000.0,,,,45000000.0,51000000.0
Depreciation Income Statement,138000000.0,92000000.0,142000000.0,136000000.0,135000000.0,,
Selling General And Administration,393000000.0,308000000.0,443000000.0,341000000.0,343000000.0,,
Selling And Marketing Expense,,47000000.0,,,,40000000.0,90300000.0
General And Administrative Expense,393000000.0,261000000.0,443000000.0,341000000.0,343000000.0,,
Insurance And Claims,,54000000.0,,,,76000000.0,-5000000.0
Rent And Landing Fees,,52000000.0,,,,53000000.0,60400000.0
Total Revenue,2843000000.0,2790000000.0,2782000000.0,2771000000.0,2727000000.0,,
Operating Revenue,2843000000.0,2790000000.0,2782000000.0,2771000000.0,2727000000.0,,
