index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00
Tax Effect Of Unusual Items,-5028373.959636,-7693983.0,-3181944.902375,-2883300.0,-6745929.160537,,
Tax Rate For Calcs,0.231307,0.253,0.179862,0.21,0.315998,,
Normalized EBITDA,1481726000.0,1531863000.0,809841000.0,1542603000.0,1575937000.0,,
Total Unusual Items,-21739000.0,-30411000.0,-15417000.0,-13730000.0,-21348000.0,,
Total Unusual Items Excluding Goodwill,-21739000.0,-30411000.0,-17691000.0,-13730000.0,-21348000.0,,
Net Income From Continuing Operation Net Minority Interest,280828000.0,472133000.0,-281718000.0,319948000.0,407952000.0,,
Reconciled Depreciation,484342000.0,480713000.0,1090612000.0,440602000.0,427218000.0,,
Reconciled Cost Of Revenue,2195829000.0,2326475000.0,2832483000.0,2216431000.0,1925131000.0,,
EBITDA,1459987000.0,1501452000.0,794424000.0,1528873000.0,1554589000.0,,
EBIT,975645000.0,1020739000.0,-296188000.0,1088271000.0,1127371000.0,,
Net Interest Income,-232468000.0,-235926000.0,-236481000.0,-196263000.0,-224875000.0,,
Interest Expense,538178000.0,312269000.0,265397000.0,518222000.0,432617000.0,,
Interest Income,305710000.0,87035000.0,69391000.0,321959000.0,207742000.0,,
Normalized Income,297538626.040364,494850017.0,-267208944.902375,330794700.0,422554070.839463,,
Net Income From Continuing And Discontinued Operation,280828000.0,472133000.0,-281718000.0,319948000.0,407952000.0,,
Total Expenses,2895878000.0,3269961000.0,4410328000.0,2852494000.0,2558682000.0,,
Rent Expense Supplemental,,84386000.0,43043000.0,,,82244000.0,85422000.0
Diluted Average Shares,4013042857.0,4280620000.0,,4003750000.0,4079520000.0,3936477778.0,
Basic Average Shares,4013042857.0,4280620000.0,,4003750000.0,4079520000.0,3936477778.0,
Diluted EPS,0.07,0.1,,0.08,0.1,0.09,
Basic EPS,0.07,0.1,,0.08,0.1,0.09,
Diluted NI Availto Com Stockholders,280913000.0,428062000.0,-281555000.0,320300000.0,407952000.0,,
Net Income Common Stockholders,280913000.0,428062000.0,-281555000.0,320300000.0,407952000.0,,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0,,
Net Income,280913000.0,428062000.0,-281555000.0,320300000.0,407952000.0,,
Minority Interests,-55450000.0,-57136000.0,178859000.0,-21105000.0,-67261000.0,,
Net Income Including Noncontrolling Interests,336363000.0,485198000.0,-460414000.0,341405000.0,475213000.0,,
Net Income Extraordinary,85000.0,-44071000.0,163000.0,352000.0,0.0,,
Net Income Continuous Operations,336278000.0,529269000.0,-460577000.0,341053000.0,475213000.0,,
Tax Provision,101189000.0,179201000.0,-101008000.0,228996000.0,219541000.0,,
Pretax Income,437467000.0,708470000.0,-561585000.0,570049000.0,694754000.0,,
Other Non Operating Income Expenses,19349000.0,-13606000.0,47105000.0,-49030000.0,54991000.0,,
Special Income Charges,-21739000.0,-12543000.0,-86750000.0,-13730000.0,-21348000.0,,
Other Special Charges,,-8802000.0,-4989000.0,,,-150541000.0,-84374000.0
Write Off,21739000.0,21345000.0,36472000.0,13730000.0,21348000.0,,
Net Non Operating Interest Income Expense,-232468000.0,-235926000.0,-236481000.0,-196263000.0,-224875000.0,,
Total Other Finance Cost,,10692000.0,40475000.0,,,28269000.0,8735000.0
Interest Expense Non Operating,538178000.0,312269000.0,265397000.0,518222000.0,432617000.0,,
Interest Income Non Operating,305710000.0,87035000.0,69391000.0,321959000.0,207742000.0,,
Operating Income,672158000.0,816794000.0,-264679000.0,806602000.0,843495000.0,,
Operating Expense,700049000.0,943486000.0,1577845000.0,636063000.0,633551000.0,,
Other Operating Expenses,6824000.0,165681000.0,215448000.0,2178000.0,2309000.0,,
Depreciation And Amortization In Income Statement,484342000.0,480713000.0,1060515000.0,440602000.0,427218000.0,,
Depreciation Income Statement,484342000.0,480713000.0,466775000.0,440602000.0,427218000.0,,
Rent And Landing Fees,,84386000.0,79482000.0,,,82244000.0,75737000.0
Gross Profit,1372207000.0,1760280000.0,1313166000.0,1442665000.0,1477046000.0,,
Cost Of Revenue,2195829000.0,2326475000.0,2832483000.0,2216431000.0,1925131000.0,,
Total Revenue,3568036000.0,4086755000.0,4145649000.0,3659096000.0,3402177000.0,,
Operating Revenue,3568036000.0,4086755000.0,4145649000.0,3659096000.0,3402177000.0,,
