index,2025-03-31 00:00:00
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.250546
Normalized EBITDA,654300000.0
Net Income From Continuing Operation Net Minority Interest,377200000.0
Reconciled Depreciation,139900000.0
Reconciled Cost Of Revenue,750100000.0
EBITDA,654300000.0
EBIT,514400000.0
Net Interest Income,-6800000.0
Interest Expense,11100000.0
Interest Income,4300000.0
Normalized Income,377200000.0
Net Income From Continuing And Discontinued Operation,377200000.0
Diluted Average Shares,590297340.0
Basic Average Shares,585543359.0
Diluted EPS,0.639
Basic EPS,0.644
Net Income Common Stockholders,377200000.0
Net Income,377200000.0
Net Income Including Noncontrolling Interests,377200000.0
Net Income Continuous Operations,377200000.0
Tax Provision,126100000.0
Pretax Income,503300000.0
Other Income Expense,741200000.0
Other Non Operating Income Expenses,741200000.0
Net Non Operating Interest Income Expense,-6800000.0
Interest Expense Non Operating,11100000.0
Interest Income Non Operating,4300000.0
Operating Income,-371000000.0
Operating Expense,901200000.0
Depreciation Amortization Depletion Income Statement,139900000.0
Depreciation And Amortization In Income Statement,139900000.0
Amortization,32600000.0
Amortization Of Intangibles Income Statement,32600000.0
Depreciation Income Statement,107300000.0
Research And Development,226900000.0
Selling General And Administration,534400000.0
Selling And Marketing Expense,534400000.0
Gross Profit,530200000.0
Cost Of Revenue,750100000.0
Total Revenue,1280300000.0
Operating Revenue,1280300000.0
