index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00
Tax Effect Of Unusual Items,0.0,1794943.039733,0.0,0.0,0.0,,
Tax Rate For Calcs,0.391,0.358989,0.35569,0.367668,0.326034,,
Total Unusual Items,,5000000.0,,,,0.0,29000000.0
Total Unusual Items Excluding Goodwill,,5000000.0,,,,0.0,29000000.0
Net Income From Continuing Operation Net Minority Interest,2610000000.0,2403000000.0,2451000000.0,2293000000.0,2269000000.0,,
Reconciled Depreciation,132000000.0,143000000.0,148000000.0,152000000.0,157000000.0,,
Net Interest Income,4540000000.0,4017000000.0,3819000000.0,4545000000.0,4378000000.0,,
Interest Expense,5671000000.0,5036000000.0,5058000000.0,5421000000.0,5414000000.0,,
Interest Income,10211000000.0,9053000000.0,8877000000.0,9966000000.0,9792000000.0,,
Normalized Income,2610000000.0,2399794943.039733,2451000000.0,2293000000.0,2269000000.0,,
Net Income From Continuing And Discontinued Operation,2610000000.0,2403000000.0,2451000000.0,2293000000.0,2269000000.0,,
Diluted Average Shares,1499497000.0,1503845000.0,,1514335000.0,1522341000.0,1522981000.0,
Basic Average Shares,1497492000.0,1502391000.0,,1513986000.0,1522210000.0,1522856000.0,
Diluted EPS,1.74,1.6,,1.51,1.49,1.83,
Basic EPS,1.74,1.6,,1.51,1.49,1.83,
Diluted NI Availto Com Stockholders,2610000000.0,2403000000.0,2451000000.0,2293000000.0,2269000000.0,,
Net Income Common Stockholders,2610000000.0,2403000000.0,2451000000.0,2293000000.0,2269000000.0,,
Net Income,2610000000.0,2403000000.0,2451000000.0,2293000000.0,2269000000.0,,
Minority Interests,0.0,0.0,0.0,0.0,0.0,,
Net Income Including Noncontrolling Interests,2610000000.0,2403000000.0,2451000000.0,2293000000.0,2269000000.0,,
Net Income Continuous Operations,2610000000.0,2403000000.0,2451000000.0,2293000000.0,2269000000.0,,
Tax Provision,1623000000.0,1292000000.0,1294000000.0,1285000000.0,1340000000.0,,
Pretax Income,4153000000.0,3599000000.0,3638000000.0,3495000000.0,4110000000.0,,
Special Income Charges,,5000000.0,,,,0.0,29000000.0
Other Special Charges,,-5000000.0,,,,,
Gain On Sale Of Security,-339000000.0,143000000.0,-14000000.0,3000000.0,118000000.0,,
Operating Expense,1610000000.0,1731000000.0,1531000000.0,1716000000.0,1651000000.0,,
Other Operating Expenses,395000000.0,397000000.0,-596000000.0,397000000.0,395000000.0,,
Depreciation And Amortization In Income Statement,334000000.0,374000000.0,,386000000.0,374000000.0,375000000.0,
Depreciation Income Statement,334000000.0,374000000.0,,386000000.0,374000000.0,375000000.0,
Total Revenue,5986000000.0,5380000000.0,4507000000.0,5523000000.0,5743000000.0,,
Operating Revenue,5986000000.0,5380000000.0,4507000000.0,5523000000.0,5743000000.0,,
