index,2025-06-30 00:00:00,2025-03-31 00:00:00,2024-12-31 00:00:00,2024-09-30 00:00:00,2024-06-30 00:00:00,2024-03-31 00:00:00,2023-12-31 00:00:00
Tax Effect Of Unusual Items,-8702539.017004,-8610000.0,-2622388.059701,-9679818.336645,-9792113.733906,,
Tax Rate For Calcs,0.217563,0.287,0.003483,0.284701,0.279775,,
Total Unusual Items,-40000000.0,-30000000.0,-753000000.0,-34000000.0,-35000000.0,,
Total Unusual Items Excluding Goodwill,-40000000.0,-30000000.0,-753000000.0,-34000000.0,-35000000.0,,
Net Income From Continuing Operation Net Minority Interest,3344000000.0,2771000000.0,1969000000.0,2513000000.0,2679000000.0,,
Reconciled Depreciation,254000000.0,259000000.0,272000000.0,261000000.0,260000000.0,,
Net Interest Income,3461000000.0,3473000000.0,3652000000.0,3564000000.0,3565000000.0,,
Interest Income,3461000000.0,3473000000.0,3652000000.0,3564000000.0,3565000000.0,,
Normalized Income,3375297460.982996,2792390000.0,2719377611.940299,2537320181.663355,2704207886.266094,,
Net Income From Continuing And Discontinued Operation,3344000000.0,2771000000.0,1969000000.0,2513000000.0,2679000000.0,,
Diluted Average Shares,1547999536.0,1548044693.0,1911650485.0,1573544191.0,1630000000.0,,
Basic Average Shares,1547999536.0,1548044693.0,1911650485.0,1573544191.0,1630000000.0,,
Diluted EPS,2.160207,1.79,1.03,1.597032,1.643558,,
Basic EPS,2.160207,1.79,1.03,1.597032,1.643558,,
Diluted NI Availto Com Stockholders,3344000000.0,2771000000.0,1969000000.0,2513000000.0,2679000000.0,,
Net Income Common Stockholders,3344000000.0,2771000000.0,1969000000.0,2513000000.0,2679000000.0,,
Net Income,3344000000.0,2771000000.0,1969000000.0,2513000000.0,2679000000.0,,
Minority Interests,-15000000.0,-19000000.0,-34000000.0,-7000000.0,-7000000.0,,
Net Income Including Noncontrolling Interests,3359000000.0,2790000000.0,2003000000.0,2520000000.0,2685000000.0,,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,0.0,,
Net Income Continuous Operations,3359000000.0,2789000000.0,2003000000.0,2520000000.0,2685000000.0,,
Tax Provision,934000000.0,1124000000.0,7000000.0,1003000000.0,1043000000.0,,
Pretax Income,4293000000.0,3913000000.0,2010000000.0,3523000000.0,3728000000.0,,
Special Income Charges,-40000000.0,-30000000.0,-753000000.0,-34000000.0,-35000000.0,,
Restructuring And Mergern Acquisition,40000000.0,30000000.0,753000000.0,34000000.0,35000000.0,,
Gain On Sale Of Security,865000000.0,,13000000.0,-19000000.0,-24000000.0,1000000.0,
Operating Expense,2549000000.0,2524000000.0,2895000000.0,2400000000.0,2525000000.0,,
Other Operating Expenses,866000000.0,829000000.0,1051000000.0,712000000.0,192000000.0,,
Depreciation And Amortization In Income Statement,254000000.0,259000000.0,272000000.0,261000000.0,260000000.0,,
Depreciation Income Statement,254000000.0,259000000.0,272000000.0,261000000.0,260000000.0,,
Selling General And Administration,,,,,649000000.0,754000000.0,827000000.0
General And Administrative Expense,,,,,649000000.0,754000000.0,827000000.0
Total Revenue,6993000000.0,6550000000.0,6016000000.0,6123000000.0,6305000000.0,,
Operating Revenue,6993000000.0,6550000000.0,6016000000.0,6123000000.0,6305000000.0,,
